actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-08T01:11:09.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T01:11:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-08T01:11:12.8Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,0,2022-01-08T01:11:12Z,40000,,,0,,Jump Ball C. Wood vs. D. Powell: Tip to E. Gordon,"[201569, 1626174, 203939]",1610612745.0,HOU,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Wood,1626174.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-08T01:11:30.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,0,2022-01-08T01:11:39Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-01-08T01:12:27.0Z,1,REGULAR,3pt,Jump Shot,[],1626174,67.62483574244416,72.79411764705883,1610612745,0,0,2022-01-08T01:12:33Z,80000,114.0,252.0,1,right,MISS C. Wood 27' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,27.64,Missed,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-08T01:12:27.0Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,0,0,2022-01-08T01:12:33Z,90000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M21.00S,2022-01-08T01:12:41.2Z,1,REGULAR,3pt,Jump Shot,[],203493,24.655059132720105,13.970588235294118,1610612742,0,0,2022-01-08T01:12:48Z,100000,180.0,179.0,1,left,MISS R. Bullock 25' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-01-08T01:12:41.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2022-01-08T01:12:48Z,110000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-08T01:12:52.7Z,1,REGULAR,3pt,Jump Shot,[],1629645,66.70499342969777,56.127450980392155,1610612745,3,0,2022-01-08T01:12:57Z,120000,31.0,260.0,1,right,K. Porter Jr. 26' 3PT  (3 PTS) (C. Wood 1 AST),"[1629645, 1626174]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,26.23,Made,,,,,3.0,C. Wood,1626174.0,1.0,,,,,,,,,,
15,PT10M53.00S,2022-01-08T01:13:09.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,17.0335085413929,69.11764705882352,1610612742,3,2,2022-01-08T01:13:16Z,150000,-96.0,108.0,1,left,J. Brunson 14' pullup Jump Shot (2 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,14.39,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M38.00S,2022-01-08T01:13:25.1Z,1,REGULAR,3pt,Jump Shot,[],1626174,69.72733245729303,27.696078431372552,1610612745,3,2,2022-01-08T01:13:31Z,160000,-112.0,232.0,1,right,MISS C. Wood 25' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2022-01-08T01:13:26.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,3,2,2022-01-08T01:13:31Z,170000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
