actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-12T01:11:03.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-12T01:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-12T01:11:06.3Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-03-12T01:11:06Z,40000,,,0,,Jump Ball D. Powell vs. A. Sengun: Tip to S. Dinwiddie,"[203915, 203939, 1630578]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Powell,203939.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-12T01:11:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612742,0,0,2022-03-12T01:11:41Z,80000,,,0,,A. Sengun shooting personal FOUL (1 PF) (Powell 2 FT),"[1630578, 203939]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,203177.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,,
10,PT11M43.00S,2022-03-12T01:11:47.9Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,0,1,2022-03-12T01:11:48Z,100000,,,0,,D. Powell Free Throw 1 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
11,PT11M43.00S,2022-03-12T01:12:06.2Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,0,2,2022-03-12T01:12:06Z,110000,,,0,,D. Powell Free Throw 2 of 2 (2 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
12,PT11M29.00S,2022-03-12T01:12:25.2Z,1,REGULAR,turnover,backcourt,[],1629645,,,1610612745,0,2,2022-03-12T01:12:48Z,120000,,,0,,K. Porter Jr. backcourt TURNOVER (1 TO),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,1.0,,,,,,,,,,,,,
13,PT11M16.00S,2022-03-12T01:12:49.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203939,9.411957950065702,50.49019607843137,1610612742,0,4,2022-03-12T01:12:56Z,130000,-2.0,36.0,1,left,D. Powell alley-oop DUNK (4 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,,,,,,Made,4.0,,3.61,L. Doncic,1629029.0,1.0,,,,,,,,,
15,PT11M01.00S,2022-03-12T01:13:05.8Z,1,REGULAR,2pt,Jump Shot,[],1629645,77.08607095926413,47.794117647058826,1610612745,2,4,2022-03-12T01:13:14Z,150000,-11.0,163.0,1,right,K. Porter Jr. 16' pullup Jump Shot (2 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,Made,2.0,,16.33,,,,,,,,,,,,
16,PT10M45.00S,2022-03-12T01:13:22.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,6.652431011826544,49.26470588235294,1610612742,2,6,2022-03-12T01:13:29Z,160000,4.0,10.0,1,left,D. Powell alley-oop DUNK (6 PTS) (L. Doncic 2 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,,,,,,Made,6.0,,1.07,L. Doncic,1629029.0,2.0,,,,,,,,,
18,PT10M27.00S,2022-03-12T01:13:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.5407358738502,53.92156862745098,1610612745,2,6,2022-03-12T01:17:07Z,180000,20.0,27.0,1,right,MISS A. Sengun Layup,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,Missed,,,3.34,,,,,,,,,,,,
19,PT10M26.00S,2022-03-12T01:13:41.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,2,6,2022-03-12T01:20:02Z,190000,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,
20,PT10M26.00S,2022-03-12T01:13:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.40999984741211,50.0,1610612745,2,6,2022-03-12T01:20:02Z,200000,0.0,0.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,,,,,,Missed,,,0.0,,,,,,,,,,,,
21,PT10M25.00S,2022-03-12T01:13:55.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,6,2022-03-12T01:20:10Z,210000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
24,PT10M18.00S,2022-03-12T01:14:01.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.66688567674113,83.82352941176471,1610612742,2,6,2022-03-12T01:20:54Z,240000,-169.0,236.0,1,left,MISS L. Doncic 29' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,,,,,Missed,,,29.02,,,,,,,,,,,,
25,PT10M16.00S,2022-03-12T01:14:03.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,6,2022-03-12T01:19:17Z,250000,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,
