actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-01T01:11:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T01:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-01T01:11:23.4Z,1,REGULAR,jumpball,recovered,[],203952,,,1610612744,0,0,2022-02-01T01:11:23Z,40000,,,0,,Jump Ball K. Looney vs. C. Wood: Tip to A. Wiggins,"[203952, 1626172, 1626174]",1610612744.0,GSW,startperiod,A. Wiggins,203952.0,Wiggins,A. Wiggins,Looney,1626172.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-01T01:11:35.6Z,1,REGULAR,2pt,Jump Shot,[],1630541,24.78646517739816,39.950980392156865,1610612744,0,0,2022-02-01T01:12:00Z,70000,50.0,180.0,1,left,MISS M. Moody 18' pullup Shot,[1630541],1610612744.0,GSW,pullup,,,Moody,M. Moody,,,,,18.74,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-01T01:11:39.6Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2022-02-01T01:11:42Z,80000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-02-01T01:11:47.7Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,0,0,2022-02-01T01:11:52Z,90000,,,0,,K. Porter Jr. lost ball TURNOVER (1 TO),"[1629645, 202691]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1.0,Thompson,202691.0,,,,,,,,,,,,
10,PT11M32.00S,2022-02-01T01:11:47.7Z,1,REGULAR,steal,,[],202691,,,1610612744,0,0,2022-02-01T01:14:48Z,100000,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-02-01T01:11:59.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,26.888961892247043,21.07843137254902,1610612744,0,3,2022-02-01T01:12:05Z,110000,145.0,200.0,1,left,M. Moody 24' 3PT  (3 PTS) (K. Thompson 1 AST),"[1630541, 202691]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,24.7,Made,,,,,,,,3.0,K. Thompson,202691.0,1.0,,,,,,,,
13,PT11M00.00S,2022-02-01T01:12:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,83.78777923784494,65.68627450980392,1610612745,0,3,2022-02-01T01:41:34Z,130000,78.0,100.0,1,right,MISS K. Porter Jr. 12' fadeaway Shot,[1629645],1610612745.0,HOU,fadeaway,,,Porter Jr.,K. Porter Jr.,,,,,12.7,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-02-01T01:12:24.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,3,2022-02-01T01:12:29Z,140000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-02-01T01:12:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,5.995400788436268,45.588235294117645,1610612744,0,3,2022-02-01T01:16:59Z,150000,22.0,4.0,1,left,MISS S. Curry driving reverse Layup,[201939],1610612744.0,GSW,driving reverse,,,Curry,S. Curry,,,,,2.24,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-02-01T01:12:39.4Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,3,2022-02-01T01:16:59Z,160000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
17,PT10M40.00S,2022-02-01T01:12:39.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202691,4.812746386333772,45.588235294117645,1610612744,0,5,2022-02-01T01:41:44Z,170000,22.0,-7.0,1,left,K. Thompson Jump Shot (2 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,2.33,Made,,,,,,,,2.0,K. Looney,1626172.0,1.0,,,,,,,,
19,PT10M24.00S,2022-02-01T01:12:55.6Z,1,REGULAR,3pt,Jump Shot,[],201569,94.69448094612353,3.1862745098039214,1610612745,0,5,2022-02-01T01:13:01Z,190000,-234.0,-3.0,1,right,MISS E. Gordon 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2022-02-01T01:12:58.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,5,2022-02-01T01:13:01Z,200000,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,19.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
21,PT10M02.00S,2022-02-01T01:13:17.8Z,1,REGULAR,2pt,Jump Shot,[],202691,15.982260183968464,70.09803921568627,1610612744,0,5,2022-02-01T01:13:27Z,210000,-100.0,98.0,1,left,MISS K. Thompson 14' turnaround fadeaway Shot,[202691],1610612744.0,GSW,turnaround fadeaway,,,Thompson,K. Thompson,,,,,14.02,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M00.00S,2022-02-01T01:13:19.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,5,2022-02-01T01:13:27Z,220000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT09M48.00S,2022-02-01T01:13:59.9Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,5,2022-02-01T01:13:59Z,230000,,,0,,Jump Ball J. Tate vs. M. Moody: Tip to E. Gordon,"[201569, 1630256, 1630541]",1610612745.0,HOU,heldball,E. Gordon,201569.0,Gordon,E. Gordon,Tate,1630256.0,Moody,1630541.0,,,,,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2022-02-01T01:14:02.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,89.83245729303549,15.441176470588236,1610612745,0,5,2022-02-01T01:14:07Z,260000,-173.0,43.0,1,right,MISS J. Green 17' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,17.81,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2022-02-01T01:14:04.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,5,2022-02-01T01:14:07Z,270000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
