actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-10T00:11:09.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-10T00:11:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-10T00:11:11.7Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-01-10T00:11:11Z,40000,,,0,,Jump Ball C. Wood vs. K. Towns: Tip to K. Porter Jr.,"[1629645, 1626174, 1626157]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-10T00:11:26.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,88.78120893561103,50.49019607843137,1610612745,0,0,2022-01-10T00:11:31Z,70000,2.0,53.0,1,right,MISS J. Tate Hook - blocked,"[1630256, 1629020]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,5.31,Missed,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-01-10T00:11:26.1Z,1,REGULAR,block,,[],1629020,,,1610612745,0,0,2022-01-10T00:11:28Z,80000,,,0,,J. Vanderbilt BLOCK (1 BLK),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-01-10T00:11:28.1Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,0,0,2022-01-10T00:11:31Z,90000,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M34.00S,2022-01-10T00:11:35.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201569,69.20170827858082,23.774509803921568,1610612745,0,0,2022-01-10T00:11:42Z,100000,-131.0,237.0,1,right,MISS E. Gordon 27' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,27.08,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2022-01-10T00:11:37.2Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,0,2022-01-10T00:11:42Z,110000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M18.00S,2022-01-10T00:11:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,14.668199737187912,49.26470588235294,1610612750,0,0,2022-01-10T00:12:00Z,120000,4.0,85.0,1,left,MISS K. Towns 8' turnaround Shot,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,8.55,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-01-10T00:11:50.6Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,0,0,2022-01-10T00:12:00Z,130000,,,0,,J. Tate REBOUND (Off:1 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,
14,PT11M11.00S,2022-01-10T00:12:00.2Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612745,0,0,2022-01-10T00:12:14Z,140000,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Green 2 FT),"[1630183, 1630224]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,,,,,,,,,1628951.0,1.0,0.0,Green,1630224.0,,,,,,,
16,PT11M11.00S,2022-01-10T00:12:33.5Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,0,0,2022-01-10T00:12:33Z,160000,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M11.00S,2022-01-10T00:12:33.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,0,2022-01-10T00:12:33Z,170000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
18,PT11M11.00S,2022-01-10T00:12:49.1Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,1,0,2022-01-10T00:12:49Z,180000,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
19,PT11M00.00S,2022-01-10T00:13:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,20.05584756898817,60.29411764705882,1610612750,1,2,2022-01-10T00:13:07Z,190000,-51.0,136.0,1,left,D. Russell 14' pullup Jump Shot (2 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,14.54,Made,,,,,,,,,,,,2.0,,,,,,
20,PT10M45.00S,2022-01-10T00:13:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,92.85479632063075,47.549019607843135,1610612745,3,2,2022-01-10T00:13:21Z,200000,-12.0,15.0,1,right,E. Gordon Layup (2 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,1.92,Made,,,,,,,,,,,,2.0,,,,,,
