actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-28T01:11:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T01:11:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-28T01:11:24.1Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,0,2021-11-28T01:11:24Z,40000,,,0,,Jump Ball C. Wood vs. P. Washington: Tip to E. Gordon,"[201569, 1626174, 1629023]",1610612745.0,HOU,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Wood,1626174.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-28T01:11:34.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626174,93.11760840998686,49.50980392156863,1610612745,2,0,2021-11-28T01:11:40Z,70000,-2.0,12.0,1,right,C. Wood cutting DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,cutting,,,Wood,C. Wood,,,,,1.25,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-28T01:11:52.8Z,1,REGULAR,foul,personal,[],1629726,,,1610612766,2,0,2021-11-28T01:12:06Z,90000,,,0,,G. Mathews personal FOUL (1 PF),"[1629726, 1628970]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,2004.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,
11,PT11M19.00S,2021-11-28T01:12:20.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,33.459264126149804,63.48039215686274,1610612766,2,0,2021-11-28T01:12:26Z,110000,-67.0,262.0,1,left,MISS M. Bridges 27' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2021-11-28T01:12:20.3Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,2,0,2021-11-28T01:12:26Z,120000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M10.00S,2021-11-28T01:12:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,71.82982917214193,20.833333333333336,1610612745,2,0,2021-11-28T01:12:35Z,130000,-146.0,212.0,1,right,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2021-11-28T01:12:29.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,0,2021-11-28T01:12:35Z,140000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT11M03.00S,2021-11-28T01:12:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628970,6.652431011826544,51.225490196078425,1610612766,2,2,2021-11-28T01:12:42Z,150000,-6.0,10.0,1,left,M. Bridges Layup (2 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,1.17,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
17,PT10M45.00S,2021-11-28T01:12:54.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626174,94.03745072273325,50.0,1610612745,4,2,2021-11-28T01:13:00Z,170000,0.0,4.0,1,right,C. Wood cutting DUNK (4 PTS) (E. Gordon 1 AST),"[1626174, 201569]",1610612745.0,HOU,cutting,,,Wood,C. Wood,,,,,0.35,Made,4.0,E. Gordon,201569.0,1.0,,,,,,,,,,,,,,,
19,PT10M34.00S,2021-11-28T01:13:05.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202330,6.521024967148489,47.30392156862745,1610612766,4,4,2021-11-28T01:13:10Z,190000,13.0,9.0,1,left,G. Hayward driving DUNK (2 PTS),[202330],1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,1.61,Made,2.0,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2021-11-28T01:13:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629726,94.1688567674113,3.431372549019608,1610612745,7,4,2021-11-28T01:13:30Z,200000,-233.0,2.0,1,right,G. Mathews 3PT  (3 PTS) (E. Gordon 2 AST),"[1629726, 201569]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,23.28,Made,3.0,E. Gordon,201569.0,2.0,,,,,,,,,,,,,,,
22,PT09M55.00S,2021-11-28T01:13:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626179,17.821944809461236,3.6764705882352944,1610612766,7,4,2021-11-28T01:13:49Z,220000,232.0,115.0,1,left,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2021-11-28T01:13:43.3Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,4,2021-11-28T01:13:49Z,230000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M44.00S,2021-11-28T01:13:57.6Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612745,7,4,2021-11-28T01:14:09Z,240000,,,0,,G. Hayward shooting personal FOUL (1 PF) (Tate 2 FT),"[202330, 1630256]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,,,,,,,2004.0,1.0,0.0,Tate,1630256.0,,,,,,,,,,
26,PT09M44.00S,2021-11-28T01:14:21.5Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,8,4,2021-11-28T01:14:21Z,260000,,,0,,J. Tate Free Throw 1 of 2 (1 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2021-11-28T01:14:35.9Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,9,4,2021-11-28T01:14:35Z,270000,,,0,,J. Tate Free Throw 2 of 2 (2 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M28.00S,2021-11-28T01:14:52.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,6.389618922470433,94.85294117647058,1610612766,9,4,2021-11-28T01:15:00Z,280000,-224.0,8.0,1,left,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,22.44,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2021-11-28T01:14:53.6Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,9,4,2021-11-28T01:15:00Z,290000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT09M18.00S,2021-11-28T01:15:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,92.85479632063075,48.77450980392157,1610612745,9,4,2021-11-28T01:15:10Z,300000,-6.0,15.0,1,right,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M14.00S,2021-11-28T01:15:07.3Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,9,4,2021-11-28T01:15:07Z,310000,,,0,,C. Wood REBOUND (Off:1 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,30.0,2.0,1.0,1.0,,,,,,
32,PT09M14.00S,2021-11-28T01:15:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626174,94.40999984741211,50.0,1610612745,9,4,2021-11-28T01:15:07Z,320000,0.0,0.0,1,right,MISS C. Wood tip Layup,[1626174],1610612745.0,HOU,tip,,,Wood,C. Wood,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2021-11-28T01:15:08.4Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,9,4,2021-11-28T01:15:08Z,330000,,,0,,C. Wood REBOUND (Off:2 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,32.0,3.0,1.0,2.0,,,,,,
34,PT09M12.00S,2021-11-28T01:15:09.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626174,92.46057818659659,48.28431372549019,1610612745,11,4,2021-11-28T01:15:18Z,340000,-9.0,18.0,1,right,C. Wood putback DUNK (6 PTS),[1626174],1610612745.0,HOU,putback,,,Wood,C. Wood,,,,,2.03,Made,6.0,,,,,,,,,,,,,,,,,,
35,PT09M09.00S,2021-11-28T01:15:12.8Z,1,REGULAR,3pt,Jump Shot,[],202330,22.026938239159,10.049019607843137,1610612766,11,4,2021-11-28T01:15:28Z,350000,200.0,155.0,1,left,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.26,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2021-11-28T01:15:12.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,11,4,2021-11-28T01:15:28Z,360000,,,0,,C. Wood REBOUND (Off:2 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,35.0,4.0,2.0,2.0,,,,,,
37,PT08M59.00S,2021-11-28T01:15:22.2Z,1,REGULAR,3pt,Jump Shot,[],1629726,79.71419185282524,89.95098039215686,1610612745,11,4,2021-11-28T01:15:32Z,370000,200.0,138.0,1,right,MISS G. Mathews 24' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,24.29,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M58.00S,2021-11-28T01:15:23.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,11,4,2021-11-28T01:15:32Z,380000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,
39,PT08M58.00S,2021-11-28T01:15:26.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,11,4,2021-11-28T01:15:26Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M53.00S,2021-11-28T01:16:01.1Z,1,REGULAR,foul,personal,[],1630256,,,1610612766,11,4,2021-11-28T01:16:14Z,410000,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1630163]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,2004.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,
44,PT08M40.00S,2021-11-28T01:16:22.2Z,1,REGULAR,3pt,Jump Shot,[],202330,28.465834428383708,22.058823529411764,1610612766,11,7,2021-11-28T01:16:28Z,440000,140.0,215.0,1,left,G. Hayward 25' 3PT  (5 PTS) (P. Washington 1 AST),"[202330, 1629023]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.65,Made,5.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,,
46,PT08M31.00S,2021-11-28T01:16:37.0Z,1,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612745,11,7,2021-11-28T01:16:50Z,460000,,,0,,T. Rozier shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1626179, 1629645]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,,,,,,,2004.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,
48,PT08M31.00S,2021-11-28T01:16:57.9Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,12,7,2021-11-28T01:17:21Z,480000,,,0,,K. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
49,PT08M31.00S,2021-11-28T01:16:57.9Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,12,7,2021-11-28T01:17:21Z,490000,,,0,,MISS K. Porter Jr. Free Throw 2 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M30.00S,2021-11-28T01:16:58.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,12,7,2021-11-28T01:17:21Z,500000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,
51,PT08M30.00S,2021-11-28T01:17:15.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,12,7,2021-11-28T01:17:15Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M24.00S,2021-11-28T01:17:35.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201569,66.5735873850197,36.76470588235294,1610612745,15,7,2021-11-28T01:17:40Z,520000,-66.0,262.0,1,right,E. Gordon 26' 3PT  (3 PTS) (C. Wood 1 AST),"[201569, 1626174]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,26.99,Made,3.0,C. Wood,1626174.0,1.0,,,,,,,,,,,,,,,
54,PT08M09.00S,2021-11-28T01:17:51.3Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612766,15,7,2021-11-28T01:18:06Z,540000,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 1630256]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,1.0,Tate,1630256.0,,,
55,PT08M09.00S,2021-11-28T01:17:51.3Z,1,REGULAR,steal,,[],1630256,,,1610612745,15,7,2021-11-28T01:17:54Z,550000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M09.00S,2021-11-28T01:18:03.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,15,7,2021-11-28T01:18:03Z,560000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M55.00S,2021-11-28T01:21:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201569,90.48948751642575,46.32352941176471,1610612745,15,7,2021-11-28T01:21:20Z,570000,-18.0,37.0,1,right,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,4.12,Missed,,,,,,,,,,,,,,,,,,,
