actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-19T00:11:05.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T00:11:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-19T00:11:08.0Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-03-19T00:11:08Z,40000,,,0,,Jump Ball C. Wood vs. G. Bitadze: Tip to K. Porter Jr.,"[1629645, 1626174, 1629048]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-19T00:11:20.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,92.59198423127464,43.38235294117647,1610612745,2,0,2022-03-19T00:11:26Z,70000,-33.0,17.0,1,right,J. Tate bank Hook (2 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,bank,,,Tate,J. Tate,,,,,3.73,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-19T00:11:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629048,13.354139290407357,39.21568627450981,1610612754,2,2,2022-03-19T00:11:54Z,90000,54.0,73.0,1,left,G. Bitadze 9' turnaround Jump Shot (2 PTS),[1629048],1610612754.0,IND,turnaround,,,Bitadze,G. Bitadze,,,,,9.07,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-03-19T00:11:57.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626174,71.69842312746385,18.627450980392158,1610612745,2,2,2022-03-19T00:12:02Z,110000,-157.0,214.0,1,right,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-03-19T00:11:59.3Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,2,2,2022-03-19T00:12:02Z,120000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M00.00S,2022-03-19T00:12:04.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,35.29894875164258,39.46078431372549,1610612754,2,2,2022-03-19T00:12:09Z,130000,53.0,279.0,1,left,MISS B. Hield 28' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,28.42,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-03-19T00:12:07.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,2,2,2022-03-19T00:12:09Z,140000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M49.00S,2022-03-19T00:12:15.8Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,2,2,2022-03-19T00:12:19Z,150000,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1630169]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,,,,
16,PT10M49.00S,2022-03-19T00:12:15.8Z,1,REGULAR,steal,,[],1630169,,,1610612754,2,2,2022-03-19T00:12:17Z,160000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
