actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-03T23:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T23:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-03T23:10:42.7Z,1,REGULAR,jumpball,recovered,[],1629726,,,1610612745,0,0,2022-04-03T23:10:42Z,40000,,,0,,Jump Ball A. Sengun vs. K. Towns: Tip to G. Mathews,"[1629726, 1630578, 1626157]",1610612745.0,HOU,startperiod,G. Mathews,1629726.0,Mathews,G. Mathews,Sengun,1630578.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-04-03T23:10:57.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,92.19776609724047,50.98039215686274,1610612745,2,0,2022-04-03T23:11:02Z,70000,5.0,21.0,1,right,A. Sengun DUNK (2 PTS) (G. Mathews 1 AST),"[1630578, 1629726]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,2.14,Made,2.0,G. Mathews,1629726.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-04-03T23:11:15.9Z,1,REGULAR,3pt,Jump Shot,[],1627736,32.40801576872536,38.72549019607843,1610612750,2,0,2022-04-03T23:11:20Z,90000,56.0,252.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-04-03T23:11:19.9Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,2,0,2022-04-03T23:11:20Z,100000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M10.00S,2022-04-03T23:11:28.7Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,2,0,2022-04-03T23:11:35Z,110000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1626156]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,1.0,Russell,1626156.0,,,,,,,,
12,PT11M10.00S,2022-04-03T23:11:28.7Z,1,REGULAR,steal,,[],1626156,,,1610612750,2,0,2022-04-03T23:11:30Z,120000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2022-04-03T23:11:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626156,11.12023653088042,56.86274509803921,1610612750,2,2,2022-04-03T23:11:47Z,130000,-34.0,52.0,1,left,D. Russell 6' running Layup (2 PTS),[1626156],1610612750.0,MIN,running,,,Russell,D. Russell,,,,,6.23,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-04-03T23:11:46.4Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,2,2,2022-04-03T23:11:51Z,140000,,,0,,K. Porter Jr. lost ball TURNOVER (2 TO),"[1629645, 1629020]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,2.0,Vanderbilt,1629020.0,,,,,,,,
15,PT10M53.00S,2022-04-03T23:11:46.4Z,1,REGULAR,steal,,[],1629020,,,1610612750,2,2,2022-04-03T23:11:48Z,150000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2022-04-03T23:11:49.3Z,1,REGULAR,turnover,lost ball,[],1629020,,,1610612750,2,2,2022-04-03T23:11:53Z,160000,,,0,,J. Vanderbilt lost ball TURNOVER (1 TO),"[1629020, 1629645]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,1.0,Porter Jr.,1629645.0,,,,,,,,
