actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-25T01:10:43.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T01:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-25T01:10:46.4Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2021-11-25T01:10:46Z,40000,,,0,,Jump Ball C. Wood vs. N. Vucevic: Tip to K. Porter Jr.,"[1629645, 1626174, 202696]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-25T01:11:01.7Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612745,0,0,2021-11-25T01:11:09Z,70000,,,0,,K. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[1629645],1610612745.0,HOU,bad pass,,,Porter Jr.,K. Porter Jr.,,,,,201638.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2021-11-25T01:11:24.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629750,94.82588699080158,4.411764705882353,1610612741,0,3,2021-11-25T01:11:29Z,80000,-228.0,-4.0,1,right,J. Green 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629750, 202696]",1610612741.0,CHI,,,,Green,J. Green,,,,,,,22.79,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2021-11-25T01:11:37.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,7.046649145860711,3.1862745098039214,1610612745,3,3,2021-11-25T01:11:41Z,100000,234.0,14.0,1,left,J. Green 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,23.45,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,
12,PT10M56.00S,2021-11-25T01:11:57.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,3,3,2021-11-25T01:11:57Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2021-11-25T01:12:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,92.9862023653088,46.32352941176471,1610612741,3,3,2021-11-25T01:12:23Z,130000,-18.0,13.0,1,right,MISS D. DeRozan finger roll Layup,[201942],1610612741.0,CHI,finger roll,,,DeRozan,D. DeRozan,,,,,,,2.28,Missed,,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-11-25T01:12:13.5Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,3,3,2021-11-25T01:12:16Z,140000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT10M40.00S,2021-11-25T01:12:22.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202696,86.81011826544021,39.46078431372549,1610612741,3,3,2021-11-25T01:12:40Z,150000,-53.0,71.0,1,right,MISS N. Vucevic 8' bank Shot,[202696],1610612741.0,CHI,bank,,,Vucevic,N. Vucevic,,,,,,,8.88,Missed,,,,,,,,,,,,,,,,
16,PT10M38.00S,2021-11-25T01:12:24.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,3,3,2021-11-25T01:12:40Z,160000,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
17,PT10M35.00S,2021-11-25T01:12:27.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201942,80.3712220762155,61.274509803921575,1610612741,3,3,2021-11-25T01:12:33Z,170000,56.0,132.0,1,right,MISS D. DeRozan 14' driving floating Shot,[201942],1610612741.0,CHI,driving floating,,,DeRozan,D. DeRozan,,,,,,,14.35,Missed,,,,,,,,,,,,,,,,
18,PT10M33.00S,2021-11-25T01:12:29.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,3,3,2021-11-25T01:12:33Z,180000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M23.00S,2021-11-25T01:12:39.8Z,1,REGULAR,3pt,Jump Shot,[],1626174,27.54599211563732,17.892156862745097,1610612745,6,3,2021-11-25T01:12:45Z,190000,161.0,206.0,1,left,C. Wood 26' 3PT  (3 PTS) (K. Porter Jr. 2 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,26.15,Made,3.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,
