actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-29T00:10:55.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-29T00:10:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-29T00:10:58.5Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-03-29T00:10:58Z,40000,,,0,,Jump Ball A. Sengun vs. J. Poeltl: Tip to K. Porter Jr.,"[1629645, 1630578, 1627751]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Sengun,1630578.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-29T00:11:13.6Z,1,REGULAR,3pt,Jump Shot,[],1630578,70.77858081471747,20.833333333333336,1610612745,0,0,2022-03-29T00:11:23Z,70000,-146.0,222.0,1,right,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-29T00:11:17.6Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,0,0,2022-03-29T00:11:23Z,80000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-29T00:11:27.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2022-03-29T00:11:27Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-03-29T00:11:38.9Z,1,REGULAR,2pt,Jump Shot,[],1630563,4.812746386333772,80.63725490196079,1610612759,0,0,2022-03-29T00:12:32Z,100000,-153.0,-7.0,1,left,MISS J. Primo 15' pullup Shot,[1630563],1610612759.0,SAS,pullup,,,Primo,J. Primo,,,,,15.34,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-03-29T00:11:41.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2022-03-29T00:11:45Z,110000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-03-29T00:11:46.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630256,76.82325886990802,6.372549019607843,1610612745,3,0,2022-03-29T00:11:58Z,120000,-218.0,165.0,1,right,J. Tate 27' 3PT  (3 PTS) (G. Mathews 1 AST),"[1630256, 1629726]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,27.37,Made,,,,,3.0,G. Mathews,1629726.0,1.0,,,,,,,,,,,
14,PT11M03.00S,2022-03-29T00:12:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,12.434296977660972,58.82352941176471,1610612759,3,0,2022-03-29T00:12:12Z,140000,-44.0,64.0,1,left,MISS K. Johnson 7' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,7.81,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-03-29T00:12:05.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,3,0,2022-03-29T00:12:12Z,150000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
