actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-22T00:11:10.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-22T00:11:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2022-03-22T00:11:18.3Z,1,REGULAR,jumpball,recovered,[],1630256,,,1610612745,0,0,2022-03-22T00:11:18Z,40000,,,0,,Jump Ball C. Wood vs. K. Porzingis: Tip to J. Tate,"[1630256, 1626174, 204001]",1610612745.0,HOU,startperiod,J. Tate,1630256.0,Tate,J. Tate,Wood,1626174.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-22T00:11:28.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201569,89.43823915900131,50.0,1610612745,0,0,2022-03-22T00:12:45Z,70000,0.0,47.0,1,right,MISS E. Gordon bank Hook,[201569],1610612745.0,HOU,bank,,,Gordon,E. Gordon,,,,,4.68,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-22T00:11:31.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,0,0,2022-03-22T00:11:46Z,80000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-22T00:11:40.9Z,1,REGULAR,2pt,Jump Shot,[],204001,13.354139290407357,67.8921568627451,1610612764,0,2,2022-03-22T00:11:51Z,90000,-89.0,73.0,1,left,K. Porzingis 11' Jump Shot (2 PTS) (R. Neto 1 AST),"[204001, 203526]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,11.55,Made,,,,,2.0,R. Neto,203526.0,1.0,,,,,,,,,,,
11,PT11M04.00S,2022-03-22T00:12:05.0Z,1,REGULAR,3pt,Jump Shot,[],1629645,83.52496714848883,95.58823529411765,1610612745,0,2,2022-03-22T00:12:09Z,110000,228.0,102.0,1,right,MISS K. Porter Jr. 24' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-03-22T00:12:07.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,0,2,2022-03-22T00:12:09Z,120000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-03-22T00:12:17.9Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612764,0,2,2022-03-22T00:12:26Z,130000,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1629645, 204001]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,202026.0,1.0,0.0,Porzingis,204001.0,,,,,,
15,PT10M54.00S,2022-03-22T00:12:49.6Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,0,3,2022-03-22T00:12:49Z,150000,,,0,,K. Porzingis Free Throw 1 of 2 (3 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
16,PT10M54.00S,2022-03-22T00:13:07.7Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,0,4,2022-03-22T00:13:07Z,160000,,,0,,K. Porzingis Free Throw 2 of 2 (4 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
17,PT10M45.00S,2022-03-22T00:13:22.3Z,1,REGULAR,turnover,traveling,[],201569,,,1610612745,0,4,2022-03-22T00:13:29Z,170000,,,0,,E. Gordon traveling TURNOVER (1 TO),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,202026.0,,,,,1.0,,,,,
18,PT10M33.00S,2022-03-22T00:13:42.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629060,26.49474375821288,84.06862745098039,1610612764,0,7,2022-03-22T00:13:49Z,180000,-170.0,197.0,1,left,R. Hachimura 26' 3PT  (3 PTS) (R. Neto 2 AST),"[1629060, 203526]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,26.01,Made,,,,,3.0,R. Neto,203526.0,2.0,,,,,,,,,,,
20,PT10M22.00S,2022-03-22T00:13:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,92.06636005256242,42.40196078431372,1610612745,2,7,2022-03-22T00:14:02Z,200000,-38.0,22.0,1,right,K. Porter Jr. driving Layup (2 PTS),[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,4.4,Made,,,,,2.0,,,,,,,,,,,,,,
21,PT10M22.00S,2022-03-22T00:13:58.0Z,1,REGULAR,foul,personal,['1freethrow'],1629060,,,1610612745,2,7,2022-03-22T00:14:15Z,210000,,,0,,R. Hachimura shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1629060, 1629645]",1610612764.0,WAS,shooting,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,203593.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,
23,PT10M22.00S,2022-03-22T00:14:18.1Z,1,REGULAR,freethrow,1 of 1,[],1629645,,,1610612745,3,7,2022-03-22T00:14:18Z,230000,,,0,,K. Porter Jr. Free Throw 1 of 1 (3 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
24,PT10M03.00S,2022-03-22T00:14:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,8.09789750328515,57.59803921568627,1610612764,3,9,2022-03-22T00:14:43Z,240000,-38.0,24.0,1,left,R. Hachimura driving Layup (5 PTS),[1629060],1610612764.0,WAS,driving,,,Hachimura,R. Hachimura,,,,,4.47,Made,,,,,5.0,,,,,,,,,,,,,,
25,PT09M47.00S,2022-03-22T00:14:54.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,90.62089356110381,49.01960784313725,1610612745,3,9,2022-03-22T00:14:58Z,250000,-5.0,36.0,1,right,MISS J. Tate Hook - blocked,"[1630256, 204001]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,3.6,Missed,,,,,,,,,,,,,,,Porzingis,204001.0,,,
26,PT09M47.00S,2022-03-22T00:14:54.6Z,1,REGULAR,block,,[],204001,,,1610612745,3,9,2022-03-22T00:14:57Z,260000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2022-03-22T00:14:58.6Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,3,9,2022-03-22T00:14:58Z,270000,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
28,PT09M40.00S,2022-03-22T00:15:01.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629645,80.89684625492772,29.901960784313726,1610612745,5,9,2022-03-22T00:15:38Z,280000,-100.0,127.0,1,right,K. Porter Jr. 16' Jump Shot (5 PTS) (J. Tate 1 AST),"[1629645, 1630256]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,16.2,Made,,,,,5.0,J. Tate,1630256.0,1.0,,,,,,,,,,,
30,PT09M27.00S,2022-03-22T00:15:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630557,33.065045992115635,68.87254901960785,1610612764,5,9,2022-03-22T00:15:20Z,300000,-94.0,258.0,1,left,MISS C. Kispert 27' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,27.5,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2022-03-22T00:15:17.6Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612764,5,9,2022-03-22T00:15:17Z,310000,,,0,,R. Hachimura REBOUND (Off:1 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
