actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T01:10:43.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T01:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-10T01:10:45.7Z,1,REGULAR,jumpball,recovered,[],1626169,,,1610612747,0,0,2022-03-10T01:10:45Z,40000,,,0,,Jump Ball L. James vs. A. Sengun: Tip to S. Johnson,"[1626169, 2544, 1630578]",1610612747.0,LAL,startperiod,S. Johnson,1626169.0,Johnson,S. Johnson,James,2544.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-10T01:10:54.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628370,6.1268068331143235,50.0,1610612747,0,2,2022-03-10T01:11:00Z,70000,0.0,5.0,1,left,M. Monk alley-oop DUNK (2 PTS) (R. Westbrook 1 AST),"[1628370, 201566]",1610612747.0,LAL,alley-oop,,,Monk,M. Monk,,,,,0.51,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2022-03-10T01:11:10.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,86.81011826544021,58.08823529411765,1610612745,0,2,2022-03-10T01:11:17Z,90000,40.0,71.0,1,right,MISS A. Sengun 8' turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,8.21,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-03-10T01:11:12.7Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,2,2022-03-10T01:11:17Z,100000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M25.00S,2022-03-10T01:11:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201566,6.915243101182654,49.50980392156863,1610612747,0,4,2022-03-10T01:11:24Z,110000,2.0,13.0,1,left,R. Westbrook running Layup (2 PTS),[201566],1610612747.0,LAL,running,,,Westbrook,R. Westbrook,,,,,1.27,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-03-10T01:11:30.7Z,1,REGULAR,foul,personal,[],1630559,,,1610612745,0,4,2022-03-10T01:11:43Z,120000,,,0,,A. Reaves personal FOUL (1 PF),"[1630559, 1630224]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,1193.0,1.0,0.0,Green,1630224.0,,,,,
14,PT11M07.00S,2022-03-10T01:11:52.8Z,1,REGULAR,2pt,Jump Shot,[],1630224,90.88370565045992,91.91176470588235,1610612745,0,4,2022-03-10T01:11:58Z,140000,210.0,33.0,1,right,MISS J. Green 21' step back Shot,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,21.22,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2022-03-10T01:11:54.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,4,2022-03-10T01:11:58Z,150000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT11M02.00S,2022-03-10T01:11:57.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,29.77989487516426,75.49019607843137,1610612747,0,4,2022-03-10T01:12:05Z,160000,-127.0,227.0,1,left,MISS L. James 26' pullup 3PT,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2022-03-10T01:12:01.0Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612747,0,4,2022-03-10T01:12:01Z,170000,,,0,,M. Monk REBOUND (Off:1 Def:0),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
18,PT10M57.00S,2022-03-10T01:12:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2544,7.440867279894875,47.549019607843135,1610612747,0,6,2022-03-10T01:12:10Z,180000,12.0,17.0,1,left,L. James cutting Layup (2 PTS) (M. Monk 1 AST),"[2544, 1628370]",1610612747.0,LAL,cutting,,,James,L. James,,,,,2.13,Made,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,
20,PT10M44.00S,2022-03-10T01:12:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,91.67214191852825,52.450980392156865,1610612745,0,6,2022-03-10T01:12:23Z,200000,12.0,26.0,1,right,MISS K. Porter Jr. driving Layup,[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,2.86,Missed,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2022-03-10T01:12:21.2Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,0,6,2022-03-10T01:12:23Z,220000,,,0,,M. Monk REBOUND (Off:1 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,
23,PT10M37.00S,2022-03-10T01:12:23.6Z,1,REGULAR,3pt,Jump Shot,[],1628370,7.30946123521682,2.450980392156863,1610612747,0,6,2022-03-10T01:12:29Z,230000,238.0,16.0,1,left,MISS M. Monk 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,23.83,Missed,,,,,,,,,,,,,,,,,,
24,PT10M36.00S,2022-03-10T01:12:24.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,6,2022-03-10T01:12:29Z,240000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,
26,PT10M36.00S,2022-03-10T01:12:28.5Z,1,REGULAR,foul,personal,[],1630559,,,1610612745,0,6,2022-03-10T01:12:50Z,260000,,,0,,A. Reaves loose ball personal FOUL (2 PF),"[1630559, 1630578]",1610612747.0,LAL,loose ball,,,Reaves,A. Reaves,,,,,,,,,,,,,,,1193.0,2.0,0.0,Sengun,1630578.0,,,,,
28,PT10M36.00S,2022-03-10T01:12:41.3Z,1,REGULAR,substitution,out,[],1630559,,,1610612745,0,6,2022-03-10T01:12:44Z,280000,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M36.00S,2022-03-10T01:12:41.3Z,1,REGULAR,substitution,in,[],202340,,,1610612745,0,6,2022-03-10T01:12:44Z,290000,,,0,,SUB in: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M26.00S,2022-03-10T01:12:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,92.19776609724047,54.41176470588235,1610612745,2,6,2022-03-10T01:13:10Z,300000,22.0,21.0,1,right,E. Gordon cutting Layup (2 PTS) (K. Porter Jr. 1 AST),"[201569, 1629645]",1610612745.0,HOU,cutting,,,Gordon,E. Gordon,,,,,3.03,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
32,PT10M07.00S,2022-03-10T01:13:17.9Z,1,REGULAR,turnover,bad pass,[],202340,,,1610612747,2,6,2022-03-10T01:13:24Z,320000,,,0,,A. Bradley bad pass TURNOVER (1 TO),"[202340, 201569]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,1.0,Gordon,201569.0,,
33,PT10M07.00S,2022-03-10T01:13:17.9Z,1,REGULAR,steal,,[],201569,,,1610612745,2,6,2022-03-10T01:13:20Z,330000,,,0,,E. Gordon STEAL (1 STL),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
34,PT10M01.00S,2022-03-10T01:13:24.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630231,94.03745072273325,51.9607843137255,1610612745,4,6,2022-03-10T01:13:53Z,340000,10.0,4.0,1,right,K. Martin Jr. cutting DUNK (2 PTS) (K. Porter Jr. 2 AST),"[1630231, 1629645]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,1.04,Made,2.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,
36,PT09M34.00S,2022-03-10T01:13:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.389618922470433,53.67647058823529,1610612747,4,6,2022-03-10T01:13:58Z,360000,-18.0,8.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.99,Missed,,,,,,,,,,,,,,,,,,
37,PT09M34.00S,2022-03-10T01:13:51.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,6,2022-03-10T01:13:58Z,370000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT09M28.00S,2022-03-10T01:13:56.8Z,1,REGULAR,turnover,lost ball,[],1630578,,,1610612745,4,6,2022-03-10T01:14:02Z,380000,,,0,,A. Sengun lost ball TURNOVER (1 TO),"[1630578, 202340]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,1.0,Bradley,202340.0,,
39,PT09M28.00S,2022-03-10T01:13:56.8Z,1,REGULAR,steal,,[],202340,,,1610612747,4,6,2022-03-10T01:14:00Z,390000,,,0,,A. Bradley STEAL (1 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2022-03-10T01:14:02.1Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612747,4,6,2022-03-10T01:14:18Z,400000,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1630578]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,1.0,Sengun,1630578.0,,
41,PT09M23.00S,2022-03-10T01:14:02.1Z,1,REGULAR,steal,,[],1630578,,,1610612745,4,6,2022-03-10T01:14:04Z,410000,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M13.00S,2022-03-10T01:14:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630224,91.93495400788436,51.71568627450981,1610612745,6,6,2022-03-10T01:16:09Z,430000,9.0,23.0,1,right,J. Green driving Layup (2 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,2.48,Made,2.0,,,,,,,,,,,,,,,,,
44,PT09M07.00S,2022-03-10T01:14:17.3Z,1,REGULAR,2pt,Jump Shot,[],202340,7.178055190538765,26.96078431372549,1610612747,6,8,2022-03-10T01:17:33Z,440000,115.0,15.0,1,left,A. Bradley 11' pullup Jump Shot (2 PTS) (L. James 1 AST),"[202340, 2544]",1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,11.62,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
46,PT08M46.00S,2022-03-10T01:14:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,94.43166885676742,42.40196078431372,1610612745,6,8,2022-03-10T01:14:44Z,460000,-38.0,0.0,1,right,MISS K. Porter Jr. driving finger roll Layup,[1629645],1610612745.0,HOU,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,3.8,Missed,,,,,,,,,,,,,,,,,,
47,PT08M46.00S,2022-03-10T01:14:38.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,6,8,2022-03-10T01:14:59Z,470000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,
48,PT08M40.00S,2022-03-10T01:14:44.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202340,32.14520367936925,28.431372549019606,1610612747,6,11,2022-03-10T01:14:52Z,480000,108.0,250.0,1,left,A. Bradley 27' 3PT pullup (5 PTS),[202340],1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,27.2,Made,5.0,,,,,,,,,,,,,,,,,
49,PT08M23.00S,2022-03-10T01:15:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,93.77463863337714,51.71568627450981,1610612745,6,11,2022-03-10T01:15:11Z,490000,9.0,6.0,1,right,MISS E. Gordon driving finger roll Layup,[201569],1610612745.0,HOU,driving finger roll,,,Gordon,E. Gordon,,,,,1.05,Missed,,,,,,,,,,,,,,,,,,
50,PT08M22.00S,2022-03-10T01:15:02.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,6,11,2022-03-10T01:15:11Z,500000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,
51,PT08M15.00S,2022-03-10T01:15:10.9Z,1,REGULAR,2pt,Jump Shot,[],1626169,6.652431011826544,78.18627450980392,1610612747,6,13,2022-03-10T01:19:21Z,510000,-141.0,10.0,1,left,S. Johnson 14' step back Jump Shot (2 PTS) (L. James 2 AST),"[1626169, 2544]",1610612747.0,LAL,step back,,,Johnson,S. Johnson,,,,,14.13,Made,2.0,L. James,2544.0,2.0,,,,,,,,,,,,,,
53,PT07M54.00S,2022-03-10T01:15:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,93.64323258869908,45.83333333333333,1610612745,8,13,2022-03-10T01:15:35Z,530000,-21.0,7.0,1,right,K. Porter Jr. driving finger roll Layup (2 PTS),[1629645],1610612745.0,HOU,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,2.2,Made,2.0,,,,,,,,,,,,,,,,,
54,PT07M46.00S,2022-03-10T01:15:38.8Z,1,REGULAR,3pt,Jump Shot,[],1628370,8.492115637319317,95.09803921568627,1610612747,8,16,2022-03-10T01:15:45Z,540000,-225.0,27.0,1,left,M. Monk 3PT  (5 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,22.71,Made,5.0,,,,,,,,,,,,,,,,,
56,PT07M26.00S,2022-03-10T01:15:58.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,77.7431011826544,92.64705882352942,1610612745,11,16,2022-03-10T01:16:03Z,560000,213.0,157.0,1,right,J. Green 26' 3PT  (5 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,26.46,Made,5.0,,,,,,,,,,,,,,,,,
57,PT07M15.00S,2022-03-10T01:16:09.2Z,1,REGULAR,3pt,Jump Shot,[],202340,13.091327201051248,95.58823529411765,1610612747,11,16,2022-03-10T01:16:16Z,570000,-228.0,71.0,1,left,MISS A. Bradley 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,23.86,Missed,,,,,,,,,,,,,,,,,,
58,PT07M15.00S,2022-03-10T01:16:09.2Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,11,16,2022-03-10T01:16:16Z,580000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M01.00S,2022-03-10T01:16:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629645,66.5735873850197,40.19607843137255,1610612745,11,16,2022-03-10T01:16:34Z,590000,-49.0,262.0,1,right,MISS K. Porter Jr. 26' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,
60,PT07M00.00S,2022-03-10T01:16:24.4Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,11,16,2022-03-10T01:16:34Z,600000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT06M52.00S,2022-03-10T01:16:32.5Z,1,REGULAR,3pt,Jump Shot,[],1628370,11.645860709592641,3.9215686274509802,1610612747,11,16,2022-03-10T01:16:39Z,610000,230.0,57.0,1,left,MISS M. Monk 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2022-03-10T01:16:33.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,11,16,2022-03-10T01:16:39Z,620000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,
63,PT06M44.00S,2022-03-10T01:16:40.8Z,1,REGULAR,3pt,Jump Shot,[],201569,74.45795006570303,91.91176470588235,1610612745,14,16,2022-03-10T01:16:49Z,630000,210.0,188.0,1,right,E. Gordon 28' 3PT  (5 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,28.13,Made,5.0,,,,,,,,,,,,,,,,,
