actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-11T00:45:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T00:45:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-11T00:45:27.7Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2021-11-11T00:45:27Z,40000,,,0,,Jump Ball I. Stewart vs. C. Wood: Tip to C. Cunningham,"[1630595, 1630191, 1626174]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Stewart,1630191.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-11T00:45:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,17.821944809461236,39.21568627450981,1610612765,0,0,2021-11-11T00:45:56Z,70000,54.0,115.0,1,left,MISS C. Cunningham 12' Jump Shot,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,12.7,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-11-11T00:45:48.2Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,0,0,2021-11-11T00:46:04Z,80000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2021-11-11T00:46:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,93.64323258869908,54.90196078431373,1610612745,0,0,2021-11-11T00:46:25Z,90000,25.0,7.0,1,right,MISS K. Porter Jr. driving finger roll Layup - blocked,"[1629645, 203924]",1610612745.0,HOU,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,2.56,Missed,,,,,Grant,203924.0,,,,,,,,,,,,,
10,PT11M19.00S,2021-11-11T00:46:05.6Z,1,REGULAR,block,,[],203924,,,1610612745,0,0,2021-11-11T00:46:08Z,100000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2021-11-11T00:46:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,0,2021-11-11T00:46:25Z,110000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2021-11-11T00:46:10.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,0,2021-11-11T00:46:10Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2021-11-11T00:46:21.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630224,91.80354796320631,48.28431372549019,1610612745,0,0,2021-11-11T00:53:45Z,130000,-9.0,25.0,1,right,MISS J. Green cutting Layup - blocked,"[1630224, 1630191]",1610612745.0,HOU,cutting,,,Green,J. Green,,,,,2.6,Missed,,,,,Stewart,1630191.0,,,,,,,,,,,,,
14,PT11M16.00S,2021-11-11T00:46:21.3Z,1,REGULAR,block,,[],1630191,,,1610612745,0,0,2021-11-11T00:46:23Z,140000,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
