actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-29T01:11:25.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T01:11:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-29T01:11:28.1Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-01-29T01:11:28Z,40000,,,0,,Jump Ball J. Nurkic vs. C. Wood: Tip to A. Simons,"[1629014, 203994, 1626174]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-29T01:11:46.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,8.886333771353483,45.09803921568628,1610612757,0,2,2022-01-29T01:11:55Z,70000,25.0,31.0,1,left,J. Nurkic bank Hook (2 PTS),[203994],1610612757.0,POR,bank,,,Nurkic,J. Nurkic,,,,,3.95,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-01-29T01:11:59.5Z,1,REGULAR,3pt,Jump Shot,[],1626174,95.6143232588699,96.07843137254902,1610612745,0,2,2022-01-29T01:12:08Z,80000,230.0,-11.0,1,right,MISS C. Wood 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-01-29T01:12:00.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,2,2022-01-29T01:12:08Z,90000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M04.00S,2022-01-29T01:12:20.8Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612757,0,2,2022-01-29T01:12:26Z,100000,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 1629726]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,1.0,Mathews,1629726.0,,,,,,,,,,,
11,PT11M04.00S,2022-01-29T01:12:20.8Z,1,REGULAR,steal,,[],1629726,,,1610612745,0,2,2022-01-29T01:12:22Z,110000,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M43.00S,2022-01-29T01:12:41.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,67.62483574244416,64.95098039215686,1610612745,0,2,2022-01-29T01:12:49Z,120000,75.0,252.0,1,right,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-01-29T01:12:42.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,2,2022-01-29T01:12:49Z,130000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M33.00S,2022-01-29T01:12:52.0Z,1,REGULAR,2pt,Jump Shot,[],203468,7.30946123521682,72.05882352941177,1610612757,0,2,2022-01-29T01:12:57Z,140000,-110.0,16.0,1,left,MISS C. McCollum 11' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,11.15,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-01-29T01:12:52.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,2,2022-01-29T01:12:57Z,150000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M24.00S,2022-01-29T01:13:01.0Z,1,REGULAR,3pt,Jump Shot,[],201569,67.62483574244416,65.68627450980392,1610612745,0,2,2022-01-29T01:13:06Z,160000,78.0,252.0,1,right,MISS E. Gordon 26' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2022-01-29T01:13:02.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,2,2022-01-29T01:13:06Z,170000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,16.0,3.0,3.0,0.0,,,,,,,,,,,,,,
18,PT10M13.00S,2022-01-29T01:13:12.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,31.488173455978973,27.696078431372552,1610612757,0,2,2022-01-29T01:13:53Z,180000,112.0,243.0,1,left,MISS A. Simons 26' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2022-01-29T01:13:13.3Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,0,2,2022-01-29T01:13:21Z,190000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M04.00S,2022-01-29T01:13:20.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,73.01248357424441,17.401960784313726,1610612745,0,2,2022-01-29T01:13:26Z,200000,-163.0,201.0,1,right,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M03.00S,2022-01-29T01:13:21.8Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,0,2,2022-01-29T01:13:26Z,210000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M56.00S,2022-01-29T01:13:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1630256,,,1610612757,0,2,2022-01-29T01:13:38Z,220000,,,0,,J. Tate shooting personal FOUL (1 PF) (McCollum 2 FT),"[1630256, 203468]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,,,,,,,,,,,2005.0,1.0,0.0,McCollum,203468.0,,,,,,
24,PT09M56.00S,2022-01-29T01:13:55.5Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612757,0,3,2022-01-29T01:13:55Z,240000,,,0,,C. McCollum Free Throw 1 of 2 (1 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
25,PT09M56.00S,2022-01-29T01:14:09.7Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612757,0,4,2022-01-29T01:14:09Z,250000,,,0,,C. McCollum Free Throw 2 of 2 (2 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT09M33.00S,2022-01-29T01:14:34.4Z,1,REGULAR,3pt,Jump Shot,[],1630256,67.36202365308804,46.32352941176471,1610612745,3,4,2022-01-29T01:14:39Z,260000,-18.0,254.0,1,right,J. Tate 25' 3PT  (3 PTS) (J. Green 1 AST),"[1630256, 1630224]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.5,Made,3.0,,,,,,,,,,,,,J. Green,1630224.0,1.0,,,
28,PT09M16.00S,2022-01-29T01:14:53.7Z,1,REGULAR,turnover,traveling,[],1629014,,,1610612757,3,4,2022-01-29T01:15:00Z,280000,,,0,,A. Simons traveling TURNOVER (1 TO),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,1.0,,,202049.0,,,,,,,,,,
