actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-28T00:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-28T00:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-28T00:10:55.3Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2022-02-28T00:10:55Z,40000,,,0,,Jump Ball C. Wood vs. I. Zubac: Tip to J. Green,"[1630224, 1626174, 1627826]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Wood,1626174.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-28T00:11:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,7.835085413929041,45.34313725490196,1610612745,2,0,2022-02-28T00:11:15Z,70000,23.0,21.0,1,left,J. Tate cutting Layup (2 PTS) (J. Green 1 AST),"[1630256, 1630224]",1610612745.0,HOU,cutting,,,Tate,J. Tate,,,,,3.14,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-28T00:11:34.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,92.46057818659659,39.950980392156865,1610612746,2,2,2022-02-28T00:11:39Z,90000,-50.0,18.0,1,right,I. Zubac turnaround Hook (2 PTS) (M. Morris Sr. 1 AST),"[1627826, 202694]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,5.35,Made,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,,,,,
11,PT10M57.00S,2022-02-28T00:11:54.4Z,1,REGULAR,3pt,Jump Shot,[],203471,24.655059132720105,87.00980392156863,1610612745,5,2,2022-02-28T00:11:58Z,110000,-185.0,179.0,1,left,D. Schroder 25' 3PT  (3 PTS) (J. Tate 1 AST),"[203471, 1630256]",1610612745.0,HOU,,,,Schroder,D. Schroder,,,,,25.76,Made,3.0,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,,
13,PT10M35.00S,2022-02-28T00:12:17.2Z,1,REGULAR,2pt,Jump Shot,[],201587,88.12417871222075,72.54901960784314,1610612746,5,2,2022-02-28T00:12:31Z,130000,113.0,59.0,1,right,MISS N. Batum 12' fadeaway Shot,[201587],1610612746.0,LAC,fadeaway,,,Batum,N. Batum,,,,,12.73,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2022-02-28T00:12:18.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,5,2,2022-02-28T00:12:31Z,140000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M25.00S,2022-02-28T00:12:27.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.85348226018397,47.549019607843135,1610612745,5,2,2022-02-28T00:12:35Z,150000,12.0,266.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M23.00S,2022-02-28T00:12:29.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,2,2022-02-28T00:12:35Z,160000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M17.00S,2022-02-28T00:12:35.1Z,1,REGULAR,3pt,Jump Shot,[],202694,70.38436268068331,74.01960784313727,1610612746,5,2,2022-02-28T00:13:05Z,170000,120.0,226.0,1,right,MISS M. Morris Sr. 25' pullup 3PT,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M16.00S,2022-02-28T00:12:36.1Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,5,2,2022-02-28T00:12:43Z,180000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,
19,PT10M11.00S,2022-02-28T00:12:41.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201587,93.77463863337714,73.77450980392157,1610612746,5,4,2022-02-28T00:13:10Z,190000,119.0,6.0,1,right,N. Batum 11' fadeaway Jump Shot (2 PTS) (I. Zubac 1 AST),"[201587, 1627826]",1610612746.0,LAC,fadeaway,,,Batum,N. Batum,,,,,11.91,Made,2.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,,
