actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-02-07T00:11:02.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-07T00:11:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-07T00:11:04.7Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2022-02-07T00:11:04Z,40000,,,0,,Jump Ball J. Valanciunas vs. C. Wood: Tip to J. Hart,"[1628404, 202685, 1626174]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-07T00:11:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.5407358738502,54.90196078431373,1610612740,0,0,2022-02-07T00:11:26Z,70000,25.0,27.0,1,right,MISS J. Valanciunas cutting Layup - blocked,"[202685, 1630256]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,3.65,Missed,Tate,1630256.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-02-07T00:11:18.3Z,1,REGULAR,block,,[],1630256,,,1610612740,0,0,2022-02-07T00:11:20Z,80000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-02-07T00:11:19.3Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2022-02-07T00:11:26Z,90000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M28.00S,2022-02-07T00:11:33.5Z,1,REGULAR,turnover,bad pass,[],1630256,,,1610612745,0,0,2022-02-07T00:11:39Z,100000,,,0,,J. Tate bad pass TURNOVER (1 TO),"[1630256, 1630529]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,,,,,
11,PT11M28.00S,2022-02-07T00:11:33.5Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2022-02-07T00:11:39Z,110000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-02-07T00:11:40.7Z,1,REGULAR,foul,offensive,[],1630529,,,1610612740,0,0,2022-02-07T00:11:47Z,120000,,,0,,H. Jones charge offensive FOUL (1 PF),"[1630529, 1630256]",1610612740.0,NOP,charge,,,Jones,H. Jones,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Tate,1630256.0,,,,,
14,PT11M23.00S,2022-02-07T00:11:40.7Z,1,REGULAR,turnover,offensive foul,[],1630529,,,1610612740,0,0,2022-02-07T00:11:40Z,140000,,,0,,H. Jones offensive foul TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,1.0,,,1627964.0,,,,,,,,,
15,PT11M02.00S,2022-02-07T00:12:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630578,30.042706964520367,75.49019607843137,1610612745,3,0,2022-02-07T00:12:20Z,150000,-127.0,230.0,1,left,A. Sengun 26' 3PT  (3 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,26.29,Made,,,,,,,,,,,,,,,3.0,J. Green,1630224.0,1.0,
17,PT10M40.00S,2022-02-07T00:12:38.3Z,1,REGULAR,3pt,Jump Shot,[],1628984,72.35545335085413,80.3921568627451,1610612740,3,3,2022-02-07T00:12:41Z,170000,152.0,207.0,1,right,D. Graham 25' 3PT  (3 PTS) (J. Hart 1 AST),"[1628984, 1628404]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.71,Made,,,,,,,,,,,,,,,3.0,J. Hart,1628404.0,1.0,
19,PT10M20.00S,2022-02-07T00:12:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630256,6.915243101182654,4.411764705882353,1610612745,3,3,2022-02-07T00:13:01Z,190000,228.0,13.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M19.00S,2022-02-07T00:12:58.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,3,3,2022-02-07T00:13:01Z,200000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M15.00S,2022-02-07T00:13:02.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628984,73.9323258869908,82.59803921568627,1610612740,3,3,2022-02-07T00:13:11Z,210000,163.0,193.0,1,right,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2022-02-07T00:13:03.9Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,3,3,2022-02-07T00:13:25Z,220000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M08.00S,2022-02-07T00:13:12.6Z,1,REGULAR,foul,personal,[],1628984,,,1610612745,3,3,2022-02-07T00:13:19Z,230000,,,0,,D. Graham personal FOUL (1 PF),"[1628984, 1630224]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Green,1630224.0,,,,,
25,PT09M59.00S,2022-02-07T00:13:37.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,9.674770039421814,50.73529411764706,1610612745,3,3,2022-02-07T00:13:42Z,250000,-4.0,38.0,1,left,MISS J. Tate turnaround Hook,[1630256],1610612745.0,HOU,turnaround,,,Tate,J. Tate,,,,,3.86,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M58.00S,2022-02-07T00:13:38.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,3,2022-02-07T00:13:42Z,260000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M50.00S,2022-02-07T00:13:46.0Z,1,REGULAR,2pt,Jump Shot,[],1628984,93.11760840998686,29.65686274509804,1610612740,3,3,2022-02-07T00:13:53Z,270000,-102.0,12.0,1,right,MISS D. Graham 10' driving floating Shot,[1628984],1610612740.0,NOP,driving floating,,,Graham,D. Graham,,,,,10.24,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M50.00S,2022-02-07T00:13:46.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,3,3,2022-02-07T00:13:53Z,280000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
29,PT09M35.00S,2022-02-07T00:14:04.0Z,1,REGULAR,foul,personal,[],1628404,,,1610612745,3,3,2022-02-07T00:14:11Z,290000,,,0,,J. Hart personal FOUL (1 PF),"[1628404, 1626174]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,1628487.0,1.0,0.0,Wood,1626174.0,,,,,
31,PT09M32.00S,2022-02-07T00:14:24.0Z,1,REGULAR,foul,personal,[],1630529,,,1610612745,3,3,2022-02-07T00:14:31Z,310000,,,0,,H. Jones personal FOUL (2 PF),"[1630529, 1630578]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,1628487.0,2.0,0.0,Sengun,1630578.0,,,,,
33,PT09M32.00S,2022-02-07T00:14:33.9Z,1,REGULAR,substitution,out,[],1630529,,,1610612745,3,3,2022-02-07T00:14:38Z,330000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M32.00S,2022-02-07T00:14:33.9Z,1,REGULAR,substitution,in,[],1629637,,,1610612745,3,3,2022-02-07T00:14:38Z,340000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M27.00S,2022-02-07T00:14:49.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,27.151773981603156,16.176470588235293,1610612745,3,3,2022-02-07T00:14:54Z,350000,169.0,203.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M26.00S,2022-02-07T00:14:50.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,3,2022-02-07T00:14:54Z,360000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,
37,PT09M19.00S,2022-02-07T00:14:57.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,73.40670170827858,68.38235294117648,1610612740,3,5,2022-02-07T00:15:03Z,370000,92.0,197.0,1,right,B. Ingram 21' pullup Jump Shot (2 PTS) (J. Hart 2 AST),"[1627742, 1628404]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,21.78,Made,,,,,,,,,,,,,,,2.0,J. Hart,1628404.0,2.0,
39,PT08M58.00S,2022-02-07T00:15:18.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,9.411957950065702,47.30392156862745,1610612745,3,5,2022-02-07T00:15:24Z,390000,13.0,36.0,1,left,MISS J. Tate Hook,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,3.84,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M57.00S,2022-02-07T00:15:19.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,5,2022-02-07T00:15:24Z,410000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,
42,PT08M48.00S,2022-02-07T00:15:28.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,81.553876478318,71.81372549019608,1610612740,3,7,2022-02-07T00:15:32Z,420000,109.0,121.0,1,right,B. Ingram 16' pullup Jump Shot (4 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,16.28,Made,,,,,,,,,,,,,,,4.0,,,,
43,PT08M33.00S,2022-02-07T00:15:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629645,30.831143232588698,71.32352941176471,1610612745,3,7,2022-02-07T00:15:48Z,430000,-107.0,237.0,1,left,MISS K. Porter Jr. 26' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M32.00S,2022-02-07T00:15:44.1Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,3,7,2022-02-07T00:15:48Z,440000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,
45,PT08M16.00S,2022-02-07T00:15:59.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,75.50919842312747,12.990196078431374,1610612740,3,7,2022-02-07T00:16:07Z,450000,-185.0,178.0,1,right,MISS B. Ingram 25' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2022-02-07T00:16:00.8Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,3,7,2022-02-07T00:16:07Z,460000,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,
47,PT08M05.00S,2022-02-07T00:16:11.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629637,84.1819973718791,95.34313725490196,1610612740,3,7,2022-02-07T00:23:34Z,470000,227.0,96.0,1,right,MISS J. Hayes 24' step back 3PT,[1629637],1610612740.0,NOP,step back,,,Hayes,J. Hayes,,,,,24.63,Missed,,,,,,,,,,,,,,,,,,,
