actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-13T01:11:25.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T01:11:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2021-11-13T01:11:34.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2021-11-13T01:14:37Z,25000,,,0,,TEAM delay-of-game VIOLATION,[],1610612745.0,HOU,1146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-11-13T01:11:40.1Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-11-13T01:11:28Z,40000,,,0,,Jump Ball C. Wood vs. J. Nurkic: Tip to D. Theis,"[1628464, 1626174, 203994]",1610612745.0,HOU,,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-13T01:11:46.0Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,0,0,2021-11-13T01:12:39Z,80000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 203468]",1610612745.0,HOU,,,,,Green,J. Green,,,,,1.0,McCollum,203468.0,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-11-13T01:11:46.0Z,1,REGULAR,steal,,[],203468,,,1610612757,0,0,2021-11-13T01:14:00Z,90000,,,0,,C. McCollum STEAL (1 STL),[203468],1610612757.0,POR,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2021-11-13T01:11:53.2Z,1,REGULAR,foul,personal,[],1630256,,,1610612757,0,0,2021-11-13T01:14:17Z,100000,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1626181]",1610612745.0,HOU,1146.0,,,,Tate,J. Tate,,,,,,,,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,
12,PT11M27.00S,2021-11-13T01:12:10.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,7.178055190538765,94.36274509803921,1610612757,0,0,2021-11-13T01:12:47Z,120000,-222.0,15.0,1,left,MISS N. Powell fadeaway 3PT,[1626181],1610612757.0,POR,,fadeaway,,,Powell,N. Powell,,,,,,,,,,,,22.23,Missed,,,,,,,,,,,
13,PT11M24.00S,2021-11-13T01:12:13.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,0,0,2021-11-13T01:12:13Z,130000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT11M09.00S,2021-11-13T01:12:28.6Z,1,REGULAR,3pt,Jump Shot,[],1629645,70.25295663600527,71.32352941176471,1610612745,0,0,2021-11-13T01:12:56Z,140000,107.0,227.0,1,right,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,25.09,Missed,,,,,,,,,,,
15,PT11M07.00S,2021-11-13T01:12:30.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2021-11-13T01:12:56Z,150000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
