actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-29T00:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-29T00:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-29T00:10:55.0Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,0,0,2021-10-29T00:10:55Z,40000,,,0,,Jump Ball R. Gobert vs. C. Wood: Tip to M. Conley,"[201144, 203497, 1626174]",1610612762.0,UTA,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-29T00:11:06.5Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,0,0,2021-10-29T00:11:11Z,70000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1626174]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,1.0,Wood,1626174.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-10-29T00:11:06.5Z,1,REGULAR,steal,,[],1626174,,,1610612745,0,0,2021-10-29T00:11:08Z,80000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-10-29T00:11:17.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628464,5.995400788436268,47.549019607843135,1610612745,2,0,2021-10-29T00:11:23Z,90000,12.0,4.0,1,left,D. Theis cutting Layup (2 PTS) (C. Wood 1 AST),"[1628464, 1626174]",1610612745.0,HOU,cutting,,,Theis,D. Theis,,,,,,,,1.29,Made,2.0,C. Wood,1626174.0,1.0,,,,,,,,,,,
11,PT11M12.00S,2021-10-29T00:11:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,94.1688567674113,51.9607843137255,1610612762,2,2,2021-10-29T00:12:36Z,110000,10.0,2.0,1,right,R. O'Neale driving Layup (2 PTS) (B. Bogdanovic 1 AST),"[1626220, 202711]",1610612762.0,UTA,driving,,,O'Neale,R. O'Neale,,,,,,,,1.01,Made,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,
13,PT11M01.00S,2021-10-29T00:11:50.8Z,1,REGULAR,3pt,Jump Shot,[],1630256,18.084756898817346,96.32352941176471,1610612745,2,2,2021-10-29T00:11:58Z,130000,-232.0,117.0,1,left,MISS J. Tate 25' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,25.97,Missed,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-10-29T00:11:51.8Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,2,2,2021-10-29T00:11:58Z,140000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M49.00S,2021-10-29T00:12:02.0Z,1,REGULAR,3pt,Jump Shot,[],202711,69.07030223390277,69.11764705882352,1610612762,2,5,2021-10-29T00:12:06Z,150000,96.0,238.0,1,right,B. Bogdanovic 25' 3PT  (3 PTS) (R. Gobert 1 AST),"[202711, 203497]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,25.67,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,,
17,PT10M24.00S,2021-10-29T00:12:29.6Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,2,5,2021-10-29T00:12:38Z,170000,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,bad pass,,,Green,J. Green,,,,,1.0,,,,,,,,,,,,,203591.0,,,,,,
18,PT10M03.00S,2021-10-29T00:12:58.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201144,73.80091984231275,52.94117647058824,1610612762,2,7,2021-10-29T00:13:04Z,180000,15.0,194.0,1,right,M. Conley 19' step back Jump Shot (2 PTS),[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,,,,19.44,Made,2.0,,,,,,,,,,,,,,
19,PT09M42.00S,2021-10-29T00:13:18.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,34.11629434954008,44.6078431372549,1610612745,2,7,2021-10-29T00:13:25Z,190000,27.0,268.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,26.96,Missed,,,,,,,,,,,,,,,
20,PT09M42.00S,2021-10-29T00:13:18.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,2,7,2021-10-29T00:13:25Z,200000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT09M29.00S,2021-10-29T00:13:34.8Z,1,REGULAR,foul,personal,[],1626174,,,1610612762,2,7,2021-10-29T00:13:46Z,210000,,,0,,C. Wood personal FOUL (1 PF),"[1626174, 201144]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Conley,201144.0,,
