actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-23T00:14:31.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-23T00:14:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-23T00:14:34.2Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-10-23T00:14:34Z,40000,,,0,,Jump Ball C. Wood vs. I. Roby: Tip to D. Theis,"[1628464, 1626174, 1629676]",1610612745.0,HOU,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-23T00:14:47.2Z,1,REGULAR,3pt,Jump Shot,[],1630256,74.19513797634691,16.176470588235293,1610612745,3,0,2021-10-23T00:14:53Z,70000,-169.0,190.0,1,right,J. Tate 25' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.44,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2021-10-23T00:15:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,6.915243101182654,51.9607843137255,1610612760,3,0,2021-10-23T00:15:06Z,90000,-10.0,13.0,1,left,MISS I. Roby cutting Layup,[1629676],1610612760.0,OKC,cutting,,,Roby,I. Roby,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2021-10-23T00:15:00.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,3,0,2021-10-23T00:15:06Z,100000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M32.00S,2021-10-23T00:15:10.2Z,1,REGULAR,foul,personal,[],1629676,,,1610612745,3,0,2021-10-23T00:24:15Z,110000,,,0,,I. Roby personal FOUL (1 PF),"[1629676, 1626174]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,2004.0,1.0,0.0,Wood,1626174.0,,,,,
13,PT11M20.00S,2021-10-23T00:15:26.5Z,1,REGULAR,2pt,Jump Shot,[],1626174,79.58278580814718,24.264705882352942,1610612745,3,0,2021-10-23T00:15:33Z,130000,-129.0,139.0,1,right,MISS C. Wood 18' pullup Shot,[1626174],1610612745.0,HOU,pullup,,,Wood,C. Wood,,,,,18.97,Missed,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2021-10-23T00:15:29.5Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,3,0,2021-10-23T00:15:33Z,140000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M04.00S,2021-10-23T00:15:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,5.732588699080158,52.94117647058824,1610612760,3,0,2021-10-23T00:15:46Z,150000,-15.0,1.0,1,left,MISS D. Bazley driving Layup,[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,1.48,Missed,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2021-10-23T00:15:43.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,3,0,2021-10-23T00:15:46Z,160000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
