actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-24T23:10:41.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T23:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-24T23:10:44.4Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-10-24T23:10:44Z,40000,,,0,,Jump Ball C. Wood vs. R. Williams III: Tip to D. Theis,"[1628464, 1626174, 1629057]",1610612745.0,HOU,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-24T23:10:54.9Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,0,0,2021-10-24T23:11:01Z,70000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1628369]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-10-24T23:10:54.9Z,1,REGULAR,steal,,[],1628369,,,1610612738,0,0,2021-10-24T23:10:57Z,80000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-10-24T23:10:58.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,92.19776609724047,50.98039215686274,1610612738,0,2,2021-10-24T23:11:09Z,90000,5.0,21.0,1,right,J. Tatum running DUNK (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,2.14,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,
11,PT11M27.00S,2021-10-24T23:11:13.3Z,1,REGULAR,2pt,Jump Shot,[],1626174,13.485545335085414,13.23529411764706,1610612745,0,2,2021-10-24T23:11:23Z,110000,184.0,74.0,1,left,MISS C. Wood 19' step back Shot,[1626174],1610612745.0,HOU,step back,,,Wood,C. Wood,,,,,,,,19.82,Missed,,,,,,,,,,,,,,,,
12,PT11M26.00S,2021-10-24T23:11:14.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,2,2021-10-24T23:11:23Z,120000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M11.00S,2021-10-24T23:11:29.3Z,1,REGULAR,3pt,Jump Shot,[],203935,93.11760840998686,97.30392156862744,1610612738,0,2,2021-10-24T23:11:36Z,130000,237.0,12.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,23.68,Missed,,,,,,,,,,,,,,,,
14,PT11M10.00S,2021-10-24T23:11:30.3Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,2,2021-10-24T23:11:36Z,140000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M00.00S,2021-10-24T23:11:40.4Z,1,REGULAR,2pt,Jump Shot,[],1628464,20.97568988173456,25.245098039215684,1610612745,2,2,2021-10-24T23:11:45Z,150000,124.0,145.0,1,left,D. Theis 19' Jump Shot (2 PTS) (K. Porter Jr. 1 AST),"[1628464, 1629645]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,19.04,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,
17,PT10M40.00S,2021-10-24T23:12:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,92.46057818659659,54.65686274509803,1610612738,2,2,2021-10-24T23:12:08Z,170000,23.0,18.0,1,right,MISS D. Schroder driving Layup - blocked,"[203471, 1628464]",1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,,2.97,Missed,,,,,,,,,Theis,1628464.0,,,,,,
18,PT10M40.00S,2021-10-24T23:12:00.4Z,1,REGULAR,block,,[],1628464,,,1610612738,2,2,2021-10-24T23:12:02Z,180000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2021-10-24T23:12:01.4Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,2,2021-10-24T23:12:08Z,190000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
20,PT10M35.00S,2021-10-24T23:12:05.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629645,5.863994743758213,47.549019607843135,1610612745,4,2,2021-10-24T23:13:15Z,200000,12.0,3.0,1,left,K. Porter Jr. running Layup (2 PTS) (J. Green 1 AST),"[1629645, 1630224]",1610612745.0,HOU,running,,,Porter Jr.,K. Porter Jr.,,,,,,,,1.26,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,,
22,PT10M20.00S,2021-10-24T23:12:19.8Z,1,REGULAR,3pt,Jump Shot,[],201143,73.01248357424441,80.63725490196079,1610612738,4,2,2021-10-24T23:12:25Z,220000,153.0,201.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,25.29,Missed,,,,,,,,,,,,,,,,
23,PT10M19.00S,2021-10-24T23:12:20.8Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,4,2,2021-10-24T23:12:25Z,230000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT10M09.00S,2021-10-24T23:12:35.4Z,1,REGULAR,foul,personal,[],201143,,,1610612745,4,2,2021-10-24T23:12:43Z,240000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 1626174]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Wood,1626174.0,
26,PT09M58.00S,2021-10-24T23:13:03.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,6.652431011826544,52.94117647058824,1610612745,6,2,2021-10-24T23:13:08Z,260000,-15.0,10.0,1,left,D. Theis cutting DUNK (4 PTS) (J. Green 2 AST),"[1628464, 1630224]",1610612745.0,HOU,cutting,,,Theis,D. Theis,,,,,,,,1.78,Made,4.0,J. Green,1630224.0,2.0,,,,,,,,,,,,
28,PT09M40.00S,2021-10-24T23:13:22.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,77.4802890932983,79.65686274509804,1610612738,6,4,2021-10-24T23:13:30Z,280000,148.0,159.0,1,right,J. Tatum 21' pullup Jump Shot (4 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,21.76,Made,4.0,,,,,,,,,,,,,,,
29,PT09M27.00S,2021-10-24T23:13:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.98488830486202,50.0,1610612745,9,4,2021-10-24T23:13:41Z,290000,0.0,267.0,1,left,J. Green 26' 3PT pullup (3 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,,,,26.7,Made,3.0,,,,,,,,,,,,,,,
30,PT09M11.00S,2021-10-24T23:13:51.0Z,1,REGULAR,2pt,Jump Shot,[],201143,93.11760840998686,70.83333333333334,1610612738,9,4,2021-10-24T23:13:58Z,300000,104.0,12.0,1,right,MISS A. Horford 10' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,10.49,Missed,,,,,,,,,,,,,,,,
31,PT09M11.00S,2021-10-24T23:13:51.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,9,4,2021-10-24T23:13:58Z,310000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT08M59.00S,2021-10-24T23:14:03.5Z,1,REGULAR,3pt,Jump Shot,[],1628464,26.62614980289093,12.745098039215685,1610612745,9,4,2021-10-24T23:14:08Z,320000,186.0,198.0,1,left,MISS D. Theis 27' 3PT,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,27.17,Missed,,,,,,,,,,,,,,,,
