actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-12-09T01:10:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T01:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T01:11:00.6Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,0,2021-12-09T01:11:00Z,40000,,,0,,Jump Ball C. Wood vs. N. Claxton: Tip to E. Gordon,"[201569, 1626174, 1629651]",1610612745.0,HOU,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Wood,1626174.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-09T01:11:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,93.51182654402102,52.69607843137255,1610612745,2,0,2021-12-09T01:11:16Z,70000,13.0,8.0,1,right,E. Gordon driving Layup (2 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,1.6,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2021-12-09T01:11:31.9Z,1,REGULAR,3pt,Jump Shot,[],201935,26.888961892247043,14.460784313725492,1610612751,2,0,2021-12-09T01:11:40Z,80000,178.0,200.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2021-12-09T01:11:34.9Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,2,0,2021-12-09T01:11:40Z,90000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-09T01:11:42.2Z,1,REGULAR,turnover,bad pass,[],1630256,,,1610612745,2,0,2021-12-09T01:11:51Z,100000,,,0,,J. Tate bad pass TURNOVER (1 TO),"[1630256, 201935]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,1.0,Harden,201935.0,,,,,,,,,,,
11,PT11M16.00S,2021-12-09T01:11:42.2Z,1,REGULAR,steal,,[],201935,,,1610612751,2,0,2021-12-09T01:11:45Z,110000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2021-12-09T01:11:48.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627761,11.12023653088042,61.76470588235294,1610612751,2,0,2021-12-09T01:12:03Z,120000,-59.0,52.0,1,left,MISS D. Bembry 7' Jump Shot - blocked,"[1627761, 201569]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,7.85,Missed,,,,,,,,,Gordon,201569.0,,,,,,,,,
13,PT11M09.00S,2021-12-09T01:11:48.3Z,1,REGULAR,block,,[],201569,,,1610612751,2,0,2021-12-09T01:11:52Z,130000,,,0,,E. Gordon BLOCK (1 BLK),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2021-12-09T01:11:49.3Z,1,REGULAR,rebound,offensive,[],1627761,,,1610612751,2,0,2021-12-09T01:12:48Z,140000,,,0,,D. Bembry REBOUND (Off:1 Def:0),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M07.00S,2021-12-09T01:11:53.3Z,1,REGULAR,turnover,traveling,[],1627761,,,1610612751,2,0,2021-12-09T01:12:41Z,150000,,,0,,D. Bembry traveling TURNOVER (1 TO),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,1.0,,,,,201639.0,,,,,,,,
16,PT10M51.00S,2021-12-09T01:12:55.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626174,82.86793692509855,36.029411764705884,1610612745,2,0,2021-12-09T01:13:02Z,160000,-70.0,109.0,1,right,MISS C. Wood 12' driving floating Shot,[1626174],1610612745.0,HOU,driving floating,,,Wood,C. Wood,,,,,12.91,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2021-12-09T01:12:56.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,2,0,2021-12-09T01:38:00Z,170000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M42.00S,2021-12-09T01:13:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,6.1268068331143235,47.05882352941176,1610612751,2,2,2021-12-09T01:13:10Z,200000,15.0,5.0,1,left,J. Johnson driving Layup (2 PTS),[201949],1610612751.0,BKN,driving,,,Johnson,J. Johnson,,,,,1.56,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2021-12-09T01:13:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,92.85479632063075,47.30392156862745,1610612745,4,2,2021-12-09T01:20:25Z,210000,-13.0,15.0,1,right,E. Gordon driving bank Jump Shot (4 PTS),[201569],1610612745.0,HOU,driving bank,,,Gordon,E. Gordon,,,,,2.0,Made,4.0,,,,,,,,,,,,,,,,,,
22,PT10M28.00S,2021-12-09T01:13:21.8Z,1,REGULAR,foul,personal,['1freethrow'],201949,,,1610612745,4,2,2021-12-09T01:18:35Z,220000,,,0,,J. Johnson shooting personal FOUL (1 PF) (Gordon 1 FT),"[201949, 201569]",1610612751.0,BKN,shooting,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Gordon,201569.0,,,,
