actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-06T00:10:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-06T00:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-06T00:10:52.0Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2021-12-06T00:10:52Z,40000,,,0,,Jump Ball J. Valanciunas vs. C. Wood: Tip to H. Jones,"[1630529, 202685, 1626174]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-06T00:11:05.3Z,1,REGULAR,2pt,Jump Shot,[],1630529,96.45203679369251,91.68964460784314,1610612740,0,0,2021-12-06T00:11:19Z,70000,208.0,-19.0,1,right,MISS H. Jones 20' Jump Shot,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,20.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-06T00:11:06.3Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,0,0,2021-12-06T00:11:36Z,80000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2021-12-06T00:11:18.6Z,1,REGULAR,turnover,traveling,[],1630256,,,1610612745,0,0,2021-12-06T00:11:24Z,90000,,,0,,J. Tate traveling TURNOVER (1 TO),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,2715.0,1.0,,,,,,,,,,,,
10,PT11M08.00S,2021-12-06T00:11:52.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628984,88.78120893561103,12.009803921568627,1610612740,0,0,2021-12-06T00:12:25Z,100000,-190.0,53.0,1,right,MISS D. Graham 19' turnaround fadeaway Shot,[1628984],1610612740.0,NOP,turnaround fadeaway,,,Graham,D. Graham,,,,,19.73,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2021-12-06T00:11:53.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612745,0,0,2021-12-06T00:12:00Z,110000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M58.00S,2021-12-06T00:12:01.8Z,1,REGULAR,3pt,Jump Shot,[],1629726,28.07161629434954,79.16666666666666,1610612745,0,0,2021-12-06T00:12:07Z,120000,-146.0,211.0,1,left,MISS G. Mathews 25' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2021-12-06T00:12:01.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2021-12-06T00:12:07Z,130000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M52.00S,2021-12-06T00:12:10.1Z,1,REGULAR,foul,personal,[],1629726,,,1610612740,0,0,2021-12-06T00:12:23Z,140000,,,0,,G. Mathews personal FOUL (1 PF),"[1629726, 1627742]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,2715.0,,1.0,0.0,Ingram,1627742.0,,,,,,,,
