actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-17T00:10:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-17T00:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2022-03-17T00:11:01.4Z,1,REGULAR,jumpball,recovered,[],1629726,,,1610612745,0,0,2022-03-17T00:11:01Z,40000,,,0,,Jump Ball C. Wood vs. D. Ayton: Tip to G. Mathews,"[1629726, 1626174, 1629028]",1610612745.0,HOU,startperiod,G. Mathews,1629726.0,Mathews,G. Mathews,Wood,1626174.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-17T00:11:12.3Z,1,REGULAR,2pt,Jump Shot,[],1626174,26.49474375821288,51.71568627450981,1610612745,0,0,2022-03-17T00:11:19Z,70000,-9.0,197.0,1,left,MISS C. Wood 19' Jump Shot,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,19.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-17T00:11:12.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2022-03-17T00:11:19Z,80000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-17T00:11:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,91.80354796320631,49.50980392156863,1610612756,0,0,2022-03-17T00:11:38Z,90000,-2.0,25.0,1,right,MISS D. Ayton alley-oop Layup,[1629028],1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,2.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-03-17T00:11:32.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,0,0,2022-03-17T00:11:38Z,100000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M20.00S,2022-03-17T00:11:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,91.5407358738502,50.245098039215684,1610612756,0,2,2022-03-17T00:11:59Z,110000,1.0,27.0,1,right,D. Ayton tip Layup (2 PTS),[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,2.7,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M12.00S,2022-03-17T00:11:41.1Z,1,REGULAR,3pt,Jump Shot,[],1629645,22.815374507227332,10.049019607843137,1610612745,0,2,2022-03-17T00:11:48Z,120000,200.0,162.0,1,left,MISS K. Porter Jr. 25' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-03-17T00:11:42.1Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612756,0,2,2022-03-17T00:11:48Z,130000,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M04.00S,2022-03-17T00:11:48.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,92.46057818659659,4.411764705882353,1610612756,0,2,2022-03-17T00:12:49Z,140000,-228.0,18.0,1,right,MISS D. Booker running 3PT,[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2022-03-17T00:11:49.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,2,2022-03-17T00:12:00Z,150000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M51.00S,2022-03-17T00:12:02.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630256,7.835085413929041,48.77450980392157,1610612745,2,2,2022-03-17T00:12:09Z,160000,6.0,21.0,1,left,J. Tate DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,2.2,Made,,,,,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,
18,PT10M37.00S,2022-03-17T00:12:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,84.97043363994744,54.166666666666664,1610612756,2,4,2022-03-17T00:13:49Z,180000,21.0,89.0,1,right,D. Ayton 9' fadeaway Jump Shot (4 PTS),[1629028],1610612756.0,PHX,fadeaway,,,Ayton,D. Ayton,,,,,9.12,Made,,,,,4.0,,,,,,,,,,,,,
19,PT10M22.00S,2022-03-17T00:12:31.0Z,1,REGULAR,3pt,Jump Shot,[],1626174,28.07161629434954,84.31372549019608,1610612745,2,4,2022-03-17T00:12:37Z,190000,-172.0,211.0,1,left,MISS C. Wood 27' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2022-03-17T00:12:32.0Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612756,2,4,2022-03-17T00:12:37Z,200000,,,0,,C. Payne REBOUND (Off:0 Def:2),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M15.00S,2022-03-17T00:12:38.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,83.13074901445466,96.81372549019608,1610612756,2,7,2022-03-17T00:14:28Z,210000,234.0,106.0,1,right,M. Bridges 25' 3PT running (3 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,25.7,Made,,,,,3.0,C. Payne,1626166.0,1.0,,,,,,,,,,
23,PT10M00.00S,2022-03-17T00:12:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.915243101182654,53.18627450980392,1610612745,2,7,2022-03-17T00:12:57Z,230000,-16.0,13.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1629028]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,2.02,Missed,,,,,,,,,Ayton,1629028.0,,,,,,,,
24,PT10M00.00S,2022-03-17T00:12:53.2Z,1,REGULAR,block,,[],1629028,,,1610612745,2,7,2022-03-17T00:12:55Z,240000,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,
