actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-01T00:11:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T00:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-01T00:11:28.0Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-01-01T00:11:28Z,40000,,,0,,Jump Ball C. Wood vs. O. Yurtseven: Tip to K. Porter Jr.,"[1629645, 1626174, 1630209]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-01-01T00:11:31.3Z,1,REGULAR,3pt,Jump Shot,[],1628021,76.42904073587385,10.784313725490197,1610612745,0,0,2022-01-01T00:11:36Z,70000,-196.0,169.0,1,right,MISS D. Nwaba 25' 3PT,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2022-01-01T00:11:32.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2022-01-01T00:11:40Z,80000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-01-01T00:11:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630209,6.258212877792378,48.77450980392157,1610612748,0,2,2022-01-01T00:11:54Z,90000,6.0,6.0,1,left,O. Yurtseven alley-oop Layup (2 PTS) (K. Lowry 1 AST),"[1630209, 200768]",1610612748.0,MIA,alley-oop,,,Yurtseven,O. Yurtseven,,,,,0.88,Made,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2022-01-01T00:12:05.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,93.51182654402102,3.431372549019608,1610612745,0,2,2022-01-01T00:12:10Z,110000,-233.0,8.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,23.3,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-01-01T00:12:06.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,2,2022-01-01T00:12:10Z,120000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2022-01-01T00:12:11.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,2,2022-01-01T00:12:11Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-01-01T00:12:34.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201569,70.77858081471747,81.37254901960785,1610612745,3,2,2022-01-01T00:12:40Z,140000,157.0,222.0,1,right,E. Gordon 27' 3PT pullup (3 PTS),[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,27.2,Made,,,,,3.0,,,,,,,,,,,,,,
15,PT10M41.00S,2022-01-01T00:12:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,15.456636005256241,45.09803921568628,1610612748,3,2,2022-01-01T00:13:05Z,150000,25.0,93.0,1,left,MISS C. Martin 9' driving floating Shot,[1628997],1610612748.0,MIA,driving floating,,,Martin,C. Martin,,,,,9.6,Missed,,,,,,,,,,,,,,,,,,,
