actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-04T01:11:03.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-04T01:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-04T01:11:06.5Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2021-12-04T01:11:06Z,40000,,,0,,Jump Ball C. Wood vs. M. Bamba: Tip to K. Porter Jr.,"[1629645, 1626174, 1628964]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-04T01:11:16.4Z,1,REGULAR,3pt,Jump Shot,[],1626174,18.610381077529567,3.6764705882352944,1610612745,0,0,2021-12-04T01:11:24Z,70000,232.0,122.0,1,left,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-04T01:11:17.4Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,0,2021-12-04T01:11:24Z,80000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-04T01:11:34.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,70.51576872536137,77.94117647058823,1610612753,0,0,2021-12-04T01:11:40Z,90000,140.0,225.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-04T01:11:35.1Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,0,0,2021-12-04T01:11:40Z,100000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-12-04T01:11:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630256,6.652431011826544,53.92156862745098,1610612745,0,0,2021-12-04T01:11:56Z,110000,-20.0,10.0,1,left,MISS J. Tate running Layup,[1630256],1610612745.0,HOU,running,,,Tate,J. Tate,,,,,2.2,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-12-04T01:11:42.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2021-12-04T01:11:56Z,120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M58.00S,2021-12-04T01:12:04.0Z,1,REGULAR,3pt,Jump Shot,[],203914,74.32654402102497,16.42156862745098,1610612753,0,0,2021-12-04T01:12:14Z,130000,-168.0,189.0,1,right,MISS G. Harris 25' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2021-12-04T01:12:04.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,0,2021-12-04T01:12:14Z,140000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
15,PT10M57.00S,2021-12-04T01:12:10.1Z,1,REGULAR,foul,personal,['2freethrow'],201569,,,1610612753,0,0,2021-12-04T01:12:36Z,150000,,,0,,E. Gordon shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[201569, 1628976]",1610612745.0,HOU,shooting,,,Gordon,E. Gordon,,,,,,,,,,,2882.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,
17,PT10M57.00S,2021-12-04T01:12:37.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628976,,,1610612753,0,1,2021-12-04T01:12:37Z,170000,,,0,,W. Carter Jr. Free Throw 1 of 2 (1 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
18,PT10M57.00S,2021-12-04T01:12:53.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628976,,,1610612753,0,2,2021-12-04T01:12:53Z,180000,,,0,,W. Carter Jr. Free Throw 2 of 2 (2 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
19,PT10M46.00S,2021-12-04T01:13:05.9Z,1,REGULAR,3pt,Jump Shot,[],201569,32.40801576872536,33.57843137254902,1610612745,3,2,2021-12-04T01:13:10Z,190000,82.0,252.0,1,left,E. Gordon 26' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[201569, 1629645]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,26.51,Made,,,,,,,,,,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,
21,PT10M35.00S,2021-12-04T01:13:21.0Z,1,REGULAR,foul,personal,[],1630256,,,1610612753,3,2,2021-12-04T01:13:37Z,210000,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1628976]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,2882.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,
23,PT10M24.00S,2021-12-04T01:13:46.9Z,1,REGULAR,turnover,palming,[],1630175,,,1610612753,3,2,2021-12-04T01:13:55Z,230000,,,0,,C. Anthony palming TURNOVER (1 TO),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,2882.0,,,,,,,,,1.0,,,,,
