actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-15T00:10:48.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-15T00:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-15T00:10:51.9Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-11-15T00:10:51Z,40000,,,0,,Jump Ball C. Wood vs. J. McGee: Tip to D. Theis,"[1628464, 1626174, 201580]",1610612745.0,HOU,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-15T00:11:06.0Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,0,0,2021-11-15T00:11:13Z,70000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 201580]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,1.0,McGee,201580.0,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-15T00:11:06.0Z,1,REGULAR,steal,,[],201580,,,1610612756,0,0,2021-11-15T00:11:07Z,80000,,,0,,J. McGee STEAL (1 STL),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-11-15T00:11:11.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,70.90998685939553,76.47058823529412,1610612756,0,0,2021-11-15T00:11:23Z,90000,132.0,221.0,1,right,MISS J. Crowder 25' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,25.75,Missed,,,,,,,,,,,,,,,,
10,PT11M33.00S,2021-11-15T00:11:13.8Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,0,0,2021-11-15T00:11:23Z,100000,,,0,,J. McGee REBOUND (Off:1 Def:0),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M31.00S,2021-11-15T00:11:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201580,94.30026281208936,49.01960784313725,1610612756,0,2,2021-11-15T00:12:28Z,110000,-5.0,1.0,1,right,J. McGee putback Layup (2 PTS),[201580],1610612756.0,PHX,putback,,,McGee,J. McGee,,,,,,,,0.5,Made,,,,,2.0,,,,,,,,,,,
12,PT11M21.00S,2021-11-15T00:11:31.7Z,1,REGULAR,foul,technical,['1freethrow'],201580,,,1610612745,0,2,2021-11-15T00:11:46Z,120000,,,0,,J. McGee defensive-3-second technical FOUL (1 Tech),[201580],1610612756.0,PHX,defensive-3-second,,,McGee,J. McGee,,,,,,,,,,,,,,,202053.0,0.0,1.0,,,,,,,,
13,PT11M21.00S,2021-11-15T00:11:50.6Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,1,2,2021-11-15T00:11:50Z,130000,,,0,,J. Green technical Free Throw 1 of 1 (1 PTS),[1630224],1610612745.0,HOU,technical,,,Green,J. Green,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
14,PT11M13.00S,2021-11-15T00:12:14.0Z,1,REGULAR,foul,offensive,[],1628464,,,1610612745,1,2,2021-11-15T00:12:28Z,140000,,,0,,D. Theis offensive FOUL (1 PF),"[1628464, 1628969]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,,101283.0,1.0,0.0,Bridges,1628969.0,,,,,,
16,PT11M13.00S,2021-11-15T00:12:14.0Z,1,REGULAR,turnover,offensive foul,[],1628464,,,1610612745,1,2,2021-11-15T00:12:14Z,160000,,,0,,D. Theis offensive foul TURNOVER (1 TO),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,1.0,,,,,,,,,,101283.0,,,,,,,,,,
17,PT10M50.00S,2021-11-15T00:12:44.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],101108,92.19776609724047,87.99019607843137,1610612756,1,2,2021-11-15T00:12:54Z,170000,190.0,21.0,1,right,MISS C. Paul 19' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,,,,19.11,Missed,,,,,,,,,,,,,,,,
18,PT10M45.00S,2021-11-15T00:12:49.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,1,2,2021-11-15T00:12:54Z,180000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M36.00S,2021-11-15T00:12:57.0Z,1,REGULAR,3pt,Jump Shot,[],1628464,9.017739816031538,4.166666666666666,1610612745,4,2,2021-11-15T00:13:02Z,190000,229.0,32.0,1,left,D. Theis 3PT  (3 PTS) (C. Wood 1 AST),"[1628464, 1626174]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,23.15,Made,,,,,3.0,,,,,,C. Wood,1626174.0,1.0,,,
21,PT10M25.00S,2021-11-15T00:13:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,81.02825229960578,47.05882352941176,1610612756,4,4,2021-11-15T00:13:15Z,210000,-15.0,126.0,1,right,D. Booker 12' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,12.67,Made,,,,,2.0,,,,,,,,,,,
22,PT10M16.00S,2021-11-15T00:13:18.3Z,1,REGULAR,3pt,Jump Shot,[],1628464,28.33442838370565,78.18627450980392,1610612745,4,4,2021-11-15T00:13:26Z,220000,-141.0,214.0,1,left,MISS D. Theis 25' 3PT,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,25.61,Missed,,,,,,,,,,,,,,,,
23,PT10M14.00S,2021-11-15T00:13:20.3Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,4,4,2021-11-15T00:13:26Z,230000,,,0,,J. McGee REBOUND (Off:1 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,
24,PT10M04.00S,2021-11-15T00:13:30.3Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.36202365308804,50.0,1610612756,4,7,2021-11-15T00:13:34Z,240000,0.0,254.0,1,right,D. Booker 25' 3PT pullup (5 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,25.43,Made,,,,,5.0,,,,,,,,,,,
25,PT09M43.00S,2021-11-15T00:13:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.178055190538765,48.77450980392157,1610612745,6,7,2021-11-15T00:13:58Z,250000,6.0,15.0,1,left,J. Green cutting Layup (3 PTS) (J. Tate 1 AST),"[1630224, 1630256]",1610612745.0,HOU,cutting,,,Green,J. Green,,,,,,,,1.62,Made,,,,,3.0,,,,,,J. Tate,1630256.0,1.0,,,
