actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-03T01:13:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T01:13:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-03T01:13:40.0Z,1,REGULAR,jumpball,recovered,[],1626224,,,1610612739,0,0,2022-02-03T01:13:40Z,40000,,,0,,Jump Ball J. Allen vs. C. Wood: Tip to C. Osman,"[1626224, 1628386, 1626174]",1610612739.0,CLE,startperiod,C. Osman,1626224.0,Osman,C. Osman,Allen,1628386.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-03T01:13:58.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,11.777266754270697,50.245098039215684,1610612739,0,0,2022-02-03T01:14:05Z,70000,-1.0,58.0,1,left,MISS E. Mobley driving Hook,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,5.82,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-03T01:14:00.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2022-02-03T01:14:05Z,80000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-03T01:14:05.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630171,12.959921156373195,45.83333333333333,1610612739,0,0,2022-02-03T01:14:30Z,90000,21.0,69.0,1,left,MISS I. Okoro 7' driving floating Shot,[1630171],1610612739.0,CLE,driving floating,,,Okoro,I. Okoro,,,,,7.24,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-02-03T01:14:07.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2022-02-03T01:14:14Z,100000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M23.00S,2022-02-03T01:14:18.3Z,1,REGULAR,foul,personal,[],1628386,,,1610612745,0,0,2022-02-03T01:14:31Z,110000,,,0,,J. Allen personal FOUL (1 PF),"[1628386, 1626174]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,202035.0,1.0,0.0,Wood,1626174.0,,,,,,,,,,
13,PT11M12.00S,2022-02-03T01:14:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,87.07293035479631,40.44117647058824,1610612745,0,0,2022-02-03T01:14:53Z,130000,-48.0,69.0,1,right,MISS C. Wood 8' driving floating bank Shot,[1626174],1610612745.0,HOU,driving floating bank,,,Wood,C. Wood,,,,,8.39,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-02-03T01:14:42.6Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2022-02-03T01:14:53Z,140000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M06.00S,2022-02-03T01:14:47.3Z,1,REGULAR,3pt,Jump Shot,[],1629164,21.895532194480946,10.784313725490197,1610612739,0,0,2022-02-03T01:16:05Z,150000,196.0,153.0,1,left,MISS B. Goodwin 24' running 3PT,[1629164],1610612739.0,CLE,running,,,Goodwin,B. Goodwin,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,,
