actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-26T01:11:04.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-26T01:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-26T01:11:06.9Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2022-01-26T01:11:06Z,40000,,,0,,Jump Ball J. Poeltl vs. C. Wood: Tip to D. Murray,"[1627749, 1627751, 1626174]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-26T01:11:21.7Z,1,REGULAR,2pt,Layup,[],1627749,3.630091984231275,33.088235294117645,1610612759,0,2,2022-01-26T01:11:36Z,70000,85.0,-18.0,1,left,D. Murray 8' driving Layup (2 PTS) (D. White 1 AST),"[1627749, 1628401]",1610612759.0,SAS,driving,,,Murray,D. Murray,,,,,8.66,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-01-26T01:11:36.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,89.04402102496715,95.34313725490196,1610612745,3,2,2022-01-26T01:11:42Z,90000,227.0,50.0,1,right,J. Green 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,,,,Green,J. Green,,,,,23.23,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-26T01:11:47.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,23.99802890932983,86.76470588235294,1610612759,3,2,2022-01-26T01:11:56Z,110000,-184.0,173.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-01-26T01:11:48.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,3,2,2022-01-26T01:12:21Z,120000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M06.00S,2022-01-26T01:11:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629645,69.99014454664915,19.11764705882353,1610612745,3,2,2022-01-26T01:12:16Z,130000,-154.0,230.0,1,right,MISS K. Porter Jr. 27' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,27.67,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2022-01-26T01:11:58.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,3,2,2022-01-26T01:12:35Z,140000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M59.00S,2022-01-26T01:12:03.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629640,6.915243101182654,50.73529411764706,1610612759,3,4,2022-01-26T01:12:59Z,150000,-4.0,13.0,1,left,K. Johnson running DUNK (2 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,1.3,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
17,PT10M42.00S,2022-01-26T01:12:21.3Z,1,REGULAR,3pt,Jump Shot,[],1630256,90.09526938239159,94.11764705882352,1610612745,6,4,2022-01-26T01:12:27Z,170000,221.0,41.0,1,right,J. Tate 3PT  (3 PTS) (K. Porter Jr. 2 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,22.43,Made,3.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,
19,PT10M19.00S,2022-01-26T01:12:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,7.703679369250986,62.5,1610612759,6,6,2022-01-26T01:12:48Z,190000,-62.0,20.0,1,left,D. White 6' Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1628401, 1627751]",1610612759.0,SAS,,,,White,D. White,,,,,6.56,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
21,PT10M04.00S,2022-01-26T01:12:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,71.30420499342969,15.441176470588236,1610612745,6,6,2022-01-26T01:13:06Z,210000,-173.0,217.0,1,right,MISS J. Green 27' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,27.76,Missed,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2022-01-26T01:13:01.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,6,6,2022-01-26T01:13:06Z,220000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M48.00S,2022-01-26T01:13:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.783837056504599,51.225490196078425,1610612759,6,8,2022-01-26T01:13:20Z,230000,-6.0,11.0,1,left,J. Poeltl reverse Layup (2 PTS) (D. McDermott 1 AST),"[1627751, 203926]",1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,1.28,Made,2.0,D. McDermott,203926.0,1.0,,,,,,,,,,,,,,
25,PT09M35.00S,2022-01-26T01:13:30.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,6,8,2022-01-26T01:13:30Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M24.00S,2022-01-26T01:13:54.1Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612745,6,8,2022-01-26T01:14:06Z,260000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Wood 2 FT),"[1627751, 1626174]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,202053.0,1.0,0.0,Wood,1626174.0,,,,,
28,PT09M24.00S,2022-01-26T01:14:17.1Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,6,8,2022-01-26T01:14:41Z,280000,,,0,,MISS C. Wood Free Throw 1 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2022-01-26T01:14:17.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,6,8,2022-01-26T01:14:41Z,290000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
30,PT09M24.00S,2022-01-26T01:14:17.1Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,6,8,2022-01-26T01:14:41Z,300000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2022-01-26T01:14:17.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,6,8,2022-01-26T01:14:41Z,310000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT09M14.00S,2022-01-26T01:14:43.5Z,1,REGULAR,3pt,Jump Shot,[],203926,35.167542706964525,51.470588235294116,1610612759,6,8,2022-01-26T01:14:53Z,320000,-7.0,278.0,1,left,MISS D. McDermott 27' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,27.82,Missed,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2022-01-26T01:14:43.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,6,8,2022-01-26T01:14:53Z,330000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,
34,PT09M14.00S,2022-01-26T01:14:47.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,6,8,2022-01-26T01:14:47Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2022-01-26T01:14:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.06636005256242,49.754901960784316,1610612745,6,8,2022-01-26T01:15:58Z,350000,-1.0,22.0,1,right,MISS J. Green driving Layup - blocked,"[1630224, 1627751]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,2.21,Missed,,,,,,,,,,,,,,Poeltl,1627751.0,,,
36,PT09M05.00S,2022-01-26T01:14:59.5Z,1,REGULAR,block,,[],1627751,,,1610612745,6,8,2022-01-26T01:15:03Z,360000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M58.00S,2022-01-26T01:15:06.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,6,8,2022-01-26T01:15:11Z,370000,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,35.0,3.0,3.0,0.0,,,,,,,,,,
38,PT08M52.00S,2022-01-26T01:15:13.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,10.85742444152431,52.94117647058824,1610612759,6,8,2022-01-26T01:15:20Z,380000,-15.0,50.0,1,left,MISS J. Poeltl bank Hook,[1627751],1610612759.0,SAS,bank,,,Poeltl,J. Poeltl,,,,,5.17,Missed,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2022-01-26T01:15:16.3Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,6,8,2022-01-26T01:15:16Z,390000,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,
40,PT08M44.00S,2022-01-26T01:15:20.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627749,33.327858081471746,76.47058823529412,1610612759,6,8,2022-01-26T01:15:27Z,400000,-132.0,261.0,1,left,MISS D. Murray 29' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,29.25,Missed,,,,,,,,,,,,,,,,,,
41,PT08M43.00S,2022-01-26T01:15:21.1Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,6,8,2022-01-26T01:15:27Z,410000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
42,PT08M37.00S,2022-01-26T01:15:28.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201569,93.64323258869908,53.92156862745098,1610612745,8,8,2022-01-26T01:17:38Z,420000,20.0,7.0,1,right,E. Gordon driving Layup (2 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,2.09,Made,2.0,,,,,,,,,,,,,,,,,
43,PT08M24.00S,2022-01-26T01:15:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,9.937582128777924,53.18627450980392,1610612759,8,10,2022-01-26T01:15:49Z,430000,-16.0,41.0,1,left,D. White driving floating Jump Shot (4 PTS) (J. Poeltl 2 AST),"[1628401, 1627751]",1610612759.0,SAS,driving floating,,,White,D. White,,,,,4.39,Made,4.0,J. Poeltl,1627751.0,2.0,,,,,,,,,,,,,,
