actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-31T00:10:53.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T00:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-31T00:10:57.4Z,1,REGULAR,jumpball,recovered,[],1630256,,,1610612745,0,0,2022-03-31T00:10:57Z,40000,,,0,,Jump Ball U. Garuba vs. D. Jones: Tip to J. Tate,"[1630256, 1630586, 1627745]",1610612745.0,HOU,startperiod,J. Tate,1630256.0,Tate,J. Tate,Garuba,1630586.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-31T00:11:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,80.76544021024968,46.81372549019608,1610612745,2,0,2022-03-31T00:11:14Z,70000,-16.0,128.0,1,right,K. Porter Jr. 12' pullup Jump Shot (2 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,12.93,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2022-03-31T00:11:29.6Z,1,REGULAR,foul,personal,['2freethrow'],1629726,,,1610612758,2,0,2022-03-31T00:11:45Z,80000,,,0,,G. Mathews shooting personal FOUL (1 PF) (Jones 2 FT),"[1629726, 1627745]",1610612745.0,HOU,shooting,,,Mathews,G. Mathews,,,,,,,,200832.0,1.0,0.0,Jones,1627745.0,,,,,,,,,,,,,
10,PT11M25.00S,2022-03-31T00:11:51.2Z,1,REGULAR,freethrow,1 of 2,[],1627745,,,1610612758,2,1,2022-03-31T00:11:51Z,100000,,,0,,D. Jones Free Throw 1 of 2 (1 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-03-31T00:12:04.1Z,1,REGULAR,freethrow,2 of 2,[],1627745,,,1610612758,2,2,2022-03-31T00:12:04Z,110000,,,0,,D. Jones Free Throw 2 of 2 (2 PTS),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-03-31T00:12:22.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,69.46452036793693,23.03921568627451,1610612745,5,2,2022-03-31T00:12:28Z,120000,-135.0,235.0,1,right,J. Green 27' 3PT pullup (3 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,27.05,Made,3.0,,,,,,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,
13,PT10M56.00S,2022-03-31T00:12:35.7Z,1,REGULAR,2pt,Jump Shot,[],1630558,26.757555847568987,49.50980392156863,1610612758,5,2,2022-03-31T00:12:48Z,130000,2.0,199.0,1,left,MISS D. Mitchell 19' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,19.9,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-03-31T00:12:37.7Z,1,REGULAR,rebound,offensive,[],1627745,,,1610612758,5,2,2022-03-31T00:12:48Z,140000,,,0,,D. Jones REBOUND (Off:1 Def:0),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,
15,PT10M53.00S,2022-03-31T00:12:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627745,6.783837056504599,49.01960784313725,1610612758,5,4,2022-03-31T00:12:45Z,150000,5.0,11.0,1,left,D. Jones putback Layup (4 PTS),[1627745],1610612758.0,SAC,putback,,,Jones,D. Jones,,,,,1.23,Made,4.0,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2022-03-31T00:12:48.3Z,1,REGULAR,3pt,Jump Shot,[],1630256,74.19513797634691,15.196078431372548,1610612745,5,4,2022-03-31T00:12:53Z,160000,-174.0,190.0,1,right,MISS J. Tate 25' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2022-03-31T00:12:51.3Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,5,4,2022-03-31T00:12:53Z,170000,,,0,,D. Jones REBOUND (Off:1 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,16.0,2.0,1.0,1.0,,,,,,
18,PT10M24.00S,2022-03-31T00:13:07.4Z,1,REGULAR,3pt,Jump Shot,[],1626168,29.38567674113009,22.058823529411764,1610612758,5,7,2022-03-31T00:13:11Z,180000,140.0,224.0,1,left,T. Lyles 26' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626168, 1630558]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,26.37,Made,3.0,,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,,
20,PT09M56.00S,2022-03-31T00:13:35.3Z,1,REGULAR,3pt,Jump Shot,[],1630256,90.09526938239159,5.147058823529411,1610612745,8,7,2022-03-31T00:13:40Z,200000,-224.0,41.0,1,right,J. Tate 3PT  (3 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,22.79,Made,3.0,,,,,,,,,,,,,,,,,,
21,PT09M42.00S,2022-03-31T00:13:49.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626168,13.354139290407357,49.01960784313725,1610612758,8,7,2022-03-31T00:13:53Z,210000,5.0,73.0,1,left,MISS T. Lyles 7' driving Hook,[1626168],1610612758.0,SAC,driving,,,Lyles,T. Lyles,,,,,7.32,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M40.00S,2022-03-31T00:13:51.0Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,8,7,2022-03-31T00:13:53Z,220000,,,0,,U. Garuba REBOUND (Off:0 Def:1),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT09M37.00S,2022-03-31T00:13:54.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629726,78.0059132720105,91.42156862745098,1610612745,11,7,2022-03-31T00:14:06Z,230000,207.0,154.0,1,right,G. Mathews 25' 3PT pullup (3 PTS) (K. Porter Jr. 2 AST),"[1629726, 1629645]",1610612745.0,HOU,pullup,,,Mathews,G. Mathews,,,,,25.82,Made,3.0,,,,,,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,
25,PT09M12.00S,2022-03-31T00:14:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626168,7.5722733245729295,42.8921568627451,1610612758,11,7,2022-03-31T00:14:22Z,250000,36.0,19.0,1,left,MISS T. Lyles driving floating bank Shot,[1626168],1610612758.0,SAC,driving floating bank,,,Lyles,T. Lyles,,,,,4.01,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M10.00S,2022-03-31T00:14:20.8Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,11,7,2022-03-31T00:14:22Z,260000,,,0,,U. Garuba REBOUND (Off:0 Def:2),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,
27,PT09M02.00S,2022-03-31T00:14:30.1Z,1,REGULAR,3pt,Jump Shot,[],1629645,66.70499342969777,47.549019607843135,1610612745,11,7,2022-03-31T00:14:36Z,270000,-12.0,260.0,1,right,MISS K. Porter Jr. 26' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M02.00S,2022-03-31T00:14:30.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,11,7,2022-03-31T00:14:39Z,280000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,
29,PT09M02.00S,2022-03-31T00:14:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,11,7,2022-03-31T00:14:50Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M45.00S,2022-03-31T00:14:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627745,8.754927726675426,49.01960784313725,1610612758,11,9,2022-03-31T00:14:59Z,300000,5.0,30.0,1,left,D. Jones Layup (6 PTS) (T. Lyles 1 AST),"[1627745, 1626168]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,3.02,Made,6.0,,,,,,T. Lyles,1626168.0,1.0,,,,,,,,,,
32,PT08M33.00S,2022-03-31T00:15:06.9Z,1,REGULAR,3pt,Jump Shot,[],1630586,67.62483574244416,34.31372549019608,1610612745,11,9,2022-03-31T00:15:11Z,320000,-78.0,252.0,1,right,MISS U. Garuba 26' 3PT,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M29.00S,2022-03-31T00:15:10.9Z,1,REGULAR,rebound,defensive,[],203200,,,1610612758,11,9,2022-03-31T00:15:11Z,330000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,
34,PT08M23.00S,2022-03-31T00:15:16.4Z,1,REGULAR,3pt,Jump Shot,[],1627745,31.61957950065703,55.14705882352941,1610612758,11,9,2022-03-31T00:15:21Z,340000,-26.0,245.0,1,left,MISS D. Jones 24' 3PT,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M20.00S,2022-03-31T00:15:19.4Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,11,9,2022-03-31T00:15:21Z,350000,,,0,,U. Garuba REBOUND (Off:0 Def:3),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,34.0,3.0,3.0,0.0,,,,,,
36,PT08M08.00S,2022-03-31T00:15:35.4Z,1,REGULAR,foul,personal,['2freethrow'],203200,,,1610612745,11,9,2022-03-31T00:15:48Z,360000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Green 2 FT),"[203200, 1630224]",1610612758.0,SAC,shooting,,,Holiday,J. Holiday,,,,,,,,200834.0,1.0,0.0,Green,1630224.0,,,,,,,,,,,,,
39,PT08M08.00S,2022-03-31T00:15:56.4Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,12,9,2022-03-31T00:15:56Z,380000,,,0,,J. Green Free Throw 1 of 2 (4 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
40,PT08M08.00S,2022-03-31T00:16:08.1Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,13,9,2022-03-31T00:16:08Z,390000,,,0,,J. Green Free Throw 2 of 2 (5 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
41,PT07M55.00S,2022-03-31T00:16:24.4Z,1,REGULAR,3pt,Jump Shot,[],203200,32.14520367936925,48.529411764705884,1610612758,13,9,2022-03-31T00:16:29Z,400000,7.0,250.0,1,left,MISS J. Holiday 24' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
