actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-06T23:15:45.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-06T23:15:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-04-06T23:15:49.6Z,1,REGULAR,jumpball,recovered,[],1630205,,,1610612739,0,0,2023-04-06T23:15:49Z,40000,False,,,0,,Jump Ball R. Lopez vs. B. Bol: Tip to L. Stevens,"[1630205, 201577, 1629626]",1610612739.0,CLE,startperiod,L. Stevens,1630205.0,Stevens,L. Stevens,Lopez,201577.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-04-06T23:15:59.5Z,1,REGULAR,turnover,bad pass,[],1629731,,,1610612739,0,0,2023-04-06T23:16:04Z,70000,False,,,0,,D. Wade bad pass TURNOVER (1 TO),"[1629731, 1629643]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,16-24 Right Center,1.0,Okeke,1629643.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-04-06T23:15:59.5Z,1,REGULAR,steal,,[],1629643,,,1610612753,0,0,2023-04-06T23:16:02Z,80000,False,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-04-06T23:16:10.6Z,1,REGULAR,turnover,out-of-bounds,[],1629021,,,1610612753,0,0,2023-04-06T23:18:58Z,90000,False,,,0,,M. Wagner lost ball out-of-bounds TURNOVER (1 TO),[1629021],1610612753.0,ORL,lost ball,,,Wagner,M. Wagner,,,,,Mid-Range,8-16 Right,1.0,,,200834.0,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-04-06T23:16:30.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630205,85.10183968462549,99.01960784313727,1610612739,0,0,2023-04-06T23:16:36Z,100000,False,245.0,88.0,1,right,MISS L. Stevens 26' 3PT,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Right Corner 3,24+ Right,,,,,26.03,Missed,,,,,,,,,,,,,,
11,PT11M21.00S,2023-04-06T23:16:33.0Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,0,2023-04-06T23:16:36Z,110000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M16.00S,2023-04-06T23:16:37.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630591,7.752956636005257,40.94669117647059,1610612753,2,0,2023-04-06T23:17:46Z,120000,False,45.0,20.0,1,left,J. Suggs running Layup (2 PTS),[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,4.97,Made,,,,,2.0,,,,,,,,,
13,PT11M01.00S,2023-04-06T23:16:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201937,81.42247043363994,34.068627450980394,1610612739,2,0,2023-04-06T23:17:03Z,130000,False,-80.0,122.0,1,right,MISS R. Rubio 14' driving floating bank Shot,[201937],1610612739.0,CLE,driving floating bank,,,Rubio,R. Rubio,,,,,In The Paint (Non-RA),8-16 Left,,,,,14.58,Missed,,,,,,,,,,,,,,
14,PT11M01.00S,2023-04-06T23:16:52.8Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,2,0,2023-04-06T23:17:03Z,140000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M51.00S,2023-04-06T23:17:03.1Z,1,REGULAR,3pt,Jump Shot,[],1629021,31.61957950065703,45.09803921568628,1610612753,2,0,2023-04-06T23:17:10Z,150000,False,25.0,245.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Center,,,,,24.59,Missed,,,,,,,,,,,,,,
16,PT10M45.00S,2023-04-06T23:17:09.1Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,2,0,2023-04-06T23:17:10Z,160000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Above the Break 3,24+ Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M41.00S,2023-04-06T23:17:12.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201937,93.11760840998686,5.637254901960785,1610612739,2,0,2023-04-06T23:17:21Z,170000,False,-222.0,12.0,1,right,MISS R. Rubio running 3PT,[201937],1610612739.0,CLE,running,,,Rubio,R. Rubio,,,,,Left Corner 3,24+ Left,,,,,22.21,Missed,,,,,,,,,,,,,,
18,PT10M38.00S,2023-04-06T23:17:15.8Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,2,0,2023-04-06T23:17:21Z,180000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Left Corner 3,24+ Left,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M34.00S,2023-04-06T23:17:19.3Z,1,REGULAR,turnover,lost ball,[],1629626,,,1610612753,2,0,2023-04-06T23:17:25Z,190000,False,,,0,,B. Bol lost ball TURNOVER (1 TO),"[1629626, 1629731]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,1.0,Wade,1629731.0,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2023-04-06T23:17:19.3Z,1,REGULAR,steal,,[],1629731,,,1610612739,2,0,2023-04-06T23:17:22Z,200000,False,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2023-04-06T23:17:25.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201937,92.32917214191852,45.588235294117645,1610612739,2,0,2023-04-06T23:17:40Z,210000,False,-22.0,20.0,1,right,MISS R. Rubio running reverse Layup,[201937],1610612739.0,CLE,running reverse,,,Rubio,R. Rubio,,,,,Restricted Area,0-8 Center,,,,,2.95,Missed,,,,,,,,,,,,,,
