actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-05T21:10:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T21:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-05T21:10:24.2Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2022-11-05T21:10:24Z,40000,,,0,,Jump Ball B. Bol vs. D. Sabonis: Tip to J. Suggs,"[1630591, 1629626, 1627734]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bol,1629626.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-05T21:10:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,17.95335085413929,55.392156862745104,1610612753,0,0,2022-11-05T21:10:51Z,70000,-27.0,116.0,1,left,MISS P. Banchero 11' turnaround Shot,[1631094],1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,11.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-11-05T21:10:43.7Z,1,REGULAR,rebound,offensive,[],1629626,,,1610612753,0,0,2022-11-05T21:10:51Z,80000,,,0,,B. Bol REBOUND (Off:1 Def:0),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-11-05T21:10:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629626,7.046649145860711,52.20588235294118,1610612753,2,0,2022-11-05T21:11:05Z,90000,-11.0,14.0,1,left,B. Bol finger roll Layup (2 PTS),[1629626],1610612753.0,ORL,finger roll,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M11.00S,2022-11-05T21:11:26.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,66.3107752956636,53.431372549019606,1610612758,2,3,2022-11-05T21:11:36Z,110000,17.0,264.0,1,right,D. Fox 26' 3PT pullup (3 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,26.48,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M47.00S,2022-11-05T21:11:49.4Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,2,3,2022-11-05T21:11:54Z,120000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 203084]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Barnes,203084.0,,,,,,,,,,
13,PT10M47.00S,2022-11-05T21:11:49.4Z,1,REGULAR,steal,,[],203084,,,1610612758,2,3,2022-11-05T21:11:51Z,130000,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2022-11-05T21:11:55.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,66.96780551905388,64.70588235294117,1610612758,2,3,2022-11-05T21:12:03Z,140000,74.0,258.0,1,right,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,26.83,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2022-11-05T21:12:00.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,3,2022-11-05T21:12:03Z,150000,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M25.00S,2022-11-05T21:12:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,7.30946123521682,58.333333333333336,1610612753,4,3,2022-11-05T21:12:17Z,160000,-42.0,16.0,1,left,P. Banchero driving Layup (2 PTS) (J. Suggs 1 AST),"[1631094, 1630591]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,,,,,2.0,,,,J. Suggs,1630591.0,1.0,,,,,,,
18,PT10M18.00S,2022-11-05T21:12:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203084,90.88370565045992,55.88235294117647,1610612758,4,3,2022-11-05T21:12:29Z,180000,29.0,33.0,1,right,MISS H. Barnes running Layup,[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
19,PT10M15.00S,2022-11-05T21:12:21.4Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,4,3,2022-11-05T21:12:29Z,190000,,,0,,B. Bol REBOUND (Off:1 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,
20,PT10M12.00S,2022-11-05T21:12:24.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629626,6.1268068331143235,51.9607843137255,1610612753,6,3,2022-11-05T21:15:37Z,200000,-10.0,5.0,1,left,B. Bol running DUNK (4 PTS),[1629626],1610612753.0,ORL,running,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,4.0,,,,,,,,,,,,,
21,PT09M54.00S,2022-11-05T21:12:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,91.27792378449409,46.81372549019608,1610612758,6,5,2022-11-05T21:12:49Z,210000,-16.0,29.0,1,right,D. Fox cutting Layup (5 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",1610612758.0,SAC,cutting,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,3.35,Made,,,,,5.0,,,,D. Sabonis,1627734.0,1.0,,,,,,,
23,PT09M33.00S,2022-11-05T21:13:02.9Z,1,REGULAR,2pt,Jump Shot,[],1630532,5.732588699080158,71.81372549019608,1610612753,8,5,2022-11-05T21:13:08Z,230000,-109.0,1.0,1,left,F. Wagner 10' Jump Shot (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,10.91,Made,,,,,2.0,,,,,,,,,,,,,
24,PT09M32.00S,2022-11-05T21:13:09.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612758,8,5,2022-11-05T21:13:09Z,240000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M23.00S,2022-11-05T21:16:09.8Z,1,REGULAR,turnover,bad pass,[],203084,,,1610612758,8,5,2022-11-05T21:16:13Z,250000,,,0,,H. Barnes bad pass TURNOVER (1 TO),"[203084, 1628976]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Carter Jr.,1628976.0,,,,,,,,,,
27,PT09M23.00S,2022-11-05T21:16:09.8Z,1,REGULAR,steal,,[],1628976,,,1610612753,8,5,2022-11-05T21:16:11Z,260000,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2022-11-05T21:16:16.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630532,5.601182654402102,96.56862745098039,1610612753,11,5,2022-11-05T21:16:28Z,270000,-233.0,0.0,1,left,F. Wagner 3PT  (5 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,23.28,Made,,,,,5.0,,,,P. Banchero,1631094.0,1.0,,,,,,,
30,PT08M58.00S,2022-11-05T21:16:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,91.01511169513797,51.71568627450981,1610612758,11,5,2022-11-05T21:17:01Z,290000,9.0,32.0,1,right,MISS D. Sabonis Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
31,PT08M56.00S,2022-11-05T21:16:36.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,11,5,2022-11-05T21:17:01Z,300000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M34.00S,2022-11-05T21:16:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.863994743758213,57.35294117647059,1610612753,13,5,2022-11-05T21:20:25Z,310000,-37.0,3.0,1,left,F. Wagner reverse Layup (7 PTS) (B. Bol 1 AST),"[1630532, 1629626]",1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.69,Made,,,,,7.0,,,,B. Bol,1629626.0,1.0,,,,,,,
34,PT08M27.00S,2022-11-05T21:17:04.9Z,1,REGULAR,3pt,Jump Shot,[],203084,71.04139290407359,22.54901960784314,1610612758,13,5,2022-11-05T21:17:12Z,330000,-137.0,220.0,1,right,MISS H. Barnes 25' pullup 3PT,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
35,PT08M24.00S,2022-11-05T21:17:07.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,13,5,2022-11-05T21:17:12Z,340000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT08M16.00S,2022-11-05T21:17:16.3Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,13,5,2022-11-05T21:17:20Z,350000,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1627734]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,,,
37,PT08M16.00S,2022-11-05T21:17:16.3Z,1,REGULAR,steal,,[],1627734,,,1610612758,13,5,2022-11-05T21:17:18Z,360000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M13.00S,2022-11-05T21:17:21.3Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612758,13,5,2022-11-05T21:17:35Z,370000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1628976, 1627734]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1201.0,1.0,0.0,Sabonis,1627734.0,,
40,PT08M13.00S,2022-11-05T21:17:51.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627734,,,1610612758,13,6,2022-11-05T21:18:15Z,390000,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
41,PT08M13.00S,2022-11-05T21:17:51.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627734,,,1610612758,13,6,2022-11-05T21:18:15Z,400000,,,0,,MISS D. Sabonis Free Throw 2 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT08M11.00S,2022-11-05T21:17:53.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,13,6,2022-11-05T21:18:15Z,410000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
43,PT08M02.00S,2022-11-05T21:18:25.9Z,1,REGULAR,turnover,discontinued dribble,[],1630591,,,1610612753,13,6,2022-11-05T21:18:37Z,420000,,,0,,J. Suggs discontinued dribble TURNOVER (2 TO),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,,,,,,203177.0,,,,,,
44,PT07M57.00S,2022-11-05T21:18:38.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,84.97043363994744,41.17647058823529,1610612758,13,6,2022-11-05T21:18:51Z,430000,-44.0,89.0,1,right,MISS D. Fox 9' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,9.91,Missed,,,,,,,,,,,,,,,,,,
45,PT07M53.00S,2022-11-05T21:18:42.1Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,13,6,2022-11-05T21:18:51Z,440000,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT07M42.00S,2022-11-05T21:18:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629626,6.1268068331143235,56.127450980392155,1610612753,15,6,2022-11-05T21:19:04Z,450000,-31.0,5.0,1,left,B. Bol driving finger roll Layup (6 PTS) (W. Carter Jr. 1 AST),"[1629626, 1628976]",1610612753.0,ORL,driving finger roll,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,3.1,Made,,,,,6.0,,,,W. Carter Jr.,1628976.0,1.0,,,,,,,
