actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-28T23:10:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T23:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-28T23:10:50.2Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2022-10-28T23:10:50Z,40000,,,0,,Jump Ball M. Plumlee vs. B. Bol: Tip to P. Washington,"[1629023, 203486, 1629626]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Plumlee,203486.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-10-28T23:11:09.4Z,1,REGULAR,3pt,Jump Shot,[],1628372,29.09001314060447,76.47058823529412,1610612766,0,0,2022-10-28T23:12:08Z,70000,-132.0,221.0,1,left,MISS D. Smith Jr. 25' 3PT,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-10-28T23:11:12.4Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,0,0,2022-10-28T23:12:08Z,80000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M16.00S,2022-10-28T23:11:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,92.19776609724047,50.98039215686274,1610612753,0,0,2022-10-28T23:11:37Z,90000,5.0,21.0,1,right,MISS W. Carter Jr. driving Layup,[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-10-28T23:11:33.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,0,2022-10-28T23:11:37Z,100000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M09.00S,2022-10-28T23:11:38.4Z,1,REGULAR,2pt,Layup,[],1626162,11.908672798948752,71.32352941176471,1610612766,0,0,2022-10-28T23:14:05Z,110000,-107.0,59.0,1,left,MISS K. Oubre Jr. 12' driving Layup,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,12.2,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-10-28T23:11:43.4Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-10-28T23:11:52Z,120000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M03.00S,2022-10-28T23:11:44.2Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,0,0,2022-10-28T23:12:01Z,130000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1630532]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,
14,PT11M03.00S,2022-10-28T23:11:44.2Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,0,2022-10-28T23:11:46Z,140000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
