actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-21T00:10:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-21T00:10:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-21T00:10:03.3Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2023-01-21T00:10:03Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Valanciunas: Tip to P. Banchero,"[1631094, 1628976, 202685]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-21T00:10:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,92.59198423127464,51.71568627450981,1610612753,0,0,2023-01-21T00:10:44Z,70000,False,9.0,17.0,1,right,MISS G. Harris driving Layup - blocked,"[203914, 202685]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,1.91,Missed,Valanciunas,202685.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-21T00:10:17.5Z,1,REGULAR,block,,[],202685,,,1610612753,0,0,2023-01-21T00:10:20Z,80000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-01-21T00:10:24.5Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,0,0,2023-01-21T00:10:25Z,90000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M24.00S,2023-01-21T00:10:35.5Z,1,REGULAR,2pt,Jump Shot,[],202685,6.652431011826544,69.36274509803921,1610612740,0,0,2023-01-21T00:10:41Z,100000,False,-97.0,10.0,1,left,MISS J. Valanciunas 9' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,9.73,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-01-21T00:10:37.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2023-01-21T00:10:41Z,110000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M09.00S,2023-01-21T00:10:50.5Z,1,REGULAR,3pt,Jump Shot,[],203914,71.04139290407359,20.098039215686274,1610612753,0,0,2023-01-21T00:10:54Z,120000,False,-150.0,220.0,1,right,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2023-01-21T00:10:53.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2023-01-21T00:10:54Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M00.00S,2023-01-21T00:10:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,19.004599211563733,48.28431372549019,1610612740,0,2,2023-01-21T00:11:09Z,140000,False,9.0,126.0,1,left,C. McCollum 12' driving floating Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,12.64,Made,,,,,,,2.0,,,,,,,,,,,
16,PT10M37.00S,2023-01-21T00:11:37.4Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,0,2,2023-01-21T00:11:47Z,160000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 203468]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,McCollum,203468.0,,,,,,,,
17,PT10M37.00S,2023-01-21T00:11:37.4Z,1,REGULAR,steal,,[],203468,,,1610612740,0,2,2023-01-21T00:11:40Z,170000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2023-01-21T00:11:42.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203468,33.196452036793694,37.00980392156863,1610612740,0,2,2023-01-21T00:12:54Z,180000,False,65.0,260.0,1,left,MISS C. McCollum 26' running pullup 3PT,[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.75,Missed,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2023-01-21T00:11:45.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2023-01-21T00:12:54Z,190000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M22.00S,2023-01-21T00:11:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,92.06636005256242,51.470588235294116,1610612753,0,2,2023-01-21T00:13:08Z,200000,False,7.0,22.0,1,right,MISS W. Carter Jr. driving Layup,[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
