actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-23T23:10:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-23T23:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-23T23:11:03.5Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612752,0,0,2023-03-23T23:11:03Z,40000,False,,,0,,Jump Ball M. Robinson vs. W. Carter Jr.: Tip to I. Quickley,"[1630193, 1629011, 1628976]",1610612752.0,NYK,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Robinson,1629011.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-23T23:11:14.6Z,1,REGULAR,2pt,Jump Shot,[],203944,70.25295663600527,52.94117647058824,1610612752,0,0,2023-03-23T23:13:06Z,70000,False,15.0,227.0,1,right,MISS J. Randle 22' step back Shot - blocked,"[203944, 1631094]",1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Mid-Range,16-24 Center,22.76,Missed,Banchero,1631094.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-03-23T23:11:14.6Z,1,REGULAR,block,,[],1631094,,,1610612752,0,0,2023-03-23T23:11:18Z,80000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-03-23T23:11:19.6Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2023-03-23T23:11:25Z,90000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,16-24 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M38.00S,2023-03-23T23:11:20.7Z,1,REGULAR,turnover,lost ball,[],1629011,,,1610612752,0,0,2023-03-23T23:11:29Z,100000,False,,,0,,M. Robinson lost ball TURNOVER (1 TO),"[1629011, 1628365]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Fultz,1628365.0,,,,,,,,,
11,PT11M38.00S,2023-03-23T23:11:20.7Z,1,REGULAR,steal,,[],1628365,,,1610612753,0,0,2023-03-23T23:11:22Z,110000,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2023-03-23T23:11:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,12.697109067017081,57.84313725490197,1610612753,0,0,2023-03-23T23:11:36Z,120000,False,-39.0,67.0,1,left,MISS F. Wagner 7' running Layup,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.75,Missed,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2023-03-23T23:11:29.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2023-03-23T23:11:29Z,130000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M23.00S,2023-03-23T23:11:35.1Z,1,REGULAR,3pt,Jump Shot,[],1629628,88.38699080157687,96.32352941176471,1610612752,0,0,2023-03-23T23:11:43Z,140000,False,232.0,57.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,23.84,Missed,,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2023-03-23T23:11:39.1Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,0,0,2023-03-23T23:11:43Z,150000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M02.00S,2023-03-23T23:11:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,7.835085413929041,48.03921568627451,1610612753,2,0,2023-03-23T23:12:05Z,160000,False,10.0,21.0,1,left,P. Banchero driving finger roll Layup (2 PTS),[1631094],1610612753.0,ORL,driving finger roll,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,,,,,,2.0,,,,,,,,
17,PT10M41.00S,2023-03-23T23:12:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,88.78120893561103,45.34313725490196,1610612752,2,0,2023-03-23T23:12:25Z,170000,False,-23.0,53.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 1630532]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,5.79,Missed,Wagner,1630532.0,,,,,,,,,,,,,,,,
61,PT10M41.00S,2023-03-23T23:12:17.2Z,1,REGULAR,block,,[],1630532,,,1610612752,2,0,2023-03-23T23:18:38Z,175000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
