actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-03T23:10:59.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T23:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-03T23:11:02.8Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2022-11-03T23:11:02Z,40000,,,0,,Jump Ball B. Bol vs. K. Looney: Tip to J. Suggs,"[1630591, 1629626, 1626172]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bol,1629626.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-03T23:11:28.8Z,1,REGULAR,3pt,Jump Shot,[],1630591,32.53942181340342,65.68627450980392,1610612753,0,0,2022-11-03T23:11:37Z,80000,-78.0,253.0,1,left,MISS J. Suggs 26' step back 3PT,[1630591],1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,26.53,Missed,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-11-03T23:11:31.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2022-11-03T23:11:37Z,90000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M21.00S,2022-11-03T23:11:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,91.01511169513797,49.50980392156863,1610612744,0,2,2022-11-03T23:11:53Z,100000,-2.0,32.0,1,right,K. Looney cutting Layup (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.21,Made,,,,,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,
12,PT11M10.00S,2022-11-03T23:11:58.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,30.831143232588698,34.80392156862745,1610612753,3,2,2022-11-03T23:12:04Z,120000,76.0,237.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,24.92,Made,,,,,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,,
14,PT11M00.00S,2022-11-03T23:12:08.3Z,1,REGULAR,3pt,Jump Shot,[],203952,70.77858081471747,77.69607843137256,1610612744,3,2,2022-11-03T23:12:13Z,140000,138.0,222.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,26.18,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-11-03T23:12:11.3Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,3,2,2022-11-03T23:12:13Z,150000,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M46.00S,2022-11-03T23:12:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.652431011826544,51.9607843137255,1610612753,3,2,2022-11-03T23:12:26Z,160000,-10.0,10.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2022-11-03T23:12:24.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,2,2022-11-03T23:12:24Z,170000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
