shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-08T00:10:27.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T00:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:51,4,PT11M51.00S,2022-12-08T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2022-12-08T00:10:35Z,40000,False,,,0,,Jump Ball I. Zubac vs. B. Bol: Tip to N. Batum,"[201587, 1627826, 1629626]",33,1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
11:46,7,PT11M46.00S,2022-12-08T00:10:40.8Z,1,REGULAR,2pt,Jump Shot,[],202695,21.23850197109067,45.09803921568628,1610612746,0,2,2022-12-08T00:11:16Z,70000,False,25.0,147.0,1,left,K. Leonard 14' Jump Shot (2 PTS) (P. George 1 AST),"[202695, 202331]",2,1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Center,14.91,Made,2.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
11:24,9,PT11M24.00S,2022-12-08T00:11:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,92.46057818659659,55.88235294117647,1610612753,0,2,2022-12-08T00:11:08Z,90000,False,29.0,18.0,1,right,MISS M. Fultz driving Layup,[1628365],20,1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
11:21,10,PT11M21.00S,2022-12-08T00:11:05.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2022-12-08T00:11:08Z,100000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],40,1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11:14,11,PT11M14.00S,2022-12-08T00:11:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,6.915243101182654,43.627450980392155,1610612746,0,2,2022-12-08T00:11:17Z,110000,False,32.0,13.0,1,left,MISS P. George driving Layup,[202331],13,1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,,,,,,,,,,,,,,
11:12,12,PT11M12.00S,2022-12-08T00:11:14.9Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,0,2,2022-12-08T00:11:17Z,120000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],21,1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
11:06,13,PT11M06.00S,2022-12-08T00:11:23.2Z,1,REGULAR,turnover,traveling,[],1629626,,,1610612753,0,2,2022-12-08T00:11:32Z,130000,False,,,0,,B. Bol traveling TURNOVER (1 TO),[1629626],10,1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,1.0,,,,,,,,
10:50,14,PT10M50.00S,2022-12-08T00:11:50.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202331,5.601182654402102,53.67647058823529,1610612746,0,4,2022-12-08T00:11:55Z,140000,False,-18.0,0.0,1,left,P. George driving Layup (2 PTS),[202331],13,1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,,,,,,,,,,,,
10:29,15,PT10M29.00S,2022-12-08T00:12:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630532,69.99014454664915,26.225490196078432,1610612753,0,4,2022-12-08T00:12:16Z,150000,False,-119.0,230.0,1,right,MISS F. Wagner 25' 3PT,[1630532],22,1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
10:26,16,PT10M26.00S,2022-12-08T00:12:14.1Z,1,REGULAR,rebound,offensive,[],1629021,,,1610612753,0,4,2022-12-08T00:12:16Z,160000,False,,,0,,M. Wagner REBOUND (Off:1 Def:1),[1629021],21,1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,
