actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-10T00:10:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-10T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-10T00:10:49.1Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-03-10T00:10:49Z,40000,False,,,0,,Jump Ball W. Kessler vs. M. Wagner: Tip to T. Horton-Tucker,"[1629659, 1631117, 1629021]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Wagner,1629021.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-10T00:11:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630534,20.318659658344284,95.58823529411765,1610612762,0,3,2023-03-10T00:11:07Z,70000,False,-228.0,138.0,1,left,O. Agbaji 26' 3PT  (3 PTS) (W. Kessler 1 AST),"[1630534, 1631117]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Left Center,26.67,Made,3.0,W. Kessler,1631117.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-03-10T00:11:17.5Z,1,REGULAR,3pt,Jump Shot,[],203914,70.38436268068331,78.18627450980392,1610612753,0,3,2023-03-10T00:11:23Z,90000,False,141.0,226.0,1,right,MISS G. Harris 26' step back 3PT,[203914],1610612753.0,ORL,step back,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,26.62,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-03-10T00:11:20.5Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612762,0,3,2023-03-10T00:11:23Z,100000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2023-03-10T00:11:36.7Z,1,REGULAR,foul,technical,['1freethrow'],1629021,,,1610612762,0,3,2023-03-10T00:11:44Z,110000,False,,,0,,M. Wagner defensive-3-second technical FOUL (1 Tech),[1629021],1610612753.0,ORL,defensive-3-second,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,1146.0,0.0,1.0,,,,,,,
12,PT11M14.00S,2023-03-10T00:11:52.2Z,1,REGULAR,freethrow,1 of 1,[],1628374,,,1610612762,0,4,2023-03-10T00:11:52Z,120000,False,,,0,,L. Markkanen technical Free Throw 1 of 1 (1 PTS),[1628374],1610612762.0,UTA,technical,,,Markkanen,L. Markkanen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2023-03-10T00:12:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,10.85742444152431,48.03921568627451,1610612762,0,6,2023-03-10T00:12:22Z,130000,False,10.0,50.0,1,left,L. Markkanen driving Layup (3 PTS) (T. Horton-Tucker 1 AST),"[1628374, 1629659]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.06,Made,3.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,,,,,
15,PT10M53.00S,2023-03-10T00:12:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,91.01511169513797,41.17647058823529,1610612753,0,6,2023-03-10T00:12:31Z,150000,False,-44.0,32.0,1,right,MISS P. Banchero driving Layup - blocked,"[1631094, 1631117]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.45,Missed,,,,,,,,,,,,Kessler,1631117.0,,,,,
16,PT10M53.00S,2023-03-10T00:12:26.8Z,1,REGULAR,block,,[],1631117,,,1610612753,0,6,2023-03-10T00:12:29Z,160000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2023-03-10T00:12:28.8Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,6,2023-03-10T00:12:31Z,170000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M51.00S,2023-03-10T00:12:30.2Z,1,REGULAR,turnover,bad pass,[],1631117,,,1610612762,0,6,2023-03-10T00:12:39Z,180000,False,,,0,,W. Kessler bad pass TURNOVER (1 TO),"[1631117, 203914]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Harris,203914.0,,
19,PT10M51.00S,2023-03-10T00:12:30.2Z,1,REGULAR,steal,,[],203914,,,1610612753,0,6,2023-03-10T00:12:34Z,190000,False,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M48.00S,2023-03-10T00:12:36.8Z,1,REGULAR,turnover,out-of-bounds,[],203914,,,1610612753,0,6,2023-03-10T00:12:48Z,200000,False,,,0,,G. Harris step out-of-bounds TURNOVER (1 TO),[203914],1610612753.0,ORL,step,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,,,,,1.0,,,,
21,PT10M23.00S,2023-03-10T00:13:07.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203482,31.882391590013142,32.1078431372549,1610612762,0,6,2023-03-10T00:13:20Z,210000,False,89.0,247.0,1,left,MISS K. Olynyk 26' 3PT,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
22,PT10M23.00S,2023-03-10T00:13:07.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,6,2023-03-10T00:13:20Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,21.0,,,,,,,,,,,,,
23,PT10M23.00S,2023-03-10T00:13:18.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,0,6,2023-03-10T00:14:02Z,230000,False,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1146.0,,,,,,,,,
24,PT10M09.00S,2023-03-10T00:13:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,89.56964520367937,47.30392156862745,1610612753,0,6,2023-03-10T00:13:47Z,240000,False,-13.0,46.0,1,right,MISS F. Wagner driving Layup - blocked,"[1630532, 1631117]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,4.75,Missed,,,,,,,,,,,,Kessler,1631117.0,,,,,
25,PT10M09.00S,2023-03-10T00:13:38.4Z,1,REGULAR,block,,[],1631117,,,1610612753,0,6,2023-03-10T00:13:40Z,250000,False,,,0,,W. Kessler BLOCK (2 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2023-03-10T00:13:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,6,2023-03-10T00:13:47Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,24.0,,,,,,,,,,,,,
27,PT10M04.00S,2023-03-10T00:14:07.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203914,94.43166885676742,96.81372549019608,1610612753,3,6,2023-03-10T00:14:13Z,270000,False,234.0,0.0,1,right,G. Harris 3PT  (3 PTS) (M. Wagner 1 AST),"[203914, 1629021]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,23.41,Made,3.0,M. Wagner,1629021.0,1.0,,,,,,,,,,,,,,
29,PT09M39.00S,2023-03-10T00:14:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,32.276609724047304,65.68627450980392,1610612762,3,9,2023-03-10T00:14:36Z,290000,False,-78.0,251.0,1,left,L. Markkanen 26' 3PT  (6 PTS) (K. Olynyk 1 AST),"[1628374, 203482]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.29,Made,6.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
31,PT09M20.00S,2023-03-10T00:14:52.5Z,1,REGULAR,2pt,Jump Shot,[],1631094,79.58278580814718,33.33333333333333,1610612753,3,9,2023-03-10T00:15:38Z,310000,False,-83.0,139.0,1,right,MISS P. Banchero 16' turnaround Shot,[1631094],1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,16.24,Missed,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2023-03-10T00:14:57.5Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,3,9,2023-03-10T00:14:57Z,320000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M12.00S,2023-03-10T00:14:59.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,30.831143232588698,28.676470588235293,1610612762,3,9,2023-03-10T00:15:12Z,330000,False,107.0,237.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,26.01,Missed,,,,,,,,,,,,,,,,,,
34,PT09M07.00S,2023-03-10T00:15:04.6Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,3,9,2023-03-10T00:15:12Z,340000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,
35,PT08M59.00S,2023-03-10T00:15:13.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629021,91.67214191852825,57.84313725490197,1610612753,3,9,2023-03-10T00:15:19Z,350000,False,39.0,26.0,1,right,MISS M. Wagner cutting DUNK - blocked,"[1629021, 1631117]",1610612753.0,ORL,cutting,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,,Kessler,1631117.0,,,,,
36,PT08M59.00S,2023-03-10T00:15:13.0Z,1,REGULAR,block,,[],1631117,,,1610612753,3,9,2023-03-10T00:15:15Z,360000,False,,,0,,W. Kessler BLOCK (3 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M55.00S,2023-03-10T00:15:17.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,9,2023-03-10T00:15:19Z,370000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M52.00S,2023-03-10T00:15:20.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629659,12.040078843626807,96.81372549019608,1610612762,3,9,2023-03-10T00:15:28Z,380000,False,-234.0,61.0,1,left,MISS T. Horton-Tucker 24' 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Left Corner 3,24+ Left,24.18,Missed,,,,,,,,,,,,,,,,,,
39,PT08M49.00S,2023-03-10T00:15:23.0Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,3,9,2023-03-10T00:15:28Z,390000,False,,,0,,M. Wagner REBOUND (Off:0 Def:2),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Left Corner 3,24+ Left,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,
40,PT08M44.00S,2023-03-10T00:15:30.3Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,3,9,2023-03-10T00:15:57Z,400000,False,,,0,,P. Banchero lost ball out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,lost ball,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,,,,,1.0,,,,
41,PT08M33.00S,2023-03-10T00:15:47.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203482,32.14520367936925,28.921568627450984,1610612762,3,12,2023-03-10T00:16:00Z,410000,False,105.0,250.0,1,left,K. Olynyk 27' 3PT  (3 PTS) (L. Markkanen 1 AST),"[203482, 1628374]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,27.1,Made,3.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,,,,,
43,PT08M32.00S,2023-03-10T00:15:54.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,3,12,2023-03-10T00:15:54Z,430000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M13.00S,2023-03-10T00:18:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,86.15308804204993,50.73529411764706,1610612753,5,12,2023-03-10T00:19:04Z,440000,False,4.0,78.0,1,right,M. Fultz 7' pullup Jump Shot (2 PTS),[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,7.78,Made,2.0,,,,,,,,,,,,,,,,,
45,PT07M58.00S,2023-03-10T00:19:13.6Z,1,REGULAR,3pt,Jump Shot,[],1629659,29.911300919842315,21.323529411764707,1610612762,5,12,2023-03-10T00:19:17Z,450000,False,143.0,229.0,1,left,MISS T. Horton-Tucker 26' 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Right Center,26.99,Missed,,,,,,,,,,,,,,,,,,
46,PT07M56.00S,2023-03-10T00:19:15.6Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,5,12,2023-03-10T00:19:17Z,460000,False,,,0,,M. Wagner REBOUND (Off:0 Def:3),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,
47,PT07M39.00S,2023-03-10T00:19:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.40932982917214,64.70588235294117,1610612753,5,12,2023-03-10T00:19:39Z,470000,False,74.0,28.0,1,right,MISS F. Wagner 7' driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.88,Missed,,,,,,,,,,,,,,,,,,
48,PT07M37.00S,2023-03-10T00:19:35.4Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,5,12,2023-03-10T00:19:39Z,480000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:2),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,
49,PT07M26.00S,2023-03-10T00:19:46.5Z,1,REGULAR,turnover,lost ball,[],1631117,,,1610612762,5,12,2023-03-10T00:19:53Z,490000,False,,,0,,W. Kessler lost ball TURNOVER (2 TO),"[1631117, 203914]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,Harris,203914.0,,
50,PT07M26.00S,2023-03-10T00:19:46.5Z,1,REGULAR,steal,,[],203914,,,1610612753,5,12,2023-03-10T00:19:48Z,500000,False,,,0,,G. Harris STEAL (2 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M19.00S,2023-03-10T00:19:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629021,91.80354796320631,42.64705882352941,1610612753,5,12,2023-03-10T00:20:01Z,510000,False,-37.0,25.0,1,right,MISS M. Wagner running Layup,[1629021],1610612753.0,ORL,running,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2023-03-10T00:19:53.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,5,12,2023-03-10T00:20:01Z,520000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,
53,PT07M10.00S,2023-03-10T00:20:03.0Z,1,REGULAR,turnover,out-of-bounds,[],1629659,,,1610612762,5,12,2023-03-10T00:20:09Z,530000,False,,,0,,T. Horton-Tucker bad pass out-of-bounds TURNOVER (1 TO),[1629659],1610612762.0,UTA,bad pass,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1146.0,,,,,1.0,,,,
54,PT07M10.00S,2023-03-10T00:20:08.9Z,1,REGULAR,substitution,out,[],1628374,,,1610612753,5,12,2023-03-10T00:20:17Z,540000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M10.00S,2023-03-10T00:20:08.9Z,1,REGULAR,substitution,in,[],1631323,,,1610612753,5,12,2023-03-10T00:20:17Z,550000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M58.00S,2023-03-10T00:20:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,92.59198423127464,60.78431372549019,1610612753,7,12,2023-03-10T00:20:41Z,560000,False,54.0,17.0,1,right,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,5.65,Made,2.0,,,,,,,,,,,,,,,,,
57,PT06M44.00S,2023-03-10T00:20:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,13.87976346911958,53.67647058823529,1610612762,7,14,2023-03-10T00:21:04Z,570000,False,-18.0,78.0,1,left,K. Olynyk 8' driving Layup (5 PTS) (S. Fontecchio 1 AST),"[203482, 1631323]",1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,8.01,Made,5.0,S. Fontecchio,1631323.0,1.0,,,,,,,,,,,,,,
59,PT06M44.00S,2023-03-10T00:20:58.1Z,1,REGULAR,foul,personal,['1freethrow'],1630532,,,1610612762,7,14,2023-03-10T00:21:07Z,590000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Olynyk 1 FT),"[1630532, 203482]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,1.0,0.0,,,,,,Olynyk,203482.0
61,PT06M44.00S,2023-03-10T00:21:08.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612762,7,14,2023-03-10T00:22:29Z,610000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M44.00S,2023-03-10T00:21:08.6Z,1,REGULAR,substitution,in,[],1630175,,,1610612762,7,14,2023-03-10T00:22:29Z,620000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2023-03-10T00:21:37.2Z,1,REGULAR,freethrow,1 of 1,[],203482,,,1610612762,7,15,2023-03-10T00:21:37Z,630000,False,,,0,,K. Olynyk Free Throw 1 of 1 (6 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
64,PT06M32.00S,2023-03-10T00:21:50.4Z,1,REGULAR,2pt,Jump Shot,[],1631094,75.77201051248358,60.5392156862745,1610612753,9,15,2023-03-10T00:21:55Z,640000,False,53.0,175.0,1,right,P. Banchero 18' pullup Jump Shot (2 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,18.3,Made,2.0,,,,,,,,,,,,,,,,,
65,PT06M11.00S,2023-03-10T00:22:11.8Z,1,REGULAR,2pt,Jump Shot,[],1629659,22.158344283837057,50.49019607843137,1610612762,9,17,2023-03-10T00:22:29Z,650000,False,-2.0,156.0,1,left,T. Horton-Tucker 15' driving floating Jump Shot (2 PTS),[1629659],1610612762.0,UTA,driving floating,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,8-16 Center,15.58,Made,2.0,,,,,,,,,,,,,,,,,
66,PT05M58.00S,2023-03-10T00:22:25.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,92.9862023653088,54.166666666666664,1610612753,11,17,2023-03-10T00:22:35Z,660000,False,21.0,13.0,1,right,P. Banchero driving DUNK (4 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.47,Made,4.0,,,,,,,,,,,,,,,,,
67,PT05M41.00S,2023-03-10T00:22:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630534,3.892904073587385,97.79411764705883,1610612762,11,20,2023-03-10T00:22:46Z,670000,False,-239.0,-16.0,1,left,O. Agbaji 3PT  (6 PTS) (K. Olynyk 2 AST),"[1630534, 203482]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,23.95,Made,6.0,K. Olynyk,203482.0,2.0,,,,,,,,,,,,,,
69,PT05M29.00S,2023-03-10T00:22:54.2Z,1,REGULAR,2pt,Jump Shot,[],1631094,75.77201051248358,35.78431372549019,1610612753,11,20,2023-03-10T00:23:01Z,690000,False,-71.0,175.0,1,right,MISS P. Banchero 18' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,18.91,Missed,,,,,,,,,,,,,,,,,,
70,PT05M26.00S,2023-03-10T00:22:57.7Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,11,20,2023-03-10T00:22:57Z,700000,False,,,0,,M. Fultz REBOUND (Off:1 Def:0),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Left Center,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,
