actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-01-06T00:10:45.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-06T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-06T00:10:47.5Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2023-01-06T00:10:47Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. S. Adams: Tip to P. Banchero,"[1631094, 1628976, 203500]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2023-01-06T00:11:14.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,0,2023-01-06T00:11:21Z,70000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Right Center,202049.0,,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2023-01-06T00:11:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,32.802233902759525,44.6078431372549,1610612763,0,0,2023-01-06T00:11:49Z,80000,False,27.0,256.0,1,left,MISS D. Brooks 25' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,25.72,Missed,,,,,,,,,,,,,,,,,
9,PT11M10.00S,2023-01-06T00:11:47.2Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,0,0,2023-01-06T00:11:49Z,90000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M04.00S,2023-01-06T00:11:53.3Z,1,REGULAR,3pt,Jump Shot,[],203914,76.5604467805519,10.049019607843137,1610612753,0,0,2023-01-06T00:11:59Z,100000,False,-200.0,168.0,1,right,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,,26.09,Missed,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2023-01-06T00:11:57.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,0,0,2023-01-06T00:11:59Z,110000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M47.00S,2023-01-06T00:12:09.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,7.835085413929041,39.950980392156865,1610612763,0,0,2023-01-06T00:12:14Z,120000,False,50.0,21.0,1,left,MISS S. Adams Hook,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,5.45,Missed,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2023-01-06T00:12:11.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2023-01-06T00:12:14Z,130000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M35.00S,2023-01-06T00:12:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,64.99671484888306,64.4607843137255,1610612753,0,0,2023-01-06T00:12:27Z,140000,False,72.0,277.0,1,right,MISS W. Carter Jr. 28' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,28.58,Missed,,,,,,,,,,,,,,,,,
15,PT10M31.00S,2023-01-06T00:12:26.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,0,0,2023-01-06T00:12:27Z,150000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,
16,PT10M23.00S,2023-01-06T00:12:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,8.492115637319317,43.627450980392155,1610612763,0,0,2023-01-06T00:12:39Z,160000,False,32.0,27.0,1,left,MISS J. Morant driving Layup,[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,4.2,Missed,,,,,,,,,,,,,,,,,
17,PT10M18.00S,2023-01-06T00:12:38.1Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,0,0,2023-01-06T00:12:39Z,170000,False,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,
18,PT10M18.00S,2023-01-06T00:12:38.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629630,5.590000152587891,50.0,1610612763,0,2,2023-01-06T00:12:43Z,180000,False,0.0,0.0,1,left,J. Morant tip Layup (2 PTS),[1629630],1610612763.0,MEM,tip,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,0.0,Made,,,,,2.0,,,,,,,,,,,,
19,PT10M09.00S,2023-01-06T00:12:47.7Z,1,REGULAR,turnover,bad pass,[],203914,,,1610612753,0,2,2023-01-06T00:13:59Z,190000,False,,,0,,G. Harris bad pass TURNOVER (1 TO),"[203914, 203500]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Mid-Range,16-24 Left,,,,,,,,,1.0,Adams,203500.0,,,,,,,,,
20,PT10M09.00S,2023-01-06T00:12:47.7Z,1,REGULAR,steal,,[],203500,,,1610612763,0,2,2023-01-06T00:12:51Z,200000,False,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
21,PT09M49.00S,2023-01-06T00:13:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629630,8.09789750328515,56.127450980392155,1610612763,0,4,2023-01-06T00:14:53Z,210000,False,-31.0,24.0,1,left,J. Morant driving finger roll Layup (4 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,3.86,Made,,,,,4.0,,,,,,,,,,,,
