actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-09T22:42:19.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-09T22:42:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-09T22:42:22.1Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-11-09T22:42:22Z,40000,False,,,0,,Jump Ball B. Bol vs. D. Powell: Tip to W. Carter Jr.,"[1628976, 1629626, 203939]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bol,1629626.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-09T22:42:39.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,9.149145860709593,51.9607843137255,1610612753,2,0,2022-11-09T22:42:48Z,70000,False,-10.0,34.0,1,left,W. Carter Jr. driving Hook (2 PTS),[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.49,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-11-09T22:42:56.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,77.87450722733246,58.57843137254902,1610612742,2,0,2022-11-09T22:43:03Z,80000,False,43.0,155.0,1,right,MISS L. Doncic 16' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,16.13,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-11-09T22:42:59.8Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,0,2022-11-09T22:43:03Z,90000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M10.00S,2022-11-09T22:43:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.783837056504599,48.28431372549019,1610612753,4,0,2022-11-09T22:43:14Z,100000,False,9.0,11.0,1,left,F. Wagner driving Layup (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.42,Made,2.0,,,,,J. Suggs,1630591.0,1.0,,,,,,,,,,
12,PT10M49.00S,2022-11-09T22:43:29.0Z,1,REGULAR,3pt,Jump Shot,[],203915,66.70499342969777,45.588235294117645,1610612742,4,3,2022-11-09T22:43:34Z,120000,False,-22.0,260.0,1,right,S. Dinwiddie 26' 3PT  (3 PTS) (L. Doncic 1 AST),"[203915, 1629029]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,26.14,Made,3.0,,,,,L. Doncic,1629029.0,1.0,,,,,,,,,,
14,PT10M29.00S,2022-11-09T22:43:49.9Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,4,3,2022-11-09T22:43:59Z,140000,False,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 1627827]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,,
15,PT10M29.00S,2022-11-09T22:43:49.9Z,1,REGULAR,steal,,[],1627827,,,1610612742,4,3,2022-11-09T22:44:28Z,150000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M13.00S,2022-11-09T22:44:05.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,86.28449408672799,43.872549019607845,1610612742,4,5,2022-11-09T22:44:13Z,160000,False,-31.0,76.0,1,right,L. Doncic 8' fadeaway bank Jump Shot (2 PTS),[1629029],1610612742.0,DAL,fadeaway bank,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,8.23,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M04.00S,2022-11-09T22:44:19.2Z,1,REGULAR,turnover,out-of-bounds,[],1629643,,,1610612753,4,5,2022-11-09T22:44:36Z,170000,False,,,0,,C. Okeke step out-of-bounds TURNOVER (1 TO),[1629643],1610612753.0,ORL,step,,,Okeke,C. Okeke,,,,,Right Corner 3,24+ Right,,,,,,,,,,,1.0,,,203054.0,,,,,,
