actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-10T00:10:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-10T00:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-02-10T00:10:41.7Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612743,0,0,2023-02-10T00:10:41Z,40000,False,,,0,,Jump Ball N. Jokic vs. W. Carter Jr.: Tip to B. Brown,"[1628971, 203999, 1628976]",1610612743.0,DEN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Jokic,203999.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-02-10T00:10:55.9Z,1,REGULAR,2pt,Jump Shot,[],203999,89.96386333771353,79.16666666666666,1610612743,0,2,2023-02-10T00:11:01Z,70000,False,146.0,42.0,1,right,N. Jokic 15' Jump Shot (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,15.17,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2023-02-10T00:11:16.0Z,1,REGULAR,2pt,Jump Shot,[],1628976,21.369908015768726,49.50980392156863,1610612753,0,2,2023-02-10T00:11:25Z,80000,False,2.0,148.0,1,left,MISS W. Carter Jr. 14' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Center,14.84,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2023-02-10T00:11:19.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,2,2023-02-10T00:11:25Z,90000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT10M59.00S,2023-02-10T00:11:40.4Z,1,REGULAR,foul,personal,['3freethrow'],1630532,,,1610612743,0,2,2023-02-10T00:11:55Z,100000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Porter Jr. 3 FT),"[1630532, 1629008]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,1628172.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,
12,PT10M59.00S,2023-02-10T00:12:06.7Z,1,REGULAR,freethrow,1 of 3,[],1629008,,,1610612743,0,3,2023-02-10T00:12:06Z,120000,False,,,0,,M. Porter Jr. Free Throw 1 of 3 (1 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2023-02-10T00:12:18.6Z,1,REGULAR,freethrow,2 of 3,[],1629008,,,1610612743,0,4,2023-02-10T00:12:18Z,130000,False,,,0,,M. Porter Jr. Free Throw 2 of 3 (2 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2023-02-10T00:12:32.0Z,1,REGULAR,freethrow,3 of 3,[],1629008,,,1610612743,0,5,2023-02-10T00:12:32Z,140000,False,,,0,,M. Porter Jr. Free Throw 3 of 3 (3 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2023-02-10T00:12:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,33.065045992115635,49.50980392156863,1610612753,0,5,2023-02-10T00:13:49Z,150000,False,2.0,258.0,1,left,MISS J. Suggs 25' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
