actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
412,PT05M07.00S,2022-12-01T01:34:00.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.06471587292626,49.01960784313725,1610612753,69,85,2022-12-01T01:34:06Z,4080000,False,-5.0,22.0,1,right,MISS P. Banchero driving reverse Layup,[1631094],1610612753.0,ORL,driving reverse,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
413,PT05M04.00S,2022-12-01T01:34:02.4Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,69,85,2022-12-01T01:34:02Z,4090000,False,,,0,,C. Capela REBOUND (Off:5 Def:6),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,412.0,11.0,6.0,5.0,,,,
414,PT04M56.00S,2022-12-01T01:34:13.7Z,3,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612737,69,85,2022-12-01T01:34:21Z,4100000,False,,,0,,C. Anthony shooting personal FOUL (4 PF) (Young 2 FT),"[1630175, 1629027]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,4.0,0.0,Young,1629027.0,,,,,,,,,
416,PT04M56.00S,2022-12-01T01:34:38.8Z,3,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,69,86,2022-12-01T01:34:38Z,4120000,False,,,0,,T. Young Free Throw 1 of 2 (22 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,22.0,,,,,,,,,,,,,,,,,
417,PT04M56.00S,2022-12-01T01:34:52.2Z,3,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,69,87,2022-12-01T01:34:52Z,4130000,False,,,0,,T. Young Free Throw 2 of 2 (23 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,23.0,,,,,,,,,,,,,,,,,
418,PT04M33.00S,2022-12-01T01:35:19.4Z,3,REGULAR,foul,offensive,[],1630284,,,1610612753,69,87,2022-12-01T01:35:49Z,4140000,False,,,0,,K. Harris offensive FOUL (2 PF),"[1630284, 1629027]",1610612753.0,ORL,,,,Harris,K. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,2.0,0.0,Young,1629027.0,,,,,,,,,
420,PT04M33.00S,2022-12-01T01:35:19.4Z,3,REGULAR,turnover,offensive foul,[],1630284,,,1610612753,69,87,2022-12-01T01:35:19Z,4160000,False,,,0,,K. Harris offensive foul TURNOVER (2 TO),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,,,,,2.0,,,,,,,,
421,PT04M25.00S,2022-12-01T01:35:42.2Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,35.95433479539668,56.372549019607845,1610612737,69,90,2022-12-01T01:35:48Z,4170000,False,-32.0,285.0,1,left,T. Young 28' 3PT pullup (26 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,28.73,Made,26.0,,,,,,,,,,,,,,,,,
422,PT04M10.00S,2022-12-01T01:35:56.4Z,3,REGULAR,2pt,Jump Shot,[],1631094,72.74802730525214,48.529411764705884,1610612753,71,90,2022-12-01T01:36:02Z,4180000,False,-7.0,204.0,1,right,P. Banchero 20' pullup Jump Shot (17 PTS) (M. Wagner 5 AST),"[1631094, 1629021]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,20.38,Made,17.0,M. Wagner,1629021.0,5.0,,,,,,,,,,,,,,
424,PT03M57.00S,2022-12-01T01:36:09.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.163270406434787,43.627450980392155,1610612737,71,90,2022-12-01T01:36:14Z,4200000,False,32.0,109.0,1,left,MISS D. Murray 11' driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.34,Missed,,,,,,,,,,,,,,,,,,
