actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-26T00:10:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-26T00:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-26T00:10:46.3Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-01-26T00:10:46Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Turner: Tip to M. Fultz,"[1628365, 1628976, 1626167]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-26T00:10:58.4Z,1,REGULAR,foul,personal,['2freethrow'],1630537,,,1610612753,0,0,2023-01-26T00:11:13Z,70000,False,,,0,,C. Duarte shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630537, 1630532]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,1146.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2023-01-26T00:11:22.9Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,1,0,2023-01-26T00:11:22Z,90000,False,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2023-01-26T00:11:35.9Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,2,0,2023-01-26T00:11:36Z,100000,False,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M36.00S,2023-01-26T00:11:50.1Z,1,REGULAR,turnover,out-of-bounds,[],1630174,,,1610612754,2,0,2023-01-26T00:11:58Z,110000,False,,,0,,A. Nesmith bad pass out-of-bounds TURNOVER (1 TO),[1630174],1610612754.0,IND,bad pass,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,1628953.0,,,,,,,1.0,,,,,,,,,,,,
12,PT11M19.00S,2023-01-26T00:12:13.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203914,33.196452036793694,41.42156862745098,1610612753,5,0,2023-01-26T00:12:18Z,120000,False,43.0,260.0,1,left,G. Harris 26' 3PT  (3 PTS) (P. Banchero 1 AST),"[203914, 1631094]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,26.3,P. Banchero,1631094.0,1.0,,,,,,,,
14,PT11M01.00S,2023-01-26T00:12:32.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,87.59855453350855,96.56862745098039,1610612754,5,0,2023-01-26T00:12:37Z,140000,False,233.0,64.0,1,right,MISS M. Turner 24' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,24.15,,,,,,,,,,,
15,PT10M58.00S,2023-01-26T00:12:35.6Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,5,0,2023-01-26T00:12:37Z,150000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M54.00S,2023-01-26T00:12:39.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628976,32.14520367936925,53.18627450980392,1610612753,5,0,2023-01-26T00:12:46Z,160000,False,-16.0,250.0,1,left,MISS W. Carter Jr. 25' running 3PT,[1628976],1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,25.02,,,,,,,,,,,
17,PT10M50.00S,2023-01-26T00:12:42.9Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,5,0,2023-01-26T00:12:42Z,170000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,
18,PT10M47.00S,2023-01-26T00:12:46.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631094,8.360709592641262,47.549019607843135,1610612753,7,0,2023-01-26T00:13:00Z,180000,False,12.0,26.0,1,left,P. Banchero driving floating bank Jump Shot (2 PTS),[1631094],1610612753.0,ORL,driving floating bank,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.89,,,,,,,,,,,
19,PT10M26.00S,2023-01-26T00:13:07.3Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,7,0,2023-01-26T00:13:12Z,190000,False,,,0,,A. Nesmith bad pass TURNOVER (2 TO),"[1630174, 1630532]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Right,,,,,,,,2.0,,,,,,,,,Wagner,1630532.0,,
20,PT10M26.00S,2023-01-26T00:13:07.3Z,1,REGULAR,steal,,[],1630532,,,1610612753,7,0,2023-01-26T00:13:09Z,200000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2023-01-26T00:13:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,6.1268068331143235,54.41176470588235,1610612753,9,0,2023-01-26T00:13:24Z,210000,False,-22.0,5.0,1,left,P. Banchero running reverse Layup (4 PTS) (F. Wagner 1 AST),"[1631094, 1630532]",1610612753.0,ORL,running reverse,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,2.27,F. Wagner,1630532.0,1.0,,,,,,,,
