shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-06T00:10:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-06T00:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-06T00:10:47.2Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2022-12-06T00:10:47Z,40000,False,,,0,,Jump Ball B. Bol vs. B. Portis: Tip to M. Fultz,"[1628365, 1629626, 1626171]",20,1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Bol,1629626.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,,
11:41,7,PT11M41.00S,2022-12-06T00:11:02.5Z,1,REGULAR,turnover,bad pass,[],1629021,,,1610612753,0,0,2022-12-06T00:11:17Z,70000,False,,,0,,M. Wagner bad pass TURNOVER (1 TO),"[1629021, 203507]",21,1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),8-16 Center,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,
11:41,8,PT11M41.00S,2022-12-06T00:11:02.5Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2022-12-06T00:11:05Z,80000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11:40,9,PT11M40.00S,2022-12-06T00:11:07.9Z,1,REGULAR,turnover,out-of-bounds,[],1629670,,,1610612749,0,0,2022-12-06T00:11:23Z,90000,False,,,0,,J. Nwora bad pass out-of-bounds TURNOVER (1 TO),[1629670],13,1610612749.0,MIL,bad pass,,,Nwora,J. Nwora,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,200833.0,,,,,,,,,,,,,,,,
11:24,10,PT11M24.00S,2022-12-06T00:11:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628365,72.35380917121796,85.5392156862745,1610612753,3,0,2022-12-06T00:11:29Z,100000,False,178.0,207.0,1,right,M. Fultz 27' 3PT  (3 PTS) (F. Wagner 1 AST),"[1628365, 1630532]",20,1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Right Center,,,,,27.31,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
11:07,12,PT11M07.00S,2022-12-06T00:11:42.1Z,1,REGULAR,3pt,Jump Shot,[],1629670,6.913598921546485,96.32352941176471,1610612749,3,3,2022-12-06T00:11:48Z,120000,False,-232.0,12.0,1,left,J. Nwora 3PT  (3 PTS) (B. Portis 1 AST),"[1629670, 1626171]",13,1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Left Corner 3,24+ Left,,,,,23.19,Made,3.0,B. Portis,1626171.0,1.0,,,,,,,,,,
10:51,14,PT10M51.00S,2022-12-06T00:11:59.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629626,93.64158840906292,50.49019607843137,1610612753,5,3,2022-12-06T00:12:04Z,140000,False,2.0,7.0,1,right,B. Bol driving DUNK (2 PTS) (M. Wagner 1 AST),"[1629626, 1629021]",10,1610612753.0,ORL,driving,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,0.77,Made,2.0,M. Wagner,1629021.0,1.0,,,,,,,,,,
10:37,16,PT10M37.00S,2022-12-06T00:12:11.9Z,1,REGULAR,2pt,Jump Shot,[],1626171,20.97404570209839,18.872549019607842,1610612749,5,3,2022-12-06T00:12:17Z,160000,False,156.0,145.0,1,left,MISS B. Portis 21' Jump Shot,[1626171],9,1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right Center,,,,,21.25,Missed,,,,,,,,,,,,,,
10:37,17,PT10M37.00S,2022-12-06T00:12:16.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,5,3,2022-12-06T00:12:16Z,170000,False,,,0,,TEAM offensive REBOUND,[],,1610612749.0,MIL,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,16.0,,,,,,,,,
