actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-27T23:10:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-27T23:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-27T23:10:17.0Z,1,REGULAR,jumpball,recovered,[],203914,,,1610612753,0,0,2022-11-27T23:10:17Z,40000,False,,,0,,Jump Ball B. Bol vs. M. Harrell: Tip to G. Harris,"[203914, 1629626, 1626149]",1610612753.0,ORL,startperiod,G. Harris,203914.0,Harris,G. Harris,Bol,1629626.0,Harrell,1626149.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-11-27T23:10:42.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,0,2022-11-27T23:10:49Z,70000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1155.0,,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-11-27T23:11:13.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629003,71.69677894782768,24.509803921568626,1610612755,0,0,2022-11-27T23:11:21Z,80000,False,-127.0,214.0,1,right,MISS S. Milton 24' 3PT - blocked,"[1629003, 1629626]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Left Center,,24.88,Missed,Bol,1629626.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-11-27T23:11:13.6Z,1,REGULAR,block,,[],1629626,,,1610612755,0,0,2022-11-27T23:11:16Z,90000,False,,,0,,B. Bol BLOCK (1 BLK),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-11-27T23:11:17.6Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,0,0,2022-11-27T23:11:21Z,100000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M11.00S,2022-11-27T23:11:21.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,23.076542416947273,89.4607843137255,1610612753,0,0,2022-11-27T23:11:29Z,110000,False,-197.0,164.0,1,left,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,25.68,Missed,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-11-27T23:11:25.9Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,0,0,2022-11-27T23:11:29Z,120000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M03.00S,2022-11-27T23:11:29.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629003,92.85315214099458,49.50980392156863,1610612755,0,2,2022-11-27T23:11:40Z,130000,False,-2.0,15.0,1,right,S. Milton running Layup (2 PTS),[1629003],1610612755.0,PHI,running,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,1.49,Made,,,,,,,2.0,,,,,,,,,,
14,PT10M48.00S,2022-11-27T23:11:44.5Z,1,REGULAR,3pt,Jump Shot,[],1628964,24.25919681904977,86.51960784313727,1610612753,3,2,2022-11-27T23:11:49Z,140000,False,-183.0,176.0,1,left,M. Bamba 25' 3PT  (3 PTS) (G. Harris 1 AST),"[1628964, 203914]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,,25.33,Made,,,,,,,3.0,G. Harris,203914.0,1.0,,,,,,,
16,PT10M29.00S,2022-11-27T23:12:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629001,74.19349379671074,13.725490196078432,1610612755,3,5,2022-11-27T23:12:09Z,160000,False,-181.0,190.0,1,right,D. Melton 26' 3PT  (3 PTS) (P. Tucker 1 AST),"[1629001, 200782]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,26.28,Made,,,,,,,3.0,P. Tucker,200782.0,1.0,,,,,,,
18,PT10M16.00S,2022-11-27T23:12:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,5.599538474765933,34.31372549019608,1610612753,5,5,2022-11-27T23:12:24Z,180000,False,78.0,0.0,1,left,P. Banchero 7' turnaround fadeaway bank Jump Shot (2 PTS),[1631094],1610612753.0,ORL,turnaround fadeaway bank,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,7.84,Made,,,,,,,2.0,,,,,,,,,,
19,PT09M55.00S,2022-11-27T23:12:38.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626149,91.40768564953598,63.23529411764706,1610612755,5,7,2022-11-27T23:13:32Z,190000,False,66.0,28.0,1,right,M. Harrell 7' turnaround Hook (2 PTS),[1626149],1610612755.0,PHI,turnaround,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,7.2,Made,,,,,,,2.0,,,,,,,,,,
20,PT09M55.00S,2022-11-27T23:12:43.2Z,1,REGULAR,foul,personal,['1freethrow'],1630532,,,1610612755,5,7,2022-11-27T23:13:04Z,200000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Harrell 1 FT),"[1630532, 1626149]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,,,,1.0,0.0,Harrell,1626149.0,,,
22,PT09M55.00S,2022-11-27T23:13:13.4Z,1,REGULAR,freethrow,1 of 1,[],1626149,,,1610612755,5,8,2022-11-27T23:13:13Z,220000,False,,,0,,M. Harrell Free Throw 1 of 1 (3 PTS),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
23,PT09M35.00S,2022-11-27T23:13:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,4.154071983307326,53.18627450980392,1610612753,7,8,2022-11-27T23:13:41Z,230000,False,-16.0,-13.0,1,left,F. Wagner driving Layup (2 PTS) (G. Harris 2 AST),"[1630532, 203914]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,2.09,Made,,,,,,,2.0,G. Harris,203914.0,2.0,,,,,,,
25,PT09M20.00S,2022-11-27T23:13:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,81.81504438803793,47.549019607843135,1610612755,7,8,2022-11-27T23:14:00Z,250000,False,-12.0,118.0,1,right,MISS T. Harris 11' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,11.9,Missed,,,,,,,,,,,,,,,,,
26,PT09M14.00S,2022-11-27T23:13:57.2Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,7,8,2022-11-27T23:14:00Z,260000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Center,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M11.00S,2022-11-27T23:13:59.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,4.942508251375656,51.470588235294116,1610612753,9,8,2022-11-27T23:14:08Z,270000,False,-7.0,-6.0,1,left,P. Banchero cutting DUNK (4 PTS) (B. Bol 1 AST),"[1631094, 1629626]",1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,0.95,Made,,,,,,,4.0,B. Bol,1629626.0,1.0,,,,,,,
