actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-08T00:11:11.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-08T00:11:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-08T00:11:15.0Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-02-08T00:11:15Z,40000,False,,,0,,Jump Ball J. Sims vs. W. Carter Jr.: Tip to J. Randle,"[203944, 1630579, 1628976]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Sims,1630579.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-02-08T00:11:35.2Z,1,REGULAR,2pt,Jump Shot,[],1629628,80.23981603153744,77.45098039215686,1610612752,0,0,2023-02-08T00:11:42Z,70000,False,137.0,133.0,1,right,MISS R. Barrett 19' turnaround fadeaway Shot,[1629628],1610612752.0,NYK,turnaround fadeaway,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right Center,19.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2023-02-08T00:11:40.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2023-02-08T00:22:18Z,80000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M11.00S,2023-02-08T00:12:00.1Z,1,REGULAR,2pt,Jump Shot,[],1631094,20.18725361366623,28.431372549019606,1610612753,0,0,2023-02-08T00:12:05Z,90000,False,108.0,137.0,1,left,MISS P. Banchero 17' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,17.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2023-02-08T00:12:04.1Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,0,0,2023-02-08T00:12:05Z,100000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT10M50.00S,2023-02-08T00:12:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,92.32917214191852,48.77450980392157,1610612752,0,2,2023-02-08T00:12:25Z,110000,False,-6.0,20.0,1,right,Q. Grimes driving Layup (2 PTS) (J. Randle 1 AST),"[1629656, 203944]",1610612752.0,NYK,driving,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,2.05,Made,,,,,2.0,J. Randle,203944.0,1.0,,,,,,,,,,
13,PT10M40.00S,2023-02-08T00:12:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.835085413929041,49.754901960784316,1610612753,2,2,2023-02-08T00:12:37Z,130000,False,1.0,21.0,1,left,F. Wagner cutting Layup (2 PTS) (M. Fultz 1 AST),"[1630532, 1628365]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,2.0,M. Fultz,1628365.0,1.0,,,,,,,,,,
15,PT10M17.00S,2023-02-08T00:12:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,82.60512483574244,52.69607843137255,1610612752,2,2,2023-02-08T00:13:03Z,150000,False,13.0,111.0,1,right,MISS R. Barrett 11' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,11.18,Missed,,,,,,,,,,,,,,,,,,
16,PT10M13.00S,2023-02-08T00:12:57.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,2,2023-02-08T00:13:03Z,160000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M09.00S,2023-02-08T00:13:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.995400788436268,43.872549019607845,1610612753,2,2,2023-02-08T00:14:14Z,170000,False,31.0,4.0,1,left,MISS P. Banchero driving Layup - blocked,"[1631094, 1629656]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.08,Missed,,,,,,,,,Grimes,1629656.0,,,,,,,,
18,PT10M09.00S,2023-02-08T00:13:02.1Z,1,REGULAR,block,,[],1629656,,,1610612753,2,2,2023-02-08T00:13:36Z,180000,False,,,0,,Q. Grimes BLOCK (1 BLK),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M09.00S,2023-02-08T00:13:02.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,2,2,2023-02-08T00:13:19Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
21,PT10M00.00S,2023-02-08T00:13:25.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628976,15.062417871222076,32.59803921568628,1610612753,4,2,2023-02-08T00:13:41Z,210000,False,87.0,89.0,1,left,W. Carter Jr. 12' Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,12.45,Made,,,,,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
23,PT09M42.00S,2023-02-08T00:13:43.2Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,4,2,2023-02-08T00:13:57Z,230000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1628365]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Fultz,1628365.0,,,,,
24,PT09M42.00S,2023-02-08T00:13:43.2Z,1,REGULAR,steal,,[],1628365,,,1610612753,4,2,2023-02-08T00:13:45Z,240000,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
25,PT09M34.00S,2023-02-08T00:13:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628365,5.863994743758213,54.90196078431373,1610612753,6,2,2023-02-08T00:14:02Z,250000,False,-25.0,3.0,1,left,M. Fultz driving reverse Layup (2 PTS) (P. Banchero 1 AST),"[1628365, 1631094]",1610612753.0,ORL,driving reverse,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,2.46,Made,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,
27,PT09M17.00S,2023-02-08T00:14:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,83.13074901445466,50.245098039215684,1610612752,6,2,2023-02-08T00:14:24Z,270000,False,1.0,106.0,1,right,MISS R. Barrett 10' driving Layup - blocked,"[1629628, 1630532]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,10.61,Missed,,,,,,,,,Wagner,1630532.0,,,,,,,,
28,PT09M17.00S,2023-02-08T00:14:07.9Z,1,REGULAR,block,,[],1630532,,,1610612752,6,2,2023-02-08T00:14:54Z,280000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M17.00S,2023-02-08T00:14:07.9Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,6,2,2023-02-08T00:14:24Z,290000,False,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT09M17.00S,2023-02-08T00:14:14.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,67.09921156373193,30.14705882352941,1610612752,6,2,2023-02-08T00:14:37Z,300000,False,-99.0,257.0,1,right,MISS J. Randle 27' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,27.53,Missed,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2023-02-08T00:14:16.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,6,2,2023-02-08T00:14:16Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Left Center,,,30.0,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2023-02-08T00:14:19.7Z,1,REGULAR,foul,personal,[],1630532,,,1610612752,6,2,2023-02-08T00:15:14Z,330000,False,,,0,,F. Wagner loose ball personal FOUL (1 PF),"[1630532, 1630579]",1610612753.0,ORL,loose ball,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Sims,1630579.0
35,PT09M09.00S,2023-02-08T00:14:35.7Z,1,REGULAR,turnover,lost ball,[],1630579,,,1610612752,6,2,2023-02-08T00:16:30Z,350000,False,,,0,,J. Sims lost ball TURNOVER (1 TO),"[1630579, 203914]",1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,Harris,203914.0,,,,,
36,PT09M09.00S,2023-02-08T00:14:35.7Z,1,REGULAR,steal,,[],203914,,,1610612753,6,2,2023-02-08T00:16:30Z,360000,False,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2023-02-08T00:14:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203914,7.5722733245729295,46.81372549019608,1610612753,6,2,2023-02-08T00:14:58Z,370000,False,16.0,19.0,1,left,MISS G. Harris driving Layup,[203914],1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2023-02-08T00:14:52.9Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,6,2,2023-02-08T00:14:58Z,380000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M37.00S,2023-02-08T00:15:08.1Z,1,REGULAR,2pt,Jump Shot,[],1629628,79.58278580814718,73.77450980392157,1610612752,6,2,2023-02-08T00:17:29Z,390000,False,119.0,139.0,1,right,MISS R. Barrett 18' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right Center,18.32,Missed,,,,,,,,,,,,,,,,,,
40,PT08M34.00S,2023-02-08T00:15:10.8Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,6,2,2023-02-08T00:15:10Z,400000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Right Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M28.00S,2023-02-08T00:15:16.7Z,1,REGULAR,2pt,Jump Shot,[],1628365,14.668199737187912,75.49019607843137,1610612753,8,2,2023-02-08T00:15:23Z,410000,False,-127.0,85.0,1,left,M. Fultz 15' turnaround Jump Shot (4 PTS),[1628365],1610612753.0,ORL,turnaround,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Left,15.35,Made,,,,,4.0,,,,,,,,,,,,,
