actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-02T22:10:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-02T22:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-02T22:10:27.7Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-04-02T22:10:27Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Wiseman: Tip to M. Fultz,"[1628365, 1628976, 1630164]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Wiseman,1630164.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-04-02T22:10:43.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,6.258212877792378,49.26470588235294,1610612753,2,0,2023-04-02T22:10:50Z,70000,False,4.0,6.0,1,left,F. Wagner driving DUNK (2 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.73,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2023-04-02T22:11:04.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630164,94.30026281208936,40.68627450980392,1610612765,2,2,2023-04-02T22:11:08Z,90000,False,-47.0,1.0,1,right,J. Wiseman turnaround Hook (2 PTS),[1630164],1610612765.0,DET,turnaround,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,4.66,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2023-04-02T22:11:15.8Z,1,REGULAR,foul,personal,[],1630165,,,1610612753,2,2,2023-04-02T22:11:28Z,100000,False,,,0,,K. Hayes personal FOUL (1 PF),"[1630165, 1630532]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,
12,PT11M09.00S,2023-04-02T22:11:35.7Z,1,REGULAR,3pt,Jump Shot,[],203914,10.85742444152431,3.6764705882352944,1610612753,2,2,2023-04-02T22:11:39Z,120000,False,232.0,50.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,23.69,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2023-04-02T22:11:37.7Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,2,2023-04-02T22:11:39Z,130000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT10M56.00S,2023-04-02T22:11:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630165,75.24638633377135,89.70588235294117,1610612765,2,2,2023-04-02T22:11:52Z,140000,False,199.0,180.0,1,right,MISS K. Hayes 26' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-04-02T22:11:50.8Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,2,2,2023-04-02T22:11:50Z,150000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M48.00S,2023-04-02T22:11:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612753,2,2,2023-04-02T22:12:12Z,160000,False,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Banchero 2 FT),"[1628963, 1631094]",1610612765.0,DET,shooting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,
18,PT10M48.00S,2023-04-02T22:12:26.3Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,3,2,2023-04-02T22:12:26Z,180000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2023-04-02T22:12:26.3Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,3,2,2023-04-02T22:12:46Z,190000,False,,,0,,MISS P. Banchero Free Throw 2 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2023-04-02T22:12:29.3Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,3,2,2023-04-02T22:12:46Z,200000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
21,PT10M27.00S,2023-04-02T22:13:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,93.77463863337714,45.09803921568628,1610612765,3,2,2023-04-02T22:13:08Z,210000,False,-25.0,6.0,1,right,MISS M. Bagley III driving reverse Layup,[1628963],1610612765.0,DET,driving reverse,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
22,PT10M25.00S,2023-04-02T22:13:05.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,3,2,2023-04-02T22:13:08Z,220000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
23,PT10M23.00S,2023-04-02T22:13:09.9Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612753,3,2,2023-04-02T22:13:22Z,230000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Banchero 2 FT),"[1631093, 1631094]",1610612765.0,DET,shooting,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,
25,PT10M23.00S,2023-04-02T22:13:42.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631094,,,1610612753,3,2,2023-04-02T22:14:03Z,250000,False,,,0,,MISS P. Banchero Free Throw 1 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT10M23.00S,2023-04-02T22:13:42.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,3,2,2023-04-02T22:14:03Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
27,PT10M23.00S,2023-04-02T22:13:42.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631094,,,1610612753,3,2,2023-04-02T22:14:03Z,270000,False,,,0,,MISS P. Banchero Free Throw 2 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT10M20.00S,2023-04-02T22:13:45.7Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,3,2,2023-04-02T22:14:03Z,280000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:2),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,
29,PT10M12.00S,2023-04-02T22:14:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630164,91.5407358738502,44.85294117647059,1610612765,3,4,2023-04-02T22:14:16Z,290000,False,-26.0,27.0,1,right,J. Wiseman cutting Layup (4 PTS) (J. Ivey 1 AST),"[1630164, 1631093]",1610612765.0,DET,cutting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,3.73,Made,4.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
31,PT09M55.00S,2023-04-02T22:14:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,19.398817345597898,91.91176470588235,1610612753,6,4,2023-04-02T22:14:32Z,310000,False,-210.0,130.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,24.65,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
33,PT09M30.00S,2023-04-02T22:14:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,87.33574244415243,55.88235294117647,1610612765,6,4,2023-04-02T22:15:25Z,330000,False,29.0,67.0,1,right,MISS M. Bagley III 7' fadeaway Shot,[1628963],1610612765.0,DET,fadeaway,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,7.27,Missed,,,,,,,,,,,,,,,,,,
35,PT09M30.00S,2023-04-02T22:14:53.9Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612765,6,4,2023-04-02T22:14:59Z,350000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:2),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,33.0,3.0,2.0,1.0,,,,,
36,PT09M30.00S,2023-04-02T22:14:59.5Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612765,6,4,2023-04-02T22:15:08Z,360000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Wiseman 2 FT),"[1628976, 1630164]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,1.0,0.0,Wiseman,1630164.0,,,,,,,,,
38,PT09M30.00S,2023-04-02T22:15:21.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630164,,,1610612765,6,5,2023-04-02T22:15:21Z,380000,False,,,0,,J. Wiseman Free Throw 1 of 2 (5 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
39,PT09M30.00S,2023-04-02T22:15:39.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630164,,,1610612765,6,6,2023-04-02T22:15:39Z,390000,False,,,0,,J. Wiseman Free Throw 2 of 2 (6 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
40,PT09M16.00S,2023-04-02T22:15:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,11.251642575558476,48.529411764705884,1610612753,8,6,2023-04-02T22:16:00Z,400000,False,7.0,53.0,1,left,G. Harris driving finger roll Layup (2 PTS) (F. Wagner 2 AST),"[203914, 1630532]",1610612753.0,ORL,driving finger roll,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.38,Made,2.0,F. Wagner,1630532.0,2.0,,,,,,,,,,,,,,
