shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-10T00:10:26.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-10T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55,4,PT11M55.00S,2022-12-10T00:10:30.3Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-12-10T00:10:30Z,40000,False,,,0,,Jump Ball C. Koloko vs. B. Bol: Tip to F. VanVleet,"[1627832, 1631132, 1629626]",23,1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Koloko,1631132.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
11:41,7,PT11M41.00S,2022-12-10T00:10:44.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,71.04139290407359,80.63725490196079,1610612761,0,3,2022-12-10T00:10:50Z,70000,False,153.0,220.0,1,right,P. Siakam 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",43,1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,26.78,Made,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,
11:19,9,PT11M19.00S,2022-12-10T00:11:05.9Z,1,REGULAR,2pt,Jump Shot,[],1631094,4.418528252299605,76.22549019607843,1610612753,2,3,2022-12-10T00:11:11Z,90000,False,-131.0,-11.0,1,left,P. Banchero 13' pullup Jump Shot (2 PTS) (M. Fultz 1 AST),"[1631094, 1628365]",5,1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,13.16,Made,2.0,M. Fultz,1628365.0,1.0,,,,,,,,,,,,,,
11:09,11,PT11M09.00S,2022-12-10T00:11:15.9Z,1,REGULAR,3pt,Jump Shot,[],1627783,71.69842312746385,18.872549019607842,1610612761,2,3,2022-12-10T00:11:20Z,110000,False,-156.0,214.0,1,right,MISS P. Siakam 26' 3PT,[1627783],43,1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,26.42,Missed,,,,,,,,,,,,,,,,,,
11:06,12,PT11M06.00S,2022-12-10T00:11:18.9Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,2,3,2022-12-10T00:11:20Z,120000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],20,1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
11:00,13,PT11M00.00S,2022-12-10T00:11:25.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,6.783837056504599,56.86274509803921,1610612753,2,3,2022-12-10T00:11:30Z,130000,False,-34.0,11.0,1,left,MISS F. Wagner driving Hook,[1630532],22,1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,,,,,,,,,,,,,,
10:56,14,PT10M56.00S,2022-12-10T00:11:29.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,3,2022-12-10T00:18:54Z,140000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],43,1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
10:53,15,PT10M53.00S,2022-12-10T00:11:31.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628384,93.77463863337714,50.73529411764706,1610612761,2,5,2022-12-10T00:12:05Z,150000,False,4.0,6.0,1,right,O. Anunoby running DUNK (2 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",3,1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.7,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
10:34,18,PT10M34.00S,2022-12-10T00:12:06.5Z,1,REGULAR,3pt,Jump Shot,[],1629021,33.85348226018397,51.9607843137255,1610612753,5,5,2022-12-10T00:12:11Z,180000,False,-10.0,266.0,1,left,M. Wagner 26' 3PT  (3 PTS) (F. Wagner 1 AST),"[1629021, 1630532]",21,1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Center,26.59,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
