actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-22T23:12:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T23:12:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-22T23:12:56.7Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-10-22T23:12:56Z,40000,,,0,,Jump Ball W. Carter Jr. vs. N. Vonleh: Tip to C. Anthony,"[1630175, 1628976, 203943]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Carter Jr.,1628976.0,Vonleh,203943.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-22T23:13:10.2Z,1,REGULAR,3pt,Jump Shot,[],1631094,27.94021024967148,81.12745098039215,1610612753,0,0,2022-10-22T23:13:17Z,70000,-156.0,210.0,1,left,MISS P. Banchero 26' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-10-22T23:13:14.2Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,0,2022-10-22T23:13:17Z,80000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2022-10-22T23:13:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,9.017739816031538,50.49019607843137,1610612753,0,0,2022-10-22T23:23:38Z,90000,-2.0,32.0,1,left,MISS W. Carter Jr. Layup,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2022-10-22T23:13:18.2Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,0,2022-10-22T23:23:38Z,100000,,,0,,W. Carter Jr. REBOUND (Off:2 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
92,PT11M36.00S,2022-10-22T23:13:25.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,7.670827858081481,51.22549019607843,1610612753,0,0,2022-10-22T23:24:58Z,105000,-6.0,20.0,1,left,MISS W. Carter Jr. tip Layup,[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.05,Missed,,,,,,,,,,,,,,,,,,
93,PT11M36.00S,2022-10-22T23:13:25.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2022-10-22T23:24:58Z,107500,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,92.0,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2022-10-22T23:13:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631094,9.280551905387648,51.71568627450981,1610612753,2,0,2022-10-22T23:24:58Z,120000,-9.0,35.0,1,left,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.57,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M13.00S,2022-10-22T23:13:56.4Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,2,0,2022-10-22T23:14:04Z,140000,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 1630175]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Anthony,1630175.0,,,,,,,,,,
15,PT11M13.00S,2022-10-22T23:13:56.4Z,1,REGULAR,steal,,[],1630175,,,1610612753,2,0,2022-10-22T23:14:03Z,150000,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2022-10-22T23:14:06.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630175,7.440867279894875,51.9607843137255,1610612753,4,0,2022-10-22T23:16:44Z,160000,-10.0,17.0,1,left,C. Anthony running Layup (2 PTS),[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M46.00S,2022-10-22T23:14:36.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,71.96123521681997,49.26470588235294,1610612738,4,2,2022-10-22T23:14:42Z,180000,-4.0,211.0,1,right,J. Tatum 21' Jump Shot (2 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,21.11,Made,,,,,2.0,,,,D. White,1628401.0,1.0,,,,,,,
20,PT10M33.00S,2022-10-22T23:14:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,19.398817345597898,41.911764705882355,1610612753,6,2,2022-10-22T23:14:53Z,200000,40.0,130.0,1,left,T. Ross 13' pullup Jump Shot (2 PTS) (P. Banchero 1 AST),"[203082, 1631094]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,13.59,Made,,,,,2.0,,,,P. Banchero,1631094.0,1.0,,,,,,,
21,PT10M18.00S,2022-10-22T23:15:03.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,81.8166885676741,95.58823529411765,1610612738,6,2,2022-10-22T23:15:09Z,210000,228.0,118.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2022-10-22T23:15:06.2Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,6,2,2022-10-22T23:15:09Z,220000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Right Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M09.00S,2022-10-22T23:15:12.5Z,1,REGULAR,3pt,Jump Shot,[],203082,23.47240473061761,88.23529411764706,1610612753,9,2,2022-10-22T23:15:18Z,230000,-191.0,168.0,1,left,T. Ross 25' 3PT  (5 PTS) (W. Carter Jr. 1 AST),"[203082, 1628976]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Left Center,25.46,Made,,,,,5.0,,,,W. Carter Jr.,1628976.0,1.0,,,,,,,
25,PT09M51.00S,2022-10-22T23:15:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,91.80354796320631,53.92156862745098,1610612738,9,4,2022-10-22T23:15:36Z,250000,20.0,25.0,1,right,D. White cutting Layup (2 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,cutting,,,White,D. White,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,2.0,,,,J. Brown,1627759.0,1.0,,,,,,,
27,PT09M37.00S,2022-10-22T23:15:44.0Z,1,REGULAR,3pt,Jump Shot,[],1631094,26.018396846254927,82.13082107843137,1610612753,9,4,2022-10-22T23:26:42Z,270000,-161.0,192.0,1,left,MISS P. Banchero 25' step back 3PT,[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-10-22T23:15:45.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,9,4,2022-10-22T23:15:52Z,280000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,27.0,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2022-10-22T23:16:09.4Z,1,REGULAR,3pt,Jump Shot,[],203935,66.17936925098554,43.627450980392155,1610612738,9,4,2022-10-22T23:16:15Z,300000,-32.0,265.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,26.73,Missed,,,,,,,,,,,,,,,,,,
