actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-12T00:11:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-12T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-12T00:11:08.8Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-11-12T00:11:08Z,40000,False,,,0,,Jump Ball D. Ayton vs. B. Bol: Tip to C. Payne,"[1626166, 1629028, 1629626]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-12T00:11:20.2Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,0,0,2022-11-12T00:11:28Z,70000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,1628172.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-11-12T00:11:40.4Z,1,REGULAR,turnover,lost ball,[],1629626,,,1610612753,0,0,2022-11-12T00:11:46Z,80000,False,,,0,,B. Bol lost ball TURNOVER (1 TO),"[1629626, 1628470]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,16-24 Center,,1.0,Craig,1628470.0,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-11-12T00:11:40.4Z,1,REGULAR,steal,,[],1628470,,,1610612756,0,0,2022-11-12T00:11:42Z,90000,False,,,0,,T. Craig STEAL (1 STL),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-11-12T00:11:44.1Z,1,REGULAR,turnover,bad pass,[],1628470,,,1610612756,0,0,2022-11-12T00:12:39Z,100000,False,,,0,,T. Craig bad pass TURNOVER (1 TO),"[1628470, 1629643]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,,1.0,Okeke,1629643.0,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-11-12T00:11:44.1Z,1,REGULAR,steal,,[],1629643,,,1610612753,0,0,2022-11-12T00:11:46Z,110000,False,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-11-12T00:12:05.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630532,90.09526938239159,48.77450980392157,1610612753,2,0,2022-11-12T00:13:13Z,120000,False,-6.0,41.0,1,right,F. Wagner driving Hook (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,4.11,Made,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,
14,PT10M53.00S,2022-11-12T00:12:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,17.95335085413929,39.705882352941174,1610612756,2,2,2022-11-12T00:12:28Z,140000,False,51.0,116.0,1,left,D. Ayton 12' turnaround Jump Shot (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.72,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,
16,PT10M35.00S,2022-11-12T00:12:41.6Z,1,REGULAR,turnover,traveling,[],1629626,,,1610612753,2,2,2022-11-12T00:12:50Z,160000,False,,,0,,B. Bol traveling TURNOVER (2 TO),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,8-16 Right,202058.0,2.0,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2022-11-12T00:13:03.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629028,5.732588699080158,49.26470588235294,1610612756,2,4,2022-11-12T00:13:11Z,170000,False,4.0,1.0,1,left,D. Ayton DUNK (4 PTS) (T. Craig 1 AST),"[1629028, 1628470]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,0.4,Made,4.0,T. Craig,1628470.0,1.0,,,,,,,,,,
19,PT10M06.00S,2022-11-12T00:13:21.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,91.01511169513797,45.34313725490196,1610612753,2,4,2022-11-12T00:14:15Z,190000,False,-23.0,32.0,1,right,MISS W. Carter Jr. Hook,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,3.96,Missed,,,,,,,,,,,,,,
20,PT10M04.00S,2022-11-12T00:13:23.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,2,4,2022-11-12T00:13:26Z,200000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT09M58.00S,2022-11-12T00:13:29.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,33.327858081471746,30.88235294117647,1610612756,2,4,2022-11-12T00:13:34Z,210000,False,96.0,261.0,1,left,MISS D. Booker 27' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,,27.78,Missed,,,,,,,,,,,,,,
22,PT09M54.00S,2022-11-12T00:13:33.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,4,2022-11-12T00:13:34Z,220000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT09M50.00S,2022-11-12T00:13:37.6Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,2,4,2022-11-12T00:13:46Z,230000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1626164]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,,1.0,Booker,1626164.0,,,,,,,,,,,,,,,,
