actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-26T00:10:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-26T00:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2023-02-26T00:10:52.2Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-02-26T00:10:52Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Turner: Tip to M. Fultz,"[1628365, 1628976, 1626167]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-26T00:11:01.9Z,1,REGULAR,3pt,Jump Shot,[],203914,2.3160315374507228,97.30392156862744,1610612753,3,0,2023-02-26T00:11:24Z,70000,False,-237.0,-31.0,1,left,G. Harris 3PT pullup (3 PTS),[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,23.85,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-02-26T00:11:18.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,68.41327201051249,75.98039215686273,1610612754,3,0,2023-02-26T00:11:24Z,80000,False,130.0,244.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,27.68,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2023-02-26T00:11:21.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,3,0,2023-02-26T00:11:24Z,90000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M18.00S,2023-02-26T00:11:28.6Z,1,REGULAR,foul,personal,[],1630174,,,1610612753,3,0,2023-02-26T00:11:38Z,100000,False,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1631094]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,101283.0,1.0,0.0,Banchero,1631094.0,,,,,,,,
13,PT11M10.00S,2023-02-26T00:11:56.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,7.30946123521682,53.431372549019606,1610612753,5,0,2023-02-26T00:12:03Z,120000,False,-17.0,16.0,1,left,W. Carter Jr. alley-oop DUNK (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,F. Wagner,1630532.0,1.0,,,,,
15,PT10M56.00S,2023-02-26T00:12:10.3Z,1,REGULAR,3pt,Jump Shot,[],1629614,69.46452036793693,25.98039215686275,1610612754,5,3,2023-02-26T00:12:17Z,140000,False,-120.0,235.0,1,right,A. Nembhard 26' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,26.35,Made,3.0,,,,,,,,,,T. Haliburton,1630169.0,1.0,,,,,
17,PT10M43.00S,2023-02-26T00:12:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,5.995400788436268,46.32352941176471,1610612753,5,3,2023-02-26T00:12:30Z,160000,False,18.0,4.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2023-02-26T00:12:28.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,5,3,2023-02-26T00:12:30Z,170000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M36.00S,2023-02-26T00:12:30.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629614,87.20433639947439,2.941176470588235,1610612754,5,6,2023-02-26T00:12:38Z,180000,False,-235.0,68.0,1,right,A. Nembhard 24' 3PT running (6 PTS) (T. Haliburton 2 AST),"[1629614, 1630169]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Left Corner 3,24+ Left,24.49,Made,6.0,,,,,,,,,,T. Haliburton,1630169.0,2.0,,,,,
21,PT10M21.00S,2023-02-26T00:12:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,19.92444152431012,38.72549019607843,1610612753,5,6,2023-02-26T00:12:50Z,200000,False,56.0,135.0,1,left,MISS P. Banchero 14' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,14.61,Missed,,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2023-02-26T00:12:48.7Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,5,6,2023-02-26T00:12:50Z,210000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M11.00S,2023-02-26T00:12:55.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,65.91655716162943,43.627450980392155,1610612754,5,6,2023-02-26T00:13:02Z,220000,False,-32.0,268.0,1,right,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,26.98,Missed,,,,,,,,,,,,,,,,,,
24,PT10M08.00S,2023-02-26T00:12:58.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,6,2023-02-26T00:13:02Z,230000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT09M56.00S,2023-02-26T00:13:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,4.681340341655716,59.55882352941176,1610612753,5,6,2023-02-26T00:13:15Z,240000,False,-48.0,-8.0,1,left,MISS W. Carter Jr. driving floating Shot,[1628976],1610612753.0,ORL,driving floating,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.85,Missed,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2023-02-26T00:13:15.1Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,5,6,2023-02-26T00:13:15Z,250000,False,,,0,,M. Fultz REBOUND (Off:1 Def:0),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,
28,PT09M45.00S,2023-02-26T00:13:35.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628976,29.6484888304862,74.01960784313727,1610612753,5,6,2023-02-26T00:13:41Z,270000,False,-120.0,226.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2023-02-26T00:13:39.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,5,6,2023-02-26T00:13:41Z,280000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M27.00S,2023-02-26T00:13:54.5Z,1,REGULAR,2pt,Jump Shot,[],1627741,75.64060446780552,40.44117647058824,1610612754,5,6,2023-02-26T00:14:02Z,290000,False,-48.0,176.0,1,right,MISS B. Hield 18' pullup Shot,[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Mid-Range,16-24 Center,18.29,Missed,,,,,,,,,,,,,,,,,,
31,PT09M20.00S,2023-02-26T00:14:01.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,6,2023-02-26T00:15:09Z,300000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
