actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-05T00:10:55.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-05T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-01-05T00:10:59.7Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2023-01-05T00:10:59Z,40000,False,,,0,,Jump Ball J. Williams vs. W. Carter Jr.: Tip to S. Gilgeous-Alexander,"[1628983, 1631119, 1628976]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Williams,1631119.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-05T00:11:18.5Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612760,0,0,2023-01-05T00:11:28Z,70000,False,,,0,,J. Giddey lost ball out-of-bounds TURNOVER (1 TO),[1630581],1610612760.0,OKC,lost ball,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Left,1627541.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2023-01-05T00:11:42.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628976,10.5946123521682,58.08823529411765,1610612753,2,0,2023-01-05T00:11:47Z,80000,False,-40.0,47.0,1,left,W. Carter Jr. 6' driving Hook (2 PTS),[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,6.21,Made,2.0,,,,,,,,,,,,,,,
9,PT11M05.00S,2023-01-05T00:11:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,82.07950065703022,53.18627450980392,1610612760,2,0,2023-01-05T00:12:02Z,90000,False,16.0,116.0,1,right,MISS J. Giddey 11' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,11.71,Missed,,,,,,,,,,,,,,,,
10,PT11M02.00S,2023-01-05T00:12:00.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,0,2023-01-05T00:12:02Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M00.00S,2023-01-05T00:12:06.0Z,1,REGULAR,foul,offensive,[],1628365,,,1610612753,2,0,2023-01-05T00:12:18Z,110000,False,,,0,,M. Fultz offensive FOUL (1 PF),"[1628365, 1629652]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Right,1628172.0,,,,,,,,,1.0,0.0,Dort,1629652.0,,,,,,,
13,PT11M00.00S,2023-01-05T00:12:06.0Z,1,REGULAR,turnover,offensive foul,[],1628365,,,1610612753,2,0,2023-01-05T00:12:06Z,130000,False,,,0,,M. Fultz offensive foul TURNOVER (1 TO),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Right,1628172.0,1.0,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2023-01-05T00:12:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,91.14651773981603,49.26470588235294,1610612760,2,2,2023-01-05T00:13:34Z,150000,False,-4.0,31.0,1,right,S. Gilgeous-Alexander driving reverse Layup (2 PTS),[1628983],1610612760.0,OKC,driving reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,3.09,Made,2.0,,,,,,,,,,,,,,,
16,PT10M23.00S,2023-01-05T00:13:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.732588699080158,52.69607843137255,1610612753,2,2,2023-01-05T00:13:29Z,160000,False,-13.0,1.0,1,left,MISS P. Banchero cutting Layup,[1631094],1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,1.36,Missed,,,,,,,,,,,,,,,,
17,PT10M21.00S,2023-01-05T00:13:08.3Z,1,REGULAR,rebound,offensive,[],1631216,,,1610612753,2,2,2023-01-05T00:13:29Z,170000,False,,,0,,C. Houstan REBOUND (Off:1 Def:0),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Restricted Area,0-8 Center,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M21.00S,2023-01-05T00:13:12.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631216,5.590000152587891,50.0,1610612753,2,2,2023-01-05T00:13:17Z,180000,False,0.0,0.0,1,left,MISS C. Houstan putback Layup,[1631216],1610612753.0,ORL,putback,,,Houstan,C. Houstan,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,,,,
19,PT10M21.00S,2023-01-05T00:13:12.6Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,2,2,2023-01-05T00:13:17Z,190000,False,,,0,,P. Banchero REBOUND (Off:1 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,
20,PT10M21.00S,2023-01-05T00:13:15.2Z,1,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612753,2,2,2023-01-05T00:13:22Z,200000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Banchero 2 FT),"[1631119, 1631094]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1627541.0,,,,,,,,,1.0,0.0,Banchero,1631094.0,,,,,,,
22,PT10M21.00S,2023-01-05T00:13:43.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631094,,,1610612753,3,2,2023-01-05T00:13:43Z,220000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
23,PT10M21.00S,2023-01-05T00:14:04.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631094,,,1610612753,4,2,2023-01-05T00:14:04Z,230000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
24,PT10M10.00S,2023-01-05T00:14:15.4Z,1,REGULAR,2pt,Jump Shot,[],1631114,75.1149802890933,72.05882352941177,1610612760,4,2,2023-01-05T00:14:21Z,240000,False,110.0,181.0,1,right,MISS J. Williams 21' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,,,21.23,Missed,,,,,,,,,,,,,,,,
25,PT10M05.00S,2023-01-05T00:14:20.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,2,2023-01-05T00:14:21Z,250000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT10M01.00S,2023-01-05T00:14:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,32.40801576872536,52.20588235294118,1610612753,4,2,2023-01-05T00:14:32Z,260000,False,-11.0,252.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,25.23,Missed,,,,,,,,,,,,,,,,
27,PT09M58.00S,2023-01-05T00:14:26.3Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,4,2,2023-01-05T00:14:32Z,270000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M52.00S,2023-01-05T00:14:33.4Z,1,REGULAR,2pt,Jump Shot,[],1628983,78.40013140604468,53.67647058823529,1610612760,4,4,2023-01-05T00:14:42Z,280000,False,18.0,151.0,1,right,S. Gilgeous-Alexander 15' step back Jump Shot (4 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,,,15.16,Made,4.0,,,,,,,,,,,,,,,
29,PT09M43.00S,2023-01-05T00:14:45.5Z,1,REGULAR,foul,offensive,[],1631094,,,1610612753,4,4,2023-01-05T00:14:53Z,290000,False,,,0,,P. Banchero charge offensive FOUL (1 PF),"[1631094, 1631119]",1610612753.0,ORL,charge,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,204059.0,,,,,,,,,1.0,0.0,Williams,1631119.0,,,,,,,
31,PT09M43.00S,2023-01-05T00:14:45.5Z,1,REGULAR,turnover,offensive foul,[],1631094,,,1610612753,4,4,2023-01-05T00:14:45Z,310000,False,,,0,,P. Banchero offensive foul TURNOVER (1 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,204059.0,1.0,,,,,,,,,,,,,,,,,,
32,PT09M23.00S,2023-01-05T00:15:16.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630581,88.51839684625493,54.90196078431373,1610612760,4,6,2023-01-05T00:15:22Z,320000,False,25.0,55.0,1,right,J. Giddey 6' turnaround Hook (2 PTS),[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,6.06,Made,2.0,,,,,,,,,,,,,,,
33,PT09M10.00S,2023-01-05T00:15:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,11.251642575558476,47.05882352941176,1610612753,6,6,2023-01-05T00:15:36Z,330000,False,15.0,53.0,1,left,M. Fultz driving floating Jump Shot (2 PTS),[1628365],1610612753.0,ORL,driving floating,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,5.53,Made,2.0,,,,,,,,,,,,,,,
34,PT08M55.00S,2023-01-05T00:15:44.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,85.10183968462549,96.32352941176471,1610612760,6,6,2023-01-05T00:15:49Z,340000,False,232.0,88.0,1,right,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,,,24.76,Missed,,,,,,,,,,,,,,,,
35,PT08M52.00S,2023-01-05T00:15:47.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,6,2023-01-05T00:15:49Z,350000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,
36,PT08M45.00S,2023-01-05T00:15:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,6.915243101182654,58.08823529411765,1610612753,6,6,2023-01-05T00:15:59Z,360000,False,-40.0,13.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,4.23,Missed,,,,,,,,,,,,,,,,
37,PT08M42.00S,2023-01-05T00:15:57.5Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,6,6,2023-01-05T00:15:59Z,370000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M33.00S,2023-01-05T00:16:06.5Z,1,REGULAR,3pt,Jump Shot,[],1630581,93.64323258869908,97.54901960784314,1610612760,6,6,2023-01-05T00:16:10Z,380000,False,238.0,7.0,1,right,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,23.78,Missed,,,,,,,,,,,,,,,,
39,PT08M31.00S,2023-01-05T00:16:08.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,6,2023-01-05T00:16:10Z,390000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,,,,,,38.0,3.0,3.0,0.0,,,,,,,,,,,
40,PT08M15.00S,2023-01-05T00:16:25.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,5.075558475689881,51.71568627450981,1610612753,8,6,2023-01-05T00:16:32Z,400000,False,-9.0,-5.0,1,left,W. Carter Jr. driving DUNK (4 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,0.98,Made,4.0,,,,,,,,,P. Banchero,1631094.0,1.0,,,,
42,PT08M01.00S,2023-01-05T00:16:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631119,94.30026281208936,36.27450980392157,1610612760,8,8,2023-01-05T00:16:43Z,420000,False,-69.0,1.0,1,right,J. Williams 6' Jump Shot (2 PTS) (J. Williams 1 AST),"[1631119, 1631114]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,6.86,Made,2.0,,,,,,,,,J. Williams,1631114.0,1.0,,,,
44,PT07M40.00S,2023-01-05T00:17:06.6Z,1,REGULAR,foul,personal,[],1629652,,,1610612753,8,8,2023-01-05T00:17:26Z,440000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1631094]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,1628172.0,,,,,,,,,1.0,0.0,Banchero,1631094.0,,,,,,,
46,PT07M35.00S,2023-01-05T00:17:28.4Z,1,REGULAR,3pt,Jump Shot,[],203914,15.325229960578188,95.83333333333334,1610612753,8,8,2023-01-05T00:17:37Z,460000,False,-229.0,92.0,1,left,MISS G. Harris 24' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left,,,24.68,Missed,,,,,,,,,,,,,,,,
47,PT07M33.00S,2023-01-05T00:17:30.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,8,8,2023-01-05T00:17:37Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left,,,,,,46.0,,,,,,,,,,,,,,
49,PT07M17.00S,2023-01-05T00:17:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,88.38699080157687,50.245098039215684,1610612760,8,8,2023-01-05T00:19:59Z,490000,False,1.0,57.0,1,right,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1628365]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,5.67,Missed,,,,,,,,,,,,,Fultz,1628365.0,,
50,PT07M17.00S,2023-01-05T00:17:58.4Z,1,REGULAR,block,,[],1628365,,,1610612760,8,8,2023-01-05T00:18:01Z,500000,False,,,0,,M. Fultz BLOCK (1 BLK),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M14.00S,2023-01-05T00:18:01.4Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,8,8,2023-01-05T00:18:02Z,510000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT07M11.00S,2023-01-05T00:18:05.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203914,6.521024967148489,52.20588235294118,1610612753,8,8,2023-01-05T00:20:17Z,520000,False,-11.0,9.0,1,left,MISS G. Harris running finger roll Layup,[203914],1610612753.0,ORL,running finger roll,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,,1.41,Missed,,,,,,,,,,,,,,,,
53,PT07M05.00S,2023-01-05T00:18:11.0Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,8,8,2023-01-05T00:18:11Z,530000,False,,,0,,M. Fultz REBOUND (Off:1 Def:0),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,,
54,PT07M05.00S,2023-01-05T00:18:10.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628365,5.590000152587891,50.0,1610612753,10,8,2023-01-05T00:18:43Z,540000,False,0.0,0.0,1,left,M. Fultz tip Layup (4 PTS),[1628365],1610612753.0,ORL,tip,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,0.0,Made,4.0,,,,,,,,,,,,,,,
56,PT07M03.00S,2023-01-05T00:18:26.8Z,1,REGULAR,foul,personal,[],1628976,,,1610612760,10,8,2023-01-05T00:21:14Z,560000,False,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 1628983]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,204059.0,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,
58,PT07M03.00S,2023-01-05T00:18:40.9Z,1,REGULAR,substitution,out,[],1631094,,,1610612760,10,8,2023-01-05T00:18:48Z,580000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2023-01-05T00:18:40.9Z,1,REGULAR,substitution,in,[],1630175,,,1610612760,10,8,2023-01-05T00:18:48Z,590000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2023-01-05T00:19:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,85.89027595269383,50.73529411764706,1610612760,10,8,2023-01-05T00:22:18Z,610000,False,4.0,80.0,1,right,MISS J. Williams 8' driving floating Shot,[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,8.02,Missed,,,,,,,,,,,,,,,,
