actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-31T00:10:33.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-31T00:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-31T00:10:36.7Z,1,REGULAR,jumpball,recovered,[],1629655,,,1610612764,0,0,2022-12-31T00:10:36Z,40000,False,,,0,,Jump Ball K. Porzingis vs. B. Bol: Tip to D. Gafford,"[1629655, 204001, 1629626]",1610612764.0,WAS,startperiod,D. Gafford,1629655.0,Gafford,D. Gafford,Porzingis,204001.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-12-31T00:10:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,18.478975032851512,59.068627450980394,1610612764,0,0,2022-12-31T00:17:39Z,70000,False,-45.0,121.0,1,left,MISS K. Kuzma 12' fadeaway Shot,[1628398],1610612764.0,WAS,fadeaway,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,12.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-12-31T00:10:57.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-12-31T00:35:49Z,80000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2022-12-31T00:11:07.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631094,87.33574244415243,41.42156862745098,1610612753,0,0,2022-12-31T00:11:13Z,110000,False,-43.0,67.0,1,right,MISS P. Banchero 7' driving bank Hook,[1631094],1610612753.0,ORL,driving bank,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,7.91,Missed,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-12-31T00:11:08.1Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2022-12-31T00:11:13Z,120000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M11.00S,2022-12-31T00:11:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,8.886333771353483,62.00980392156863,1610612764,0,0,2022-12-31T00:18:13Z,130000,False,-60.0,31.0,1,left,MISS C. Kispert 6' driving Layup,[1630557],1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,6.75,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2022-12-31T00:11:23.9Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,0,0,2022-12-31T00:11:25Z,140000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:0),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M08.00S,2022-12-31T00:11:23.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",204001,5.590000152587891,50.0,1610612764,0,2,2022-12-31T00:11:23Z,150000,False,0.0,0.0,1,left,K. Porzingis tip Layup (2 PTS),[204001],1610612764.0,WAS,tip,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M50.00S,2022-12-31T00:11:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629626,89.83245729303549,49.754901960784316,1610612753,2,2,2022-12-31T00:11:50Z,160000,False,-1.0,43.0,1,right,B. Bol cutting finger roll Layup (2 PTS) (F. Wagner 1 AST),"[1629626, 1630532]",1610612753.0,ORL,cutting finger roll,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,4.31,Made,,,,,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
18,PT10M33.00S,2022-12-31T00:11:59.3Z,1,REGULAR,3pt,Jump Shot,[],1630557,5.863994743758213,2.941176470588235,1610612764,2,5,2022-12-31T00:12:07Z,180000,False,235.0,3.0,1,left,C. Kispert 3PT  (3 PTS) (M. Morris 1 AST),"[1630557, 1628420]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Right Corner 3,24+ Right,23.53,Made,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,
20,PT10M17.00S,2022-12-31T00:12:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,82.07950065703022,51.9607843137255,1610612753,2,5,2022-12-31T00:12:21Z,200000,False,10.0,116.0,1,right,MISS T. Ross 11' driving floating Shot,[203082],1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,11.64,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-12-31T00:12:17.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,2,5,2022-12-31T00:12:21Z,210000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M08.00S,2022-12-31T00:12:24.6Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,2,5,2022-12-31T00:12:29Z,220000,False,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 203082]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Ross,203082.0,,,,,,,
23,PT10M08.00S,2022-12-31T00:12:24.6Z,1,REGULAR,steal,,[],203082,,,1610612753,2,5,2022-12-31T00:12:27Z,230000,False,,,0,,T. Ross STEAL (1 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2022-12-31T00:12:30.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628365,93.77463863337714,3.431372549019608,1610612753,2,5,2022-12-31T00:12:41Z,240000,False,-233.0,6.0,1,right,MISS M. Fultz running 3PT,[1628365],1610612753.0,ORL,running,,,Fultz,M. Fultz,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2022-12-31T00:12:33.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,2,5,2022-12-31T00:12:37Z,250000,False,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Left Corner 3,24+ Left,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M50.00S,2022-12-31T00:12:42.5Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,2,5,2022-12-31T00:12:49Z,260000,False,,,0,,K. Kuzma bad pass TURNOVER (2 TO),"[1628398, 1629626]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Left,,,,,,,,,,,2.0,Bol,1629626.0,,,,,,,
27,PT09M50.00S,2022-12-31T00:12:42.5Z,1,REGULAR,steal,,[],1629626,,,1610612753,2,5,2022-12-31T00:12:44Z,270000,False,,,0,,B. Bol STEAL (1 STL),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2022-12-31T00:12:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629626,89.04402102496715,60.5392156862745,1610612753,2,5,2022-12-31T00:12:57Z,280000,False,53.0,50.0,1,right,MISS B. Bol 7' running Layup - blocked,"[1629626, 204001]",1610612753.0,ORL,running,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,7.3,Missed,,,,,,,,,,,,Porzingis,204001.0,,,,,
29,PT09M46.00S,2022-12-31T00:12:46.3Z,1,REGULAR,block,,[],204001,,,1610612753,2,5,2022-12-31T00:12:48Z,290000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M43.00S,2022-12-31T00:12:49.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,2,5,2022-12-31T00:12:57Z,300000,False,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M39.00S,2022-12-31T00:12:53.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628398,8.623521681997373,57.35294117647059,1610612764,2,7,2022-12-31T00:13:02Z,310000,False,-37.0,29.0,1,left,K. Kuzma running Layup (2 PTS) (M. Morris 2 AST),"[1628398, 1628420]",1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,4.66,Made,,,,,2.0,M. Morris,1628420.0,2.0,,,,,,,,,,
