actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-11-09T01:10:20.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-09T01:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-09T01:10:22.1Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-11-09T01:10:22Z,40000,,,0,,Jump Ball S. Adams vs. K. Towns: Tip to J. Morant,"[1629630, 203500, 1626157]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-09T01:10:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203500,6.389618922470433,63.48039215686274,1610612763,0,0,2021-11-09T01:10:49Z,70000,-67.0,8.0,1,left,MISS S. Adams 6' turnaround fadeaway bank Shot,[203500],1610612763.0,MEM,turnaround fadeaway bank,,,Adams,S. Adams,,,,,6.78,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-11-09T01:10:42.5Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,0,2021-11-09T01:10:49Z,80000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-11-09T01:10:50.2Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,0,0,2021-11-09T01:11:05Z,90000,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 203500]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,1201.0,1.0,0.0,Adams,203500.0,,,,,,,,,,
11,PT11M29.00S,2021-11-09T01:10:50.2Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,0,0,2021-11-09T01:10:50Z,110000,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,1201.0,,,,,1.0,,,,,,,,,
12,PT11M18.00S,2021-11-09T01:11:20.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630217,12.959921156373195,46.07843137254902,1610612763,0,0,2021-11-09T01:11:27Z,120000,20.0,69.0,1,left,MISS D. Bane 7' floating Shot,[1630217],1610612763.0,MEM,floating,,,Bane,D. Bane,,,,,7.2,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2021-11-09T01:11:24.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2021-11-09T01:11:27Z,130000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M02.00S,2021-11-09T01:11:35.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,73.53810775295663,13.970588235294118,1610612750,0,0,2021-11-09T01:11:40Z,140000,-180.0,196.0,1,right,MISS K. Towns 26' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2021-11-09T01:11:38.7Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,0,0,2021-11-09T01:11:40Z,150000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
