actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-09T22:10:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-09T22:10:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-09T22:10:58.5Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-04-09T22:10:58Z,40000,,,0,,Jump Ball S. Adams vs. J. Valanciunas: Tip to J. Morant,"[1629630, 203500, 202685]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-09T22:11:14.3Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612763,0,0,2022-04-09T22:11:19Z,70000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[202685, 1628991]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,200833.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,
9,PT11M44.00S,2022-04-09T22:11:33.4Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,1,0,2022-04-09T22:11:33Z,90000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M44.00S,2022-04-09T22:11:47.3Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,2,0,2022-04-09T22:11:47Z,100000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (2 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M22.00S,2022-04-09T22:12:10.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,30.56833114323259,26.225490196078432,1610612740,2,0,2022-04-09T22:12:14Z,110000,119.0,235.0,1,left,MISS D. Graham 26' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Missed,,26.32,,,,,,,,,,,,,
12,PT11M20.00S,2022-04-09T22:12:12.0Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2022-04-09T22:12:14Z,120000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M08.00S,2022-04-09T22:12:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,92.32917214191852,54.41176470588235,1610612763,2,0,2022-04-09T22:12:28Z,130000,22.0,20.0,1,right,MISS D. Brooks driving Layup,[1628415],1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,,,,,,Missed,,2.95,,,,,,,,,,,,,
14,PT11M05.00S,2022-04-09T22:12:27.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,0,2022-04-09T22:12:28Z,140000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M55.00S,2022-04-09T22:12:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,16.113666228646515,35.53921568627451,1610612740,2,0,2022-04-09T22:12:39Z,150000,72.0,99.0,1,left,MISS C. McCollum 12' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,,,,,,Missed,,12.26,,,,,,,,,,,,,
16,PT10M53.00S,2022-04-09T22:12:38.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2022-04-09T22:12:39Z,160000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,
17,PT10M48.00S,2022-04-09T22:12:49.7Z,1,REGULAR,turnover,offensive-kicked-ball,[],1628991,,,1610612763,2,0,2022-04-09T22:13:05Z,170000,,,0,,J. Jackson Jr. offensive-kicked-ball TURNOVER (1 TO),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,1.0,,,,,,,,
19,PT10M29.00S,2022-04-09T22:13:13.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628984,21.369908015768726,71.32352941176471,1610612740,2,2,2022-04-09T22:13:17Z,190000,-107.0,148.0,1,left,D. Graham 18' Jump Shot (2 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Made,2.0,18.27,,,,,,,,,,,,,
20,PT10M15.00S,2022-04-09T22:13:33.0Z,1,REGULAR,foul,personal,[],202685,,,1610612763,2,2,2022-04-09T22:13:35Z,200000,,,0,,J. Valanciunas personal FOUL (2 PF),"[202685, 1629630]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,200833.0,2.0,0.0,Morant,1629630.0,,,,,,,,,,,,,,,,
22,PT10M15.00S,2022-04-09T22:13:41.3Z,1,REGULAR,substitution,out,[],202685,,,1610612763,2,2,2022-04-09T22:13:45Z,220000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2022-04-09T22:13:41.3Z,1,REGULAR,substitution,in,[],1626195,,,1610612763,2,2,2022-04-09T22:13:45Z,230000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
