actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-19T23:10:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-19T23:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-19T23:10:59.9Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2021-12-19T23:10:59Z,40000,,,0,,Jump Ball S. Adams vs. J. Nurkic: Tip to T. Jones,"[1626145, 203500, 203994]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-19T23:11:11.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,17.16491458607096,37.00980392156863,1610612763,2,0,2021-12-19T23:11:15Z,70000,65.0,109.0,1,left,D. Brooks 12' Jump Shot (2 PTS) (J. Jackson Jr. 1 AST),"[1628415, 1628991]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,12.68,Made,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-19T23:11:43.4Z,1,REGULAR,foul,technical,['1freethrow'],1628991,,,1610612757,2,0,2021-12-19T23:11:56Z,90000,,,0,,J. Jackson Jr. defensive-3-second technical FOUL (1 Tech),[1628991],1610612763.0,MEM,defensive-3-second,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,1193.0,0.0,1.0,,,,,,,,,,,,
10,PT11M28.00S,2021-12-19T23:11:57.4Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612757,2,1,2021-12-19T23:11:57Z,100000,,,0,,D. Lillard technical Free Throw 1 of 1 (1 PTS),[203081],1610612757.0,POR,technical,,,Lillard,D. Lillard,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-12-19T23:12:15.9Z,1,REGULAR,3pt,Jump Shot,[],1626181,64.33968462549278,46.81372549019608,1610612757,2,4,2021-12-19T23:12:20Z,110000,-16.0,283.0,1,right,N. Powell 28' 3PT  (3 PTS) (N. Little 1 AST),"[1626181, 1629642]",1610612757.0,POR,,,,Powell,N. Powell,,,,,28.31,Made,3.0,N. Little,1629642.0,1.0,,,,,,,,,,,,,,,
13,PT10M59.00S,2021-12-19T23:12:30.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,17.427726675427067,31.862745098039213,1610612763,4,4,2021-12-19T23:12:42Z,130000,91.0,111.0,1,left,D. Brooks 14' pullup Jump Shot (4 PTS) (T. Jones 1 AST),"[1628415, 1626145]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,14.36,Made,4.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,,
15,PT10M46.00S,2021-12-19T23:12:44.4Z,1,REGULAR,2pt,Jump Shot,[],203081,78.40013140604468,15.686274509803921,1610612757,4,6,2021-12-19T23:14:53Z,150000,-172.0,151.0,1,right,D. Lillard 22' step back Jump Shot (3 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,22.82,Made,3.0,,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2021-12-19T23:12:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1626204,,,1610612763,4,6,2021-12-19T23:13:10Z,160000,,,0,,L. Nance Jr. shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1626204, 1628991]",1610612757.0,POR,shooting,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,1193.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,,
18,PT10M36.00S,2021-12-19T23:13:27.8Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,5,6,2021-12-19T23:13:27Z,180000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2021-12-19T23:13:42.2Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,6,6,2021-12-19T23:13:42Z,190000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (2 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2021-12-19T23:14:00.2Z,1,REGULAR,turnover,lost ball,[],203081,,,1610612757,6,6,2021-12-19T23:14:06Z,200000,,,0,,D. Lillard lost ball TURNOVER (1 TO),"[203081, 1626145]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,1.0,Jones,1626145.0,,,,,,,
