actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-25T01:11:01.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T01:11:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-25T01:11:05.0Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2021-11-25T01:11:05Z,40000,,,0,,Jump Ball S. Adams vs. P. Achiuwa: Tip to D. Bane,"[1630217, 203500, 1630173]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Adams,203500.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-25T01:11:16.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,7.046649145860711,50.49019607843137,1610612763,2,0,2021-11-25T01:11:23Z,70000,-2.0,14.0,1,left,J. Jackson Jr. driving DUNK (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,1.39,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2021-11-25T01:11:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,92.72339027595268,51.71568627450981,1610612761,2,0,2021-11-25T01:11:37Z,80000,9.0,16.0,1,right,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,1.81,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-25T01:11:34.5Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,2,0,2021-11-25T01:11:34Z,90000,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M15.00S,2021-11-25T01:11:45.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629018,82.21090670170827,67.40196078431373,1610612761,2,0,2021-11-25T01:11:53Z,100000,87.0,115.0,1,right,MISS G. Trent Jr. 14' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,14.4,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2021-11-25T01:11:47.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2021-11-25T01:11:53Z,110000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M00.00S,2021-11-25T01:12:01.6Z,1,REGULAR,2pt,Jump Shot,[],1628415,24.917871222076215,27.450980392156865,1610612763,2,0,2021-11-25T01:12:07Z,120000,113.0,182.0,1,left,MISS D. Brooks 21' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,21.38,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2021-11-25T01:12:06.6Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,2,0,2021-11-25T01:12:07Z,130000,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M50.00S,2021-11-25T01:12:11.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629630,15.456636005256241,39.950980392156865,1610612763,2,0,2021-11-25T01:12:17Z,140000,50.0,93.0,1,left,MISS J. Morant 10' turnaround fadeaway Shot,[1629630],1610612763.0,MEM,turnaround fadeaway,,,Morant,J. Morant,,,,,10.55,Missed,,,,,,,,,,,,,,,,,,,
