actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-19T01:12:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-19T01:12:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-19T01:12:24.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-11-19T01:12:24Z,40000,,,0,,Jump Ball S. Adams vs. I. Zubac: Tip to J. Morant,"[1629630, 203500, 1627826]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-19T01:12:42.2Z,1,REGULAR,2pt,Jump Shot,[],1628415,76.03482260183968,24.019607843137255,1610612763,2,0,2021-11-19T01:12:47Z,70000,-130.0,173.0,1,right,D. Brooks 21' pullup Jump Shot (2 PTS) (J. Morant 1 AST),"[1628415, 1629630]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,21.62,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2021-11-19T01:12:59.7Z,1,REGULAR,2pt,Jump Shot,[],202704,20.844283837056505,32.84313725490196,1610612746,2,0,2021-11-19T01:13:04Z,90000,86.0,143.0,1,left,MISS R. Jackson 16' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,16.71,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-11-19T01:13:01.7Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,0,2021-11-19T01:13:04Z,100000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M10.00S,2021-11-19T01:13:11.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,93.51182654402102,51.225490196078425,1610612763,2,0,2021-11-19T01:13:15Z,110000,6.0,8.0,1,right,MISS S. Adams turnaround Hook,[203500],1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,1.05,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-11-19T01:13:13.1Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,0,2021-11-19T01:13:13Z,120000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M07.00S,2021-11-19T01:13:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.82588699080158,51.9607843137255,1610612763,2,0,2021-11-19T01:13:18Z,130000,10.0,-4.0,1,right,MISS S. Adams putback Layup - blocked,"[203500, 1627826]",1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,1.05,Missed,,,,,,,,,Zubac,1627826.0,,,,,,,,
14,PT11M07.00S,2021-11-19T01:13:14.1Z,1,REGULAR,block,,[],1627826,,,1610612763,2,0,2021-11-19T01:13:16Z,140000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2021-11-19T01:13:14.1Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,2,0,2021-11-19T01:13:18Z,150000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M48.00S,2021-11-19T01:13:32.6Z,1,REGULAR,2pt,Jump Shot,[],202331,21.895532194480946,48.529411764705884,1610612746,2,2,2021-11-19T01:13:36Z,160000,7.0,153.0,1,left,P. George 15' Jump Shot (2 PTS) (I. Zubac 1 AST),"[202331, 1627826]",1610612746.0,LAC,,,,George,P. George,,,,,15.35,Made,2.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,
18,PT10M32.00S,2021-11-19T01:13:52.4Z,1,REGULAR,foul,personal,[],202331,,,1610612763,2,2,2021-11-19T01:13:57Z,180000,,,0,,P. George personal FOUL (1 PF),"[202331, 1628415]",1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,1627519.0,1.0,0.0,Brooks,1628415.0,,,
20,PT10M27.00S,2021-11-19T01:14:10.3Z,1,REGULAR,2pt,Jump Shot,[],1630217,76.42904073587385,54.65686274509803,1610612763,4,2,2021-11-19T01:14:14Z,200000,23.0,169.0,1,right,D. Bane 17' pullup Jump Shot (2 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,17.07,Made,2.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,
22,PT10M12.00S,2021-11-19T01:14:23.7Z,1,REGULAR,3pt,Jump Shot,[],202331,28.86005256241787,24.509803921568626,1610612746,4,2,2021-11-19T01:14:27Z,220000,127.0,219.0,1,left,MISS P. George 25' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2021-11-19T01:14:24.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,4,2,2021-11-19T01:14:27Z,230000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT10M03.00S,2021-11-19T01:14:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,83.39356110381078,59.31372549019608,1610612763,6,2,2021-11-19T01:14:38Z,240000,47.0,104.0,1,right,D. Bane 11' driving floating Jump Shot (4 PTS),[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,11.36,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M40.00S,2021-11-19T01:14:56.5Z,1,REGULAR,3pt,Jump Shot,[],1629599,3.630091984231275,94.36274509803921,1610612746,6,2,2021-11-19T01:15:00Z,250000,-222.0,-18.0,1,left,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,22.26,Missed,,,,,,,,,,,,,,,,,,
26,PT09M37.00S,2021-11-19T01:14:59.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,6,2,2021-11-19T01:15:00Z,260000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,
27,PT09M29.00S,2021-11-19T01:15:14.9Z,1,REGULAR,foul,personal,[],1629599,,,1610612763,6,2,2021-11-19T01:15:20Z,270000,,,0,,A. Coffey personal FOUL (1 PF),"[1629599, 1628991]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Jackson Jr.,1628991.0,,,
29,PT09M27.00S,2021-11-19T01:15:28.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,66.83639947437582,67.64705882352942,1610612763,9,2,2021-11-19T01:15:32Z,290000,88.0,259.0,1,right,J. Jackson Jr. 27' 3PT  (3 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,27.38,Made,3.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
31,PT09M09.00S,2021-11-19T01:15:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,17.95335085413929,37.745098039215684,1610612746,9,2,2021-11-19T01:15:55Z,310000,61.0,116.0,1,left,MISS P. George 13' fadeaway Shot,[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,13.15,Missed,,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2021-11-19T01:15:47.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,9,2,2021-11-19T01:15:50Z,320000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,
33,PT09M00.00S,2021-11-19T01:15:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,81.553876478318,47.794117647058826,1610612763,11,2,2021-11-19T01:16:00Z,330000,-11.0,121.0,1,right,D. Bane 12' pullup Jump Shot (6 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,12.14,Made,6.0,,,,,,,,,,,,,,,,,
34,PT08M59.00S,2021-11-19T01:15:59.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,11,2,2021-11-19T01:15:59Z,340000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M44.00S,2021-11-19T01:19:07.2Z,1,REGULAR,turnover,out-of-bounds,[],1629599,,,1610612746,11,2,2021-11-19T01:19:13Z,350000,,,0,,A. Coffey step out-of-bounds TURNOVER (1 TO),[1629599],1610612746.0,LAC,step,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,203591.0,,,,,1.0,,
36,PT08M36.00S,2021-11-19T01:19:25.1Z,1,REGULAR,foul,offensive,[],1630217,,,1610612763,11,2,2021-11-19T01:19:29Z,360000,,,0,,D. Bane offensive FOUL (1 PF),"[1630217, 1629599]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,203591.0,1.0,0.0,Coffey,1629599.0,,,
38,PT08M36.00S,2021-11-19T01:19:25.1Z,1,REGULAR,turnover,offensive foul,[],1630217,,,1610612763,11,2,2021-11-19T01:19:25Z,380000,,,0,,D. Bane offensive foul TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,203591.0,,,,,1.0,,
39,PT08M19.00S,2021-11-19T01:19:49.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629599,11.908672798948752,3.6764705882352944,1610612746,11,2,2021-11-19T01:19:53Z,390000,232.0,59.0,1,left,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,23.91,Missed,,,,,,,,,,,,,,,,,,
40,PT08M16.00S,2021-11-19T01:19:52.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,11,2,2021-11-19T01:19:53Z,400000,,,0,,D. Bane REBOUND (Off:0 Def:3),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,
41,PT08M09.00S,2021-11-19T01:19:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.64323258869908,50.73529411764706,1610612763,11,2,2021-11-19T01:20:03Z,410000,4.0,7.0,1,right,MISS D. Bane driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,0.82,Missed,,,,,,,,,,,,,,,,,,
42,PT08M07.00S,2021-11-19T01:20:01.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,11,2,2021-11-19T01:20:03Z,420000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT07M56.00S,2021-11-19T01:20:12.7Z,1,REGULAR,3pt,Jump Shot,[],202704,6.652431011826544,94.85294117647058,1610612746,11,5,2021-11-19T01:20:16Z,430000,-224.0,10.0,1,left,R. Jackson 3PT  (3 PTS) (E. Bledsoe 1 AST),"[202704, 202339]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,22.45,Made,3.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,,,,
45,PT07M43.00S,2021-11-19T01:20:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,84.44480946123521,49.26470588235294,1610612763,11,5,2021-11-19T01:20:30Z,450000,-4.0,94.0,1,right,MISS J. Morant 9' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,9.38,Missed,,,,,,,,,,,,,,,,,,
