actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-17T20:48:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T20:48:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-17T20:48:48.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-17T20:48:48Z,40000,,,0,,Jump Ball S. Adams vs. N. Vucevic: Tip to J. Morant,"[1629630, 203500, 202696]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-01-17T20:48:59.7Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612763,0,0,2022-01-17T20:48:59Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-01-17T20:49:24.1Z,1,REGULAR,2pt,Jump Shot,[],1630217,78.40013140604468,64.4607843137255,1610612763,0,0,2022-01-17T20:49:31Z,80000,72.0,151.0,1,right,MISS D. Bane 16' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,16.7,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-01-17T20:49:30.1Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2022-01-17T20:56:09Z,90000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
51,PT11M35.00S,2022-01-17T20:49:35.3Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,0,0,2022-01-17T20:56:25Z,95000,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1630245]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,1.0,Dosunmu,1630245.0,,,,,,,,,,,,
52,PT11M35.00S,2022-01-17T20:49:35.3Z,1,REGULAR,steal,,[],1630245,,,1610612741,0,0,2022-01-17T20:55:44Z,97500,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-01-17T20:49:46.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202696,10.85742444152431,47.549019607843135,1610612741,0,0,2022-01-17T20:55:44Z,100000,12.0,50.0,1,left,MISS N. Vucevic driving floating Shot,[202696],1610612741.0,CHI,driving floating,,,Vucevic,N. Vucevic,,,,,5.11,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-17T20:49:48.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-01-17T20:49:48Z,110000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-17T20:49:53.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,65.65374507227332,19.11764705882353,1610612763,0,0,2022-01-17T20:49:59Z,120000,-154.0,270.0,1,right,MISS J. Morant 31' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,31.14,Missed,,,,,,,,,,,,,,,,,,,
