actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-27T01:10:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-27T01:10:46.5Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-11-27T01:10:46Z,40000,,,0,,Jump Ball S. Adams vs. C. Capela: Tip to J. Morant,"[1629630, 203500, 203991]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-27T01:11:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,11.777266754270697,59.31372549019608,1610612763,2,0,2021-11-27T01:11:07Z,70000,-47.0,58.0,1,left,D. Brooks 7' driving floating Jump Shot (2 PTS),[1628415],1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,7.46,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2021-11-27T01:11:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,83.311432325887,36.76087622549019,1610612737,2,2,2021-11-27T01:11:24Z,80000,-66.0,104.0,1,right,T. Young 12' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,12.36,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2021-11-27T01:11:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,15.062417871222076,61.029411764705884,1610612763,4,2,2021-11-27T01:11:35Z,90000,-55.0,89.0,1,left,D. Bane 10' driving floating Jump Shot (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,10.48,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11,PT10M56.00S,2021-11-27T01:11:45.7Z,1,REGULAR,2pt,Jump Shot,[],1629027,74.58935611038108,73.2843137254902,1610612737,4,2,2021-11-27T01:11:52Z,110000,116.0,186.0,1,right,MISS T. Young 21' step back Shot,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,21.98,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2021-11-27T01:11:45.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,4,2,2021-11-27T01:11:52Z,120000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT10M56.00S,2021-11-27T01:11:50.2Z,1,REGULAR,foul,personal,[],203991,,,1610612763,4,2,2021-11-27T01:11:58Z,130000,,,0,,C. Capela loose ball personal FOUL (1 PF),"[203991, 203500]",1610612737.0,ATL,loose ball,,,Capela,C. Capela,,,,,,,,,,,,2882.0,1.0,0.0,Adams,203500.0,,,,,,,,
15,PT10M45.00S,2021-11-27T01:12:13.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,29.38567674113009,28.921568627450984,1610612763,4,2,2021-11-27T01:12:18Z,150000,105.0,224.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2021-11-27T01:12:17.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,4,2,2021-11-27T01:12:18Z,160000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,15.0,,,,,,1.0,1.0,0.0,,,,,
17,PT10M34.00S,2021-11-27T01:12:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,87.20433639947439,55.88235294117647,1610612737,4,2,2021-11-27T01:12:28Z,170000,29.0,68.0,1,right,MISS K. Huerter 7' driving floating Shot,[1628989],1610612737.0,ATL,driving floating,,,Huerter,K. Huerter,,,,,7.39,Missed,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2021-11-27T01:12:26.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,4,2,2021-11-27T01:12:28Z,180000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,17.0,,,,,,1.0,1.0,0.0,,,,,
19,PT10M25.00S,2021-11-27T01:12:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,5.863994743758213,53.18627450980392,1610612763,4,2,2021-11-27T01:12:37Z,190000,-16.0,3.0,1,left,MISS D. Bane driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,1.61,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2021-11-27T01:12:34.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,2,2021-11-27T01:12:37Z,200000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,19.0,,,,,,1.0,1.0,0.0,,,,,
