actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-23T23:45:25.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-23T23:45:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-23T23:45:26.9Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-03-23T23:45:26Z,40000,,,0,,Jump Ball S. Adams vs. A. Drummond: Tip to T. Jones,"[1626145, 203500, 203083]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-23T23:45:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,16.90210249671485,55.392156862745104,1610612763,2,0,2022-03-23T23:45:46Z,70000,-27.0,106.0,1,left,D. Brooks 10' pullup Jump Shot (2 PTS) (T. Jones 1 AST),"[1628415, 1626145]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,10.98,Made,2.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-03-23T23:46:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,86.94152431011827,49.754901960784316,1610612751,2,2,2022-03-23T23:47:03Z,90000,-1.0,70.0,1,right,B. Brown 7' floating Jump Shot (2 PTS) (K. Durant 1 AST),"[1628971, 201142]",1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,7.02,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-03-23T23:46:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,9.411957950065702,54.90196078431373,1610612763,2,2,2022-03-23T23:46:24Z,110000,-25.0,36.0,1,left,MISS D. Bane driving floating Shot - blocked,"[1630217, 1628971]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,4.35,Missed,,,,,Brown,1628971.0,,,,,,,,,,,,,
12,PT11M05.00S,2022-03-23T23:46:18.4Z,1,REGULAR,block,,[],1628971,,,1610612763,2,2,2022-03-23T23:46:20Z,120000,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2022-03-23T23:46:20.4Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,2,2,2022-03-23T23:46:24Z,130000,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,
14,PT11M02.00S,2022-03-23T23:46:22.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630217,7.046649145860711,53.92156862745098,1610612763,2,2,2022-03-23T23:46:27Z,140000,-20.0,14.0,1,left,MISS D. Bane floating Shot,[1630217],1610612763.0,MEM,floating,,,Bane,D. Bane,,,,,2.39,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-03-23T23:46:22.3Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,2,2022-03-23T23:46:27Z,150000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
16,PT10M58.00S,2022-03-23T23:46:26.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,18.2161629434954,6.127450980392156,1610612763,5,2,2022-03-23T23:46:29Z,160000,219.0,119.0,1,left,D. Bane 24' 3PT  (3 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.95,Made,3.0,S. Adams,203500.0,1.0,,,,,,,,,,,,,,,
18,PT10M47.00S,2022-03-23T23:46:37.1Z,1,REGULAR,turnover,lost ball,[],202681,,,1610612751,5,2,2022-03-23T23:46:40Z,180000,,,0,,K. Irving lost ball TURNOVER (1 TO),"[202681, 1630217]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,1.0,Bane,1630217.0,,,,,,
19,PT10M47.00S,2022-03-23T23:46:37.1Z,1,REGULAR,steal,,[],1630217,,,1610612763,5,2,2022-03-23T23:46:38Z,190000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2022-03-23T23:46:47.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,18.478975032851512,7.107843137254902,1610612763,8,2,2022-03-23T23:50:35Z,200000,214.0,121.0,1,left,D. Brooks 24' 3PT pullup (5 PTS) (J. Jackson Jr. 1 AST),"[1628415, 1628991]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,24.64,Made,5.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,,,,,
22,PT10M13.00S,2022-03-23T23:47:11.1Z,1,REGULAR,2pt,Jump Shot,[],201142,97.45400788436268,68.62745098039215,1610612751,8,4,2022-03-23T23:47:18Z,220000,93.0,-29.0,1,right,K. Durant 9' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,9.74,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2022-03-23T23:47:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,14.799605781865965,42.40196078431372,1610612763,10,4,2022-03-23T23:47:26Z,230000,38.0,87.0,1,left,T. Jones 9' driving floating Jump Shot (2 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,9.46,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M36.00S,2022-03-23T23:47:47.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,92.19776609724047,48.77450980392157,1610612751,10,6,2022-03-23T23:47:50Z,240000,-6.0,21.0,1,right,A. Drummond cutting DUNK (2 PTS) (B. Brown 1 AST),"[203083, 1628971]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,2.17,Made,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,,
26,PT09M24.00S,2022-03-23T23:47:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,7.5722733245729295,55.14705882352941,1610612763,10,6,2022-03-23T23:48:05Z,260000,-26.0,19.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,3.18,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M20.00S,2022-03-23T23:48:03.8Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,10,6,2022-03-23T23:48:05Z,270000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,
28,PT09M20.00S,2022-03-23T23:48:03.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628991,5.590000152587891,50.0,1610612763,12,6,2022-03-23T23:48:07Z,280000,0.0,0.0,1,left,J. Jackson Jr. tip DUNK (2 PTS),[1628991],1610612763.0,MEM,tip,,,Jackson Jr.,J. Jackson Jr.,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
29,PT09M09.00S,2022-03-23T23:48:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,87.72996057818659,38.48039215686275,1610612751,12,8,2022-03-23T23:48:20Z,290000,-58.0,63.0,1,right,K. Irving 8' turnaround Jump Shot (2 PTS),[202681],1610612751.0,BKN,turnaround,,,Irving,K. Irving,,,,,8.52,Made,2.0,,,,,,,,,,,,,,,,,,
30,PT08M55.00S,2022-03-23T23:48:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626145,8.09789750328515,58.333333333333336,1610612763,12,8,2022-03-23T23:48:36Z,300000,-42.0,24.0,1,left,MISS T. Jones driving Layup - blocked,"[1626145, 1628971]",1610612763.0,MEM,driving,,,Jones,T. Jones,,,,,4.79,Missed,,,,,Brown,1628971.0,,,,,,,,,,,,,
31,PT08M55.00S,2022-03-23T23:48:31.1Z,1,REGULAR,block,,[],1628971,,,1610612763,12,8,2022-03-23T23:48:33Z,310000,,,0,,B. Brown BLOCK (2 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M55.00S,2022-03-23T23:48:31.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,12,8,2022-03-23T23:48:36Z,320000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
33,PT08M55.00S,2022-03-23T23:48:35.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,12,8,2022-03-23T23:48:35Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2022-03-23T23:48:49.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,8.623521681997373,94.85294117647058,1610612763,12,8,2022-03-23T23:48:54Z,340000,-224.0,29.0,1,left,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,22.61,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M48.00S,2022-03-23T23:48:53.4Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,12,8,2022-03-23T23:48:54Z,350000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT08M35.00S,2022-03-23T23:49:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,84.70762155059133,43.872549019607845,1610612751,12,8,2022-03-23T23:49:11Z,360000,-31.0,91.0,1,right,MISS B. Brown 9' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,9.62,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M31.00S,2022-03-23T23:49:10.7Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,12,8,2022-03-23T23:49:11Z,370000,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,
38,PT08M31.00S,2022-03-23T23:49:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,94.40999984741211,50.0,1610612751,12,10,2022-03-23T23:49:10Z,380000,0.0,0.0,1,right,A. Drummond tip Layup (4 PTS),[203083],1610612751.0,BKN,tip,,,Drummond,A. Drummond,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
39,PT08M16.00S,2022-03-23T23:49:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,7.835085413929041,43.627450980392155,1610612763,12,10,2022-03-23T23:49:31Z,390000,32.0,21.0,1,left,MISS D. Brooks cutting finger roll Layup,[1628415],1610612763.0,MEM,cutting finger roll,,,Brooks,D. Brooks,,,,,3.82,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M12.00S,2022-03-23T23:49:29.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,12,10,2022-03-23T23:49:31Z,400000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M07.00S,2022-03-23T23:49:34.8Z,1,REGULAR,2pt,Jump Shot,[],201142,76.42904073587385,46.32352941176471,1610612751,12,10,2022-03-23T23:49:41Z,410000,-18.0,169.0,1,right,MISS K. Durant 17' step back Shot,[201142],1610612751.0,BKN,step back,,,Durant,K. Durant,,,,,17.01,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M04.00S,2022-03-23T23:49:37.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,12,10,2022-03-23T23:49:41Z,420000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,
43,PT07M55.00S,2022-03-23T23:49:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,18.610381077529567,63.23529411764706,1610612763,12,10,2022-03-23T23:49:51Z,430000,-66.0,122.0,1,left,MISS T. Jones 13' pullup Shot,[1626145],1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,13.92,Missed,,,,,,,,,,,,,,,,,,,
