actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-21T01:11:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-21T01:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-12-21T01:11:24.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-12-21T01:11:24Z,40000,,,0,,Jump Ball S. Adams vs. D. Favors: Tip to J. Morant,"[1629630, 203500, 202324]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-21T01:11:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,12.171484888304862,39.950980392156865,1610612763,0,0,2021-12-21T01:11:39Z,70000,50.0,62.0,1,left,MISS J. Jackson Jr. 7' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,7.97,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-12-21T01:11:35.4Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2021-12-21T01:11:35Z,80000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2021-12-21T01:11:36.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628991,8.623521681997373,50.73529411764706,1610612763,0,0,2021-12-21T01:11:43Z,90000,-4.0,29.0,1,left,MISS J. Jackson Jr. floating Shot,[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2021-12-21T01:11:39.1Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2021-12-21T01:11:39Z,100000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
54,PT11M40.00S,2021-12-21T01:11:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,5.387647831800263,48.06219362745098,1610612763,0,0,2021-12-21T01:18:07Z,105000,10.0,-2.0,1,left,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.99,Missed,,,,,,,,,,,,,,,,,,,
55,PT11M40.00S,2021-12-21T01:11:39.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2021-12-21T01:18:07Z,107500,,,0,,S. Adams REBOUND (Off:2 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,54.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
11,PT11M38.00S,2021-12-21T01:11:42.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203500,10.85742444152431,50.245098039215684,1610612763,0,0,2021-12-21T01:17:44Z,110000,-1.0,50.0,1,left,MISS S. Adams turnaround Hook,[203500],1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,4.96,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M38.00S,2021-12-21T01:11:42.0Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,0,0,2021-12-21T01:11:46Z,120000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M24.00S,2021-12-21T01:11:56.3Z,1,REGULAR,2pt,Jump Shot,[],1630526,93.38042049934296,73.2843137254902,1610612760,0,0,2021-12-21T01:12:01Z,130000,116.0,10.0,1,right,MISS J. Robinson-Earl 11' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,11.68,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2021-12-21T01:12:00.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2021-12-21T01:12:01Z,140000,,,0,,S. Adams REBOUND (Off:2 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,13.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
15,PT11M10.00S,2021-12-21T01:12:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,8.229303547963205,51.470588235294116,1610612763,2,0,2021-12-21T01:12:17Z,150000,-7.0,25.0,1,left,D. Brooks driving finger roll Layup (2 PTS),[1628415],1610612763.0,MEM,driving finger roll,,,Brooks,D. Brooks,,,,,2.6,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M54.00S,2021-12-21T01:12:25.1Z,1,REGULAR,2pt,Jump Shot,[],202324,92.85479632063075,24.754901960784316,1610612760,2,0,2021-12-21T01:12:29Z,160000,-126.0,15.0,1,right,MISS D. Favors 12' Jump Shot,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,12.71,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2021-12-21T01:12:27.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,0,2021-12-21T01:12:29Z,170000,,,0,,S. Adams REBOUND (Off:2 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,16.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
18,PT10M49.00S,2021-12-21T01:12:30.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,26.10052562417871,12.990196078431374,1610612763,5,0,2021-12-21T01:12:37Z,180000,185.0,193.0,1,left,D. Bane 26' 3PT running (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,running,,,Bane,D. Bane,,,,,26.72,Made,,,,,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,
