actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-17T01:11:32.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T01:11:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-02-17T01:11:37.6Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-02-17T01:11:37Z,40000,,,0,,Jump Ball S. Adams vs. J. Nurkic: Tip to J. Morant,"[1629630, 203500, 203994]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-02-17T01:11:54.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,10.33180026281209,42.15686274509804,1610612763,0,0,2022-02-17T01:11:59Z,70000,39.0,45.0,1,left,MISS S. Adams bank Hook,[203500],1610612763.0,MEM,bank,,,Adams,S. Adams,,,,,5.94,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-02-17T01:11:56.2Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,0,0,2022-02-17T01:11:59Z,80000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-02-17T01:12:07.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,69.20170827858082,27.450980392156865,1610612757,0,0,2022-02-17T01:12:10Z,90000,-113.0,237.0,1,right,MISS A. Simons 26' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-02-17T01:12:10.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2022-02-17T01:12:10Z,100000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-02-17T01:12:20.9Z,1,REGULAR,2pt,Jump Shot,[],1630533,6.652431011826544,10.294117647058822,1610612763,2,0,2022-02-17T01:12:23Z,110000,199.0,10.0,1,left,Z. Williams 19' Jump Shot (2 PTS),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,19.88,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M53.00S,2022-02-17T01:12:38.5Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,2,0,2022-02-17T01:12:41Z,120000,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 1630533]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,1.0,Williams,1630533.0,,,,,,,,,,,
13,PT10M53.00S,2022-02-17T01:12:38.5Z,1,REGULAR,steal,,[],1630533,,,1610612763,2,0,2022-02-17T01:12:39Z,130000,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2022-02-17T01:12:51.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,2,0,2022-02-17T01:12:51Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2022-02-17T01:13:12.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630217,13.485545335085414,12.745098039215685,1610612763,2,0,2022-02-17T01:13:16Z,150000,186.0,74.0,1,left,MISS D. Bane 20' Jump Shot,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,20.06,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2022-02-17T01:13:14.4Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,2,0,2022-02-17T01:13:16Z,160000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M29.00S,2022-02-17T01:13:23.8Z,1,REGULAR,2pt,Jump Shot,[],1626159,77.21747700394218,62.99019607843137,1610612757,2,2,2022-02-17T01:13:27Z,170000,65.0,162.0,1,right,J. Winslow 17' pullup Jump Shot (2 PTS) (J. Nurkic 1 AST),"[1626159, 203994]",1610612757.0,POR,pullup,,,Winslow,J. Winslow,,,,,17.43,Made,,,,,2.0,,,,J. Nurkic,203994.0,1.0,,,,,,,,
19,PT10M08.00S,2022-02-17T01:13:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,10.5946123521682,56.86274509803921,1610612763,2,2,2022-02-17T01:13:47Z,190000,-34.0,47.0,1,left,MISS J. Jackson Jr. driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,5.83,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M05.00S,2022-02-17T01:13:46.8Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,2,2,2022-02-17T01:13:49Z,200000,,,0,,J. Winslow REBOUND (Off:0 Def:2),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
