actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-11T01:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T01:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-11T01:10:46.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2021-11-11T01:10:46Z,40000,,,0,,Jump Ball S. Adams vs. M. Plumlee: Tip to Team (MEM),"[203500, 203486]",1610612763.0,MEM,startperiod,Team (MEM),Adams,203500.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,,
29,PT11M58.00S,2021-11-11T01:10:59.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,0,2021-11-11T01:13:55Z,65000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-11T01:11:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,18.74178712220762,59.55882352941176,1610612763,2,0,2021-11-11T01:11:17Z,70000,-48.0,124.0,1,left,D. Bane 13' pullup Jump Shot (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,pullup,,,,,,13.26,Made,2.0,Bane,D. Bane,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2021-11-11T01:11:25.6Z,1,REGULAR,3pt,Jump Shot,[],202330,69.99014454664915,25.245098039215684,1610612766,2,3,2021-11-11T01:11:29Z,90000,-124.0,230.0,1,right,G. Hayward 26' 3PT  (3 PTS) (L. Ball 1 AST),"[202330, 1630163]",1610612766.0,CHA,,,,,,,26.08,Made,3.0,Hayward,G. Hayward,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2021-11-11T01:11:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,13.87976346911958,49.50980392156863,1610612763,4,3,2021-11-11T01:11:49Z,110000,2.0,78.0,1,left,J. Jackson Jr. 7' driving floating Jump Shot (2 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,driving floating,,,,,,7.8,Made,2.0,Jackson Jr.,J. Jackson Jr.,S. Adams,203500.0,1.0,,,,,,,,,,,,,,,
13,PT10M50.00S,2021-11-11T01:12:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,88.12417871222075,56.61764705882353,1610612766,4,3,2021-11-11T01:12:05Z,130000,33.0,59.0,1,right,MISS G. Hayward 6' turnaround fadeaway Shot,[202330],1610612766.0,CHA,turnaround fadeaway,,,,,,6.77,Missed,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2021-11-11T01:12:03.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,4,3,2021-11-11T01:12:05Z,140000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,,,,,,,Morant,J. Morant,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M40.00S,2021-11-11T01:12:10.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,11.514454664914586,38.23529411764706,1610612763,6,3,2021-11-11T01:12:14Z,150000,59.0,56.0,1,left,J. Morant 8' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,8.1,Made,2.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2021-11-11T01:12:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,89.30683311432325,45.588235294117645,1610612766,6,3,2021-11-11T01:12:22Z,160000,-22.0,48.0,1,right,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,,,,5.28,Missed,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
