actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-30T01:10:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T01:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-30T01:10:39.1Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2022-01-30T01:10:39Z,40000,,,0,,Jump Ball S. Adams vs. T. Bryant: Tip to D. Bane,"[1630217, 203500, 1628418]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Adams,203500.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-01-30T01:11:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,8.360709592641262,54.41176470588235,1610612763,0,0,2022-01-30T01:11:07Z,70000,-22.0,26.0,1,left,MISS S. Adams driving Layup,[203500],1610612763.0,MEM,driving,,,Adams,S. Adams,,,,,3.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-01-30T01:11:03.8Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2022-01-30T01:11:07Z,80000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
20,PT11M31.00S,2022-01-30T01:11:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,8.886333771353483,50.73529411764706,1610612763,0,0,2022-01-30T01:12:36Z,85000,-4.0,31.0,1,left,MISS S. Adams putback Layup - blocked,"[203500, 1628418]",1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,3.12,Missed,,,,,Bryant,1628418.0,,,,,,,,,,,,,
21,PT11M31.00S,2022-01-30T01:11:04.4Z,1,REGULAR,block,,[],1628418,,,1610612763,0,0,2022-01-30T01:12:29Z,87500,,,0,,T. Bryant BLOCK (1 BLK),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT11M31.00S,2022-01-30T01:11:04.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,0,2022-01-30T01:12:36Z,88750,,,0,,S. Adams REBOUND (Off:2 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-30T01:11:07.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,4.812746386333772,95.09803921568627,1610612763,0,0,2022-01-30T01:12:29Z,90000,-225.0,-7.0,1,left,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,22.56,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-01-30T01:11:13.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2022-01-30T01:11:14Z,100000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-01-30T01:11:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,67.49342969776609,62.5,1610612764,0,0,2022-01-30T01:11:26Z,110000,62.0,253.0,1,right,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
