actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-01T01:10:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T01:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-01T01:10:27.5Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-01T01:10:27Z,40000,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to J. Morant,"[1629630, 203500, 1627751]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-01T01:10:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,6.783837056504599,48.77450980392157,1610612763,2,0,2022-01-01T01:10:50Z,70000,6.0,11.0,1,left,S. Adams Layup (2 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,1.28,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2022-01-01T01:10:59.6Z,1,REGULAR,3pt,Jump Shot,[],203926,93.51182654402102,95.83333333333334,1610612759,2,0,2022-01-01T01:11:02Z,80000,229.0,8.0,1,right,MISS D. McDermott 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-01T01:10:59.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,2,0,2022-01-01T01:11:02Z,90000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M15.00S,2022-01-01T01:11:08.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628401,82.21090670170827,35.049019607843135,1610612759,2,0,2022-01-01T01:11:15Z,100000,-75.0,115.0,1,right,MISS D. White 13' pullup Shot,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,13.69,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2022-01-01T01:11:12.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,0,2022-01-01T01:15:28Z,110000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M00.00S,2022-01-01T01:11:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,13.222733245729303,50.0,1610612763,2,0,2022-01-01T01:11:31Z,120000,0.0,72.0,1,left,MISS K. Anderson 7' driving floating Shot,[203937],1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,7.18,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2022-01-01T01:11:24.6Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,0,2022-01-01T01:11:31Z,130000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT10M58.00S,2022-01-01T01:11:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,6.258212877792378,51.71568627450981,1610612763,4,0,2022-01-01T01:11:36Z,140000,-9.0,6.0,1,left,S. Adams reverse Layup (4 PTS),[203500],1610612763.0,MEM,reverse,,,Adams,S. Adams,,,,,1.07,Made,4.0,,,,,,,,,,,,,,,,,,
